type,region,gradrate,gradratem,gradratew
3,8,55,48,63
1,8,58,58,60
4,8,72,70,74
4,8,52,53,51
4,8,43,36,49
3,8,92,91,94
2,8,59,57,67
3,8,59,57,64
3,8,20,20,17
2,8,33,32,36
3,8,57,46,61
2,8,58,49,59
2,8,58,49,59
4,8,59,56,61
3,8,88,90,84
4,8,39,30,44
1,8,40,38,43
3,8,84,67,88
2,8,29,32,19
2,8,33,38,18
2,8,33,39,10
4,8,62,57,67
4,8,30,24,35
2,8,40,34,48
3,8,59,55,61
3,8,60,55,65
3,8,84,67,94
4,8,53,43,60
4,8,57,54,60
2,8,35,36,33
4,8,75,73,77
4,8,37,35,38
3,8,36,32,42
4,8,57,11,59
2,8,53,52,58
2,8,33,33,32
3,8,24,31,21
2,8,32,36,20
3,8,61,56,68
4,8,47,44,48
3,8,84,83,85
3,8,53,55,52
4,8,40,32,43
3,8,71,88,50
4,8,43,45,42
3,8,58,53,62
4,8,81,80,81
3,8,87,89,85
2,8,65,69,56
4,8,75,73,76
3,8,96,94,97
2,8,59,61,58
3,8,72,68,74
1,8,66,61,69
4,8,76,73,77
3,8,30,30,31
3,8,69,64,73
1,8,47,49,46
4,8,67,63,70
4,8,39,22,48
1,8,47,42,51
2,8,65,58,66
2,8,23,22,24
2,8,55,50,56
4,8,86,87,86
4,8,50,33,57
4,8,41,42,40
4,8,62,63,62
1,8,55,53,56
4,8,54,50,57
3,8,88,88,88
3,8,90,89,91
4,8,76,80,73
3,8,79,81,78
3,8,67,57,75
3,8,59,50,65
1,7,21,19,23
1,7,45,41,48
1,7,47,46,47
1,7,68,65,71
4,7,41,39,43
3,7,90,90,90
2,7,37,36,38
1,7,22,19,27
1,7,67,65,71
1,7,63,57,67
2,7,10,12,6
2,7,54,31,62
2,7,39,38,41
3,7,76,72,80
1,7,38,31,47
1,7,29,27,31
1,7,25,21,29
3,7,27,22,29
2,7,15,25,11
2,7,25,20,29
1,7,45,39,49
4,7,59,57,60
2,7,41,46,39
1,7,34,30,36
1,7,37,31,49
4,1,53,39,60
2,1,22,18,24
3,1,34,26,40
1,1,52,47,58
3,1,85,88,83
1,1,82,80,84
3,1,29,17,30
1,1,53,45,58
4,1,81,79,82
3,1,51,46,55
3,1,95,100,93
3,1,39,35,42
3,1,56,55,57
2,1,68,17,84
2,1,25,29,21
3,1,75,76,75
4,1,63,60,64
4,1,60,100,56
1,1,44,36,48
3,1,83,82,85
3,1,91,91,90
1,1,43,36,49
3,1,96,96,96
1,2,33,29,36
1,2,82,79,84
3,2,41,36,47
4,2,31,20,45
3,2,36,34,38
4,2,77,74,78
4,2,67,64,70
3,2,59,67,56
1,2,15,16,15
3,2,33,27,42
3,2,80,77,82
4,2,93,93,94
3,2,63,57,66
2,2,67,64,71
2,5,41,41,41
4,5,61,50,70
4,5,41,38,43
4,5,40,31,46
3,5,40,39,42
1,5,28,25,31
3,5,39,33,40
1,5,37,33,40
4,5,44,48,40
1,5,65,59,70
1,5,47,45,48
4,5,40,39,40
1,5,28,27,29
2,5,20,15,21
4,5,60,55,63
1,5,29,28,30
4,5,23,19,29
3,5,58,57,68
1,5,40,31,46
1,5,41,35,46
1,5,33,34,33
3,5,65,64,65
3,5,57,52,61
4,5,29,33,28
3,5,55,52,61
1,5,49,42,55
4,5,41,39,42
2,5,54,47,58
4,5,55,48,59
1,5,75,73,77
1,5,85,81,88
2,5,25,22,27
2,5,79,78,84
1,5,38,38,38
4,5,43,46,40
1,5,41,44,39
2,5,32,25,38
2,5,44,44,43
2,5,32,32,38
3,5,41,38,45
3,5,55,60,54
1,5,43,42,44
1,5,35,35,35
1,5,32,32,32
1,5,31,28,33
3,5,81,79,82
3,5,60,51,63
2,5,59,57,61
1,5,48,43,52
3,5,41,32,54
3,5,42,36,45
1,5,44,42,45
2,5,32,32,33
4,5,51,52,49
1,5,35,34,35
1,5,31,30,32
1,5,31,29,32
3,5,65,65,65
3,5,72,72,71
4,5,43,38,48
1,5,31,29,32
1,5,46,43,50
1,5,35,35,35
1,5,36,33,38
1,5,44,40,47
1,5,57,49,62
4,5,32,28,35
3,5,64,60,67
4,5,40,33,45
2,5,34,29,36
2,5,36,44,33
3,5,57,57,57
4,5,42,30,56
4,5,58,50,67
1,5,41,39,42
4,5,42,44,40
3,5,36,27,50
2,5,35,21,41
1,5,45,37,51
1,5,17,13,20
1,5,39,31,42
1,5,33,27,37
2,5,26,29,21
4,5,37,42,33
1,5,9,8,10
4,5,39,37,40
1,5,25,22,28
2,5,28,25,29
3,5,62,59,63
4,5,21,25,17
3,5,45,100,45
4,5,23,12,33
1,5,14,12,15
4,5,33,26,80
1,5,27,21,30
1,5,34,29,38
4,5,61,55,65
1,5,17,16,18
2,5,28,28,28
2,5,25,7,32
1,5,7,6,8
4,5,41,27,54
4,5,89,90,89
1,5,29,21,37
1,5,79,77,85
1,5,29,21,35
1,5,11,9,13
1,5,57,50,61
1,5,50,44,57
1,5,51,44,56
1,5,83,82,83
1,5,14,14,13
1,5,42,35,46
4,5,43,36,51
3,5,41,33,53
1,5,11,12,10
3,5,63,60,66
1,5,12,12,13
1,5,52,45,58
3,5,55,54,56
4,5,22,26,21
4,5,52,40,60
4,5,28,27,30
3,5,65,65,65
1,5,32,20,43
4,5,47,40,54
1,5,14,13,15
1,5,35,35,37
3,5,14,19,10
4,5,46,40,52
4,5,24,16,35
1,5,41,36,44
1,5,37,31,41
4,5,35,31,39
4,8,36,35,36
1,8,39,34,43
1,8,56,52,59
3,8,40,33,44
1,8,10,9,10
4,7,53,47,56
1,7,28,25,30
1,7,35,31,38
1,7,56,53,59
3,7,64,58,68
1,7,30,32,29
2,7,36,34,44
4,7,55,55,55
4,7,61,54,62
2,3,47,46,49
3,3,54,51,56
4,3,78,79,78
3,3,52,45,56
4,3,45,36,50
3,3,55,100,53
3,3,78,76,79
1,3,21,17,22
3,3,92,91,92
3,3,41,39,42
4,3,49,40,57
4,3,68,65,70
2,3,31,32,29
3,3,19,23,17
1,3,60,55,64
4,3,74,74,73
4,3,56,57,55
4,3,54,46,63
2,3,40,30,43
4,3,9,14,8
1,3,58,58,57
4,3,53,48,58
1,3,84,82,86
3,3,82,81,83
4,3,62,51,71
3,3,68,67,72
1,3,71,67,74
2,3,16,9,20
4,3,50,46,53
2,3,58,52,65
3,3,81,79,83
3,3,70,65,74
4,3,59,59,59
4,3,47,41,53
3,3,42,41,43
4,3,70,72,69
4,3,37,25,48
4,3,49,39,60
2,3,43,40,44
4,3,55,50,59
4,3,58,54,61
4,3,62,60,65
3,3,44,25,50
4,3,68,65,70
4,3,56,53,59
1,3,54,54,55
3,3,93,92,94
1,3,21,18,23
4,3,57,51,61
3,3,69,53,85
4,3,56,48,63
2,3,29,24,32
3,3,50,47,52
3,3,55,35,68
3,3,42,45,40
4,3,66,62,68
4,3,56,47,63
4,3,54,54,55
1,3,47,38,55
3,3,28,35,26
1,3,48,45,52
1,3,52,47,55
4,3,54,59,51
4,3,55,43,65
3,3,60,57,64
1,3,54,54,55
4,3,90,90,91
4,3,57,54,60
1,3,57,56,58
4,3,62,59,64
3,3,73,71,74
4,3,30,26,35
4,3,78,76,79
4,3,72,67,76
4,3,68,69,68
4,3,60,60,61
4,3,71,71,70
4,3,58,56,60
4,3,65,65,65
4,3,31,30,32
4,3,59,56,61
1,3,24,22,25
1,3,39,39,39
2,3,29,14,32
4,3,55,50,57
3,3,30,29,31
1,3,39,32,44
1,3,44,41,46
1,3,22,13,28
1,3,23,22,24
1,3,75,74,77
1,3,22,20,24
1,3,28,26,29
1,3,27,21,31
2,3,73,74,73
2,5,20,23,13
2,3,35,38,24
2,3,18,22,11
2,3,41,33,42
2,3,32,23,35
4,3,57,54,61
4,3,59,46,70
4,3,64,62,65
2,3,36,26,38
3,3,59,50,71
4,3,95,94,96
4,3,71,69,72
1,3,29,26,32
1,3,23,24,22
3,3,76,77,75
4,3,51,39,60
4,3,50,44,58
4,3,77,76,79
3,3,52,48,67
4,3,74,70,77
1,3,26,28,24
3,4,84,50,86
3,4,59,59,59
4,4,43,37,49
4,4,51,48,53
4,4,69,64,73
4,4,63,47,71
4,4,68,64,73
4,4,71,71,71
4,4,27,20,100
4,4,72,67,76
3,4,74,74,75
4,4,36,30,45
4,4,86,72,97
4,4,62,58,66
4,4,50,45,56
4,4,49,45,51
3,4,90,87,93
2,4,55,33,62
2,4,26,19,29
2,4,79,74,87
1,4,71,68,75
4,4,30,22,46
1,4,70,70,70
4,4,68,62,76
4,4,77,76,78
3,4,58,54,62
4,4,50,67,49
4,4,59,58,60
4,4,54,48,56
2,4,21,25,20
1,4,66,59,71
4,4,63,59,65
3,4,64,57,75
4,4,63,56,68
4,4,67,64,69
3,4,41,25,65
2,4,43,35,52
4,4,65,63,67
4,4,37,32,47
4,4,55,51,58
4,4,58,53,63
4,4,34,24,42
4,4,58,51,67
4,4,45,38,55
1,4,42,34,46
1,4,42,33,50
4,4,53,43,60
3,4,32,28,36
1,4,32,17,51
1,4,64,61,67
4,4,47,39,52
1,4,58,57,60
4,4,40,25,55
4,4,41,35,47
4,4,52,46,61
4,4,51,46,55
4,4,40,31,53
1,4,52,50,54
4,4,37,28,46
4,4,51,43,61
3,4,34,22,52
4,4,50,33,70
1,4,34,26,40
1,4,41,38,44
3,5,36,31,41
3,5,76,73,78
4,5,62,56,65
3,5,66,61,70
4,5,46,41,49
4,5,45,37,52
4,5,87,87,88
4,5,43,39,60
4,5,45,36,54
1,5,37,35,38
4,5,60,49,66
2,5,81,100,69
2,5,33,25,35
4,5,38,27,46
1,5,14,10,18
4,5,36,32,43
1,5,59,55,62
4,5,41,27,50
4,5,32,34,31
2,5,44,43,48
1,5,52,50,54
4,5,36,28,45
4,5,62,49,68
1,5,39,35,43
1,5,54,49,58
1,5,37,32,42
2,5,28,15,32
4,5,28,18,39
2,5,33,25,34
4,5,31,39,27
2,5,34,29,36
4,5,58,47,88
4,5,39,37,40
2,5,51,60,43
4,5,49,41,57
4,5,74,73,75
4,5,36,26,53
1,5,43,39,46
4,5,56,57,54
4,5,31,22,35
1,5,31,22,38
1,5,12,8,14
1,5,67,64,69
1,5,27,27,27
4,5,39,28,52
1,5,47,44,51
4,5,59,55,62
1,5,38,31,42
1,5,34,31,38
4,5,14,8,50
1,5,39,32,44
1,5,37,34,39
1,5,35,31,37
4,5,24,22,25
1,5,34,30,37
1,5,28,21,32
1,5,17,14,19
1,5,44,39,48
3,5,75,72,78
4,5,51,45,54
2,1,29,19,35
3,1,64,71,63
3,1,88,87,89
3,1,95,95,96
3,1,90,89,91
3,1,42,34,49
1,1,12,11,12
1,1,58,49,62
1,1,43,47,40
1,1,30,33,29
1,1,59,57,62
1,1,77,74,92
1,1,37,34,38
3,1,58,56,59
3,1,26,31,24
4,1,51,48,53
1,1,30,28,32
3,1,44,40,48
3,1,38,38,38
1,2,35,27,40
3,2,29,29,31
4,2,31,27,35
1,2,17,12,18
1,2,44,37,53
3,2,66,62,69
2,2,38,35,39
3,2,60,53,64
3,2,92,92,93
4,2,84,84,84
1,2,4,3,5
1,2,61,56,66
1,2,82,79,85
3,2,71,68,72
1,2,32,30,32
1,2,29,22,34
4,2,67,60,72
1,2,67,62,72
1,2,81,78,83
3,2,22,10,24
3,2,67,71,62
1,2,66,63,68
3,2,64,58,67
4,2,32,36,25
3,2,69,66,71
3,2,73,65,80
3,1,39,31,47
3,1,95,94,95
4,1,47,39,52
4,1,75,71,78
3,1,90,88,93
4,1,38,14,67
2,1,47,44,49
3,1,32,30,33
3,1,84,85,83
3,1,60,61,57
3,1,9,3,18
4,1,92,91,94
3,1,65,65,64
3,1,84,84,84
3,1,90,90,90
1,1,54,51,57
4,1,38,67,35
3,1,80,79,80
3,1,43,39,46
3,1,42,36,52
4,1,45,43,48
3,1,82,83,81
4,1,58,55,59
3,1,72,68,75
3,1,40,39,40
1,1,51,47,54
1,1,52,44,55
3,1,57,58,50
4,1,74,70,76
3,1,64,68,61
3,1,97,96,98
4,1,54,50,58
4,1,93,92,93
3,1,44,37,48
3,1,46,30,52
1,1,54,50,61
1,1,70,68,72
1,1,38,31,43
3,1,76,72,78
1,1,65,64,65
3,1,93,92,93
1,1,61,61,60
4,1,64,62,66
3,1,54,50,55
3,1,41,36,44
3,1,50,53,49
3,1,83,88,78
3,1,44,40,46
3,1,50,43,64
1,1,47,48,46
2,1,35,38,26
3,1,79,77,81
4,1,69,60,72
1,1,45,40,49
3,1,58,57,59
3,1,66,63,72
1,1,50,49,51
4,1,80,78,82
3,1,56,55,57
3,1,92,91,94
3,1,64,63,71
3,1,62,59,66
1,1,60,60,60
3,1,82,81,83
3,1,58,50,58
3,1,96,95,98
3,1,84,81,90
1,1,51,45,55
4,3,59,58,60
4,3,72,68,75
4,3,67,70,64
4,3,59,56,61
4,3,53,53,52
3,3,16,11,19
3,3,13,13,14
4,3,77,74,80
1,3,57,53,60
3,3,23,25,20
4,3,56,53,58
3,3,57,59,55
3,3,35,34,36
4,3,57,55,59
1,3,37,33,40
1,3,44,46,43
3,3,56,54,67
4,3,56,59,53
4,3,45,44,46
1,3,66,64,67
4,3,33,26,38
4,3,77,72,81
2,3,36,32,46
3,3,81,75,85
1,3,38,32,44
3,3,52,53,49
4,3,39,28,44
4,3,15,5,18
4,3,36,35,37
1,3,91,89,92
1,3,79,77,81
1,3,66,64,72
1,3,52,44,59
1,3,37,35,39
3,3,19,16,19
1,3,43,41,46
3,3,56,52,64
1,3,43,39,46
4,3,43,40,47
4,3,59,73,52
1,3,38,35,40
4,3,43,37,48
4,3,53,54,52
4,3,45,43,47
1,3,28,27,29
1,3,56,52,60
2,4,36,25,43
4,4,60,58,63
1,4,46,40,52
4,4,51,54,50
4,4,71,65,75
3,4,94,94,94
4,4,68,63,72
4,4,47,42,51
4,4,73,73,73
2,4,42,27,45
2,4,30,11,38
4,4,83,81,84
4,4,63,57,68
2,4,39,39,39
4,4,90,89,90
1,4,52,50,55
2,4,43,29,46
1,4,35,42,26
1,4,73,73,73
1,4,47,45,49
3,4,61,54,65
2,4,76,67,78
4,4,39,33,45
1,4,54,53,54
1,4,60,53,66
2,4,28,34,24
1,4,46,39,52
2,4,46,67,40
2,4,53,53,53
4,4,47,44,50
4,4,67,63,70
3,4,71,50,80
4,4,32,44,20
1,4,50,46,53
4,4,62,54,69
4,4,86,84,88
4,4,50,55,46
4,4,65,54,70
4,4,74,74,74
3,4,43,50,38
4,4,55,9,56
2,4,36,31,37
1,4,41,30,52
3,4,41,42,32
1,4,53,51,55
1,5,32,27,36
4,5,49,50,48
4,5,43,33,48
1,5,37,33,40
1,5,45,37,51
4,5,72,65,77
1,5,58,56,61
1,5,37,46,36
1,5,22,18,27
4,5,62,48,74
1,5,58,56,60
4,5,34,27,38
4,5,NA,NA,100
1,5,50,44,53
4,5,51,46,53
4,5,58,57,58
4,4,43,33,50
2,4,28,29,21
4,4,30,24,35
3,4,54,100,50
4,4,55,60,50
4,4,38,34,41
4,4,63,74,53
4,4,50,46,53
1,4,49,43,53
4,4,43,35,46
4,4,50,44,56
2,4,27,28,25
3,4,51,49,52
4,4,46,37,54
4,4,34,28,39
4,4,52,40,58
1,4,8,7,9
2,4,81,88,79
3,4,59,62,57
1,4,27,20,33
3,4,41,33,48
3,4,70,58,73
4,4,44,50,25
2,3,41,22,57
4,4,39,35,43
2,4,46,35,49
1,4,34,32,35
4,4,28,25,36
1,4,31,30,32
1,4,71,67,74
1,4,48,46,48
1,4,65,61,78
1,4,47,41,51
1,4,74,69,77
1,4,52,50,53
4,4,47,42,52
4,4,62,61,63
3,4,41,33,46
3,4,76,76,54
4,4,69,64,71
2,4,35,30,36
4,4,70,67,72
2,4,47,32,51
4,4,39,36,45
3,4,65,58,71
4,4,54,48,59
3,4,56,100,55
1,4,46,43,48
1,4,55,55,56
3,4,94,92,96
3,4,64,58,69
4,4,70,68,72
3,4,69,62,73
4,4,49,54,47
4,7,62,61,63
1,7,46,47,46
4,7,21,18,23
1,7,48,47,49
1,7,49,45,54
1,7,47,44,49
1,7,30,29,30
4,7,51,44,57
3,7,47,40,55
1,7,36,30,45
3,4,31,25,36
1,4,42,35,48
4,4,63,54,71
4,4,75,75,74
3,4,64,60,67
4,4,43,37,50
4,4,55,47,67
1,4,56,49,62
2,4,35,30,37
4,4,47,37,55
4,4,39,32,46
1,4,46,43,48
2,4,41,37,42
4,4,65,66,65
1,4,65,62,68
1,4,35,31,39
4,4,50,45,55
1,4,53,48,57
4,4,31,21,37
1,8,9,8,10
2,8,35,37,32
1,8,41,38,44
1,8,54,51,56
1,8,27,35,20
2,8,28,33,21
3,8,49,59,29
1,8,15,15,15
3,1,58,59,57
2,1,47,45,57
3,1,96,95,97
3,1,50,45,55
2,1,31,25,35
3,1,43,37,50
3,1,58,56,60
1,1,77,74,79
1,1,62,62,62
1,1,43,51,32
1,1,55,51,61
4,1,51,35,56
4,1,74,70,77
1,1,37,36,38
4,1,32,40,22
2,2,32,26,35
4,2,37,35,38
4,2,51,42,56
4,2,49,45,51
2,2,39,40,37
4,2,69,68,69
3,2,46,37,54
4,2,42,42,42
3,2,58,57,59
4,2,49,67,48
1,2,71,69,73
1,2,34,28,39
1,2,50,41,57
3,2,64,62,65
1,2,63,57,68
1,2,54,52,67
3,2,96,95,97
1,2,73,70,76
3,2,67,62,71
1,2,64,63,66
1,2,79,76,83
1,2,61,59,62
4,2,52,48,56
4,2,67,62,70
3,2,78,75,85
1,2,64,57,70
1,2,87,85,88
1,2,48,41,53
1,6,72,64,79
1,6,29,21,38
1,6,28,43,13
1,6,16,12,20
1,6,47,46,51
1,6,46,42,49
1,6,44,38,50
1,6,15,15,16
2,6,39,43,34
3,6,22,26,16
1,6,17,17,16
3,2,38,37,50
3,2,66,60,68
2,2,25,28,23
2,2,29,15,33
3,2,70,72,68
3,2,63,57,69
3,2,76,76,76
3,2,79,77,80
2,2,35,30,37
3,2,69,68,69
2,2,37,34,39
2,2,44,33,50
2,2,43,33,49
2,2,17,17,18
4,2,68,68,69
3,2,47,44,47
3,2,70,66,79
3,2,90,91,89
3,2,21,30,17
3,2,95,95,95
4,2,48,47,49
3,2,81,81,80
3,2,93,91,96
3,2,79,76,83
1,2,63,59,67
1,2,53,46,59
1,2,27,21,32
1,2,42,38,46
1,2,46,40,49
1,2,33,29,36
1,2,35,31,36
1,2,12,12,12
1,2,14,11,17
1,2,55,47,60
1,2,26,22,28
3,2,40,34,42
3,2,48,48,49
3,2,33,35,32
3,2,36,35,36
3,2,57,55,58
1,2,72,64,73
2,2,41,39,45
4,2,81,80,82
3,2,91,92,90
3,2,58,56,60
4,2,45,42,48
3,2,76,72,80
3,2,61,60,61
4,2,67,67,68
4,2,65,59,69
3,2,77,75,78
2,2,46,41,48
4,2,91,86,95
3,2,92,93,90
4,2,50,55,48
2,2,55,33,56
4,2,69,66,70
3,2,35,35,35
3,2,42,35,47
4,2,75,79,70
3,2,79,76,83
3,2,58,58,58
3,2,80,78,82
3,2,40,34,41
3,2,46,44,46
3,2,29,25,32
4,2,62,56,64
2,2,51,43,55
4,2,56,55,56
4,2,57,53,58
3,2,73,69,74
3,2,28,17,29
3,2,64,61,65
3,2,85,85,85
4,2,67,66,68
3,2,46,41,56
4,2,46,40,51
3,2,56,53,57
3,2,42,40,46
2,2,71,71,70
3,2,62,61,62
4,2,54,48,63
3,2,64,65,63
3,2,84,82,90
4,2,59,58,60
3,2,62,59,70
3,2,85,83,88
3,2,52,52,52
4,2,64,59,68
3,2,52,51,53
3,2,80,79,80
3,2,65,61,66
3,2,49,41,55
3,2,76,78,75
4,2,73,70,76
3,2,88,88,88
3,2,68,62,70
4,2,75,72,78
4,2,59,56,61
1,2,48,49,46
1,2,32,28,36
1,2,39,37,42
1,2,30,27,34
1,2,43,39,50
1,2,31,28,36
1,2,64,63,66
1,2,79,75,84
1,2,70,67,74
1,2,70,65,74
1,2,67,62,76
1,2,33,34,30
1,2,67,60,72
1,2,48,41,52
1,2,69,65,72
1,2,64,62,66
1,2,79,74,83
1,2,73,71,73
1,2,67,66,67
1,2,58,56,60
1,2,51,48,55
1,2,59,60,58
1,2,35,28,39
1,2,61,54,65
1,2,31,31,31
1,2,44,42,70
3,2,82,78,84
3,2,27,26,28
3,2,83,83,83
3,2,47,43,51
3,2,91,89,92
4,2,35,33,37
2,2,68,66,69
4,2,66,67,65
3,2,NA,NA,100
3,2,56,59,55
2,2,38,39,36
3,2,84,79,90
2,5,37,38,37
1,5,66,61,71
4,5,48,40,53
4,5,43,35,50
4,5,32,27,41
3,5,73,100,71
4,5,51,49,54
3,5,50,50,51
4,5,24,20,31
4,5,92,91,94
4,5,95,95,94
1,5,58,54,61
1,5,43,35,48
3,5,83,80,86
1,5,31,28,33
4,5,48,41,52
4,5,35,28,44
4,5,57,51,62
4,5,17,13,20
4,5,61,54,65
3,5,42,36,46
4,5,34,30,39
4,5,49,39,57
4,5,23,18,30
3,5,46,34,60
4,5,38,34,48
2,5,28,27,28
4,5,39,23,49
4,5,41,36,45
1,5,43,35,50
1,5,55,51,58
1,5,89,88,90
1,5,53,51,55
1,5,54,46,58
1,5,43,36,46
1,5,64,64,63
1,5,71,68,74
4,5,24,17,36
1,5,69,64,72
1,5,34,30,38
4,5,41,40,44
4,5,32,32,32
4,5,52,40,57
4,5,63,87,22
4,5,35,30,42
4,5,26,19,30
4,5,37,34,40
3,5,87,87,88
4,5,57,62,55
3,5,45,36,54
1,5,40,36,42
1,5,48,42,53
2,4,34,14,40
1,4,41,43,38
1,4,38,32,44
1,4,9,10,9
4,4,52,41,61
4,4,50,39,58
1,4,39,27,56
1,4,33,26,39
1,4,54,51,58
1,4,53,53,52
4,4,40,19,61
3,4,41,49,36
3,4,14,13,15
1,4,41,37,47
2,3,41,22,43
1,3,41,38,44
4,3,56,100,20
3,3,53,33,67
4,3,61,57,63
4,3,68,66,70
4,3,56,53,60
1,3,58,53,61
2,3,15,25,13
4,3,59,58,60
3,3,78,76,81
4,3,72,68,76
1,3,27,23,31
4,3,39,34,43
3,3,78,100,60
1,3,55,55,54
1,3,25,23,25
1,3,21,21,21
4,3,40,45,35
3,3,60,64,58
3,3,78,63,93
1,3,34,34,33
3,3,55,55,55
4,3,78,77,80
4,3,50,43,60
3,3,86,82,88
2,3,38,40,31
2,3,4,4,5
2,3,5,9,3
4,3,53,50,54
3,3,12,19,8
4,3,52,46,57
4,3,53,45,61
3,3,63,59,67
2,3,27,32,13
4,3,75,76,75
1,3,16,12,17
1,3,16,23,13
1,3,24,20,28
1,3,23,19,25
1,3,21,21,20
1,3,21,21,21
1,3,52,48,54
1,3,19,13,26
3,3,90,87,92
4,3,57,75,53
3,3,48,48,48
4,3,36,26,38
4,3,62,62,63
3,3,63,57,70
4,3,47,25,50
1,3,24,23,26
1,3,27,24,30
1,3,80,78,81
4,3,72,67,73
4,3,65,55,77
4,3,54,56,53
4,3,58,54,61
4,3,50,44,56
2,3,35,16,39
4,3,36,37,34
3,3,62,64,48
3,3,85,79,89
4,3,41,40,43
4,3,70,65,76
1,3,38,37,39
1,3,41,43,39
1,3,44,40,48
1,3,37,36,37
1,3,82,81,84
1,3,37,29,44
1,3,31,20,37
1,3,25,26,25
1,3,29,26,32
1,3,64,59,68
1,3,33,24,39
4,3,68,64,73
4,3,59,48,65
3,3,43,37,47
1,3,29,27,31
2,3,32,29,32
2,3,31,10,37
4,3,81,80,82
3,3,38,34,42
1,3,44,42,47
3,3,27,25,27
3,3,33,19,56
4,3,53,60,53
4,3,64,60,67
4,3,83,100,75
4,3,41,32,51
4,3,65,56,73
3,3,76,73,79
1,3,40,39,42
1,3,47,43,49
4,3,78,76,80
2,3,42,40,46
1,3,32,30,34
4,6,10,9,14
4,6,45,35,57
4,6,40,34,48
1,6,19,16,21
1,6,32,26,37
1,6,33,29,38
4,6,39,31,48
1,6,16,13,20
2,6,40,40,48
1,6,30,29,31
1,6,31,25,37
4,6,50,48,53
1,6,20,14,30
1,6,62,59,65
1,6,5,6,4
4,6,52,47,55
4,6,56,49,61
1,6,66,62,70
1,6,25,32,11
4,6,51,46,54
1,6,16,13,19
4,6,26,31,22
1,6,41,39,42
1,6,30,30,30
4,6,18,15,22
1,6,36,30,41
4,6,66,62,70
2,8,30,29,30
4,8,45,38,48
1,8,32,29,35
4,8,36,40,27
4,8,64,65,64
2,8,24,26,18
3,8,76,75,77
4,8,67,61,72
3,8,45,49,41
4,8,48,39,53
1,8,49,48,50
1,8,61,58,64
1,8,67,66,69
3,8,22,33,19
3,8,63,57,67
1,8,42,37,46
4,8,74,71,75
3,8,74,72,76
2,8,60,61,60
1,8,32,26,36
4,8,54,45,60
4,8,55,58,53
3,8,77,73,80
1,8,45,44,45
3,8,100,100,100
4,2,50,59,40
4,2,53,48,58
4,2,78,75,80
4,2,68,67,68
4,2,51,49,52
2,2,63,56,69
2,2,35,33,36
2,2,40,40,41
4,2,47,32,53
4,2,65,67,65
1,2,64,59,67
3,2,90,88,93
4,2,48,40,53
1,2,51,48,53
4,2,56,42,56
3,2,87,85,90
3,2,61,33,61
2,2,52,38,60
4,2,47,51,46
1,2,23,19,26
1,2,48,46,50
3,2,100,100,100
3,2,58,49,64
3,2,85,83,86
3,2,65,62,70
4,2,77,74,80
1,2,57,53,60
4,2,60,55,63
1,2,42,37,46
4,2,74,74,74
3,2,83,84,83
4,2,66,61,70
4,2,63,57,68
3,2,84,83,85
4,2,82,80,84
4,2,62,61,62
3,2,93,93,94
4,2,61,55,64
4,2,53,39,60
