ID,z_test,z_age,type,int_enviro,int_prep
ID208,-0.4137736967574832,-0.26,state,classroom,2weekprep
ID209,0.418894982022766,-1.3,state,control,4weekprep
ID210,-0.09207110606709823,-0.2,private,classroom,4weekprep
ID211,0.8420324303415178,1.23,state,control,control
ID212,3.603413096323452,1.68,state,classroom,control
ID213,2.957589337837166,1.83,state,control,2weekprep
ID214,-0.19244898467643767,0.08,state,classroom,2weekprep
ID215,0.6126976225412422,0.88,state,control,4weekprep
ID216,0.870368744154034,-0.89,state,classroom,4weekprep
ID217,-2.229628480944776,0.18,private,control,control
ID218,0.5925739113257726,-0.38,state,classroom,control
ID219,2.998733430040218,0.42,state,control,2weekprep
ID220,0.7686786610147103,-2.09,state,classroom,2weekprep
ID221,-3.322453467716323,-1.4,state,control,4weekprep
ID222,4.713273078946593,1.2,private,classroom,4weekprep
ID223,-0.2616095475814315,-0.52,state,control,control
ID224,-0.8470073910542784,1.64,state,classroom,control
ID225,-1.34215290900505,-1.7,private,control,2weekprep
ID226,-1.4891017713671328,-1.13,state,classroom,2weekprep
ID227,1.804255432352945,0.75,state,control,4weekprep
ID228,-0.22777376408567584,-2.04,state,classroom,4weekprep
ID229,4.91801835059405,0.43,state,control,control
ID230,-1.1578395616690322,-0.92,state,classroom,control
ID231,1.992730194907612,2.41,private,control,2weekprep
ID232,-1.717270684748774,0.03,state,classroom,2weekprep
ID233,1.3571571845774582,0.35,private,control,4weekprep
ID234,4.116441128018632,0.42,private,classroom,4weekprep
ID235,0.6687522477720929,-1.48,state,control,control
ID236,-0.8385249102984708,-1.27,state,classroom,control
ID237,2.6947851784545342,0.6,state,control,2weekprep
ID238,-1.094552566364961,0.31,state,classroom,2weekprep
ID239,-1.900202381332097,-0.42,state,control,4weekprep
ID240,-0.22791144089006043,-1.08,state,classroom,4weekprep
ID241,2.75135173231508,-0.14,state,control,control
ID242,0.4823778140918173,0.03,state,classroom,control
ID243,0.30792542046439336,-1.73,state,control,2weekprep
ID244,4.106115156023329,0.82,private,classroom,2weekprep
ID245,3.810243434052247,-0.18,private,control,4weekprep
ID246,2.861466145600174,-0.4,state,classroom,4weekprep
ID247,0.5457392175494833,1.01,state,control,control
ID248,-4.045543183968301,0.44,private,classroom,control
ID249,1.7696264325675415,-1.46,private,control,2weekprep
ID250,-1.4059342122204521,0.72,state,classroom,2weekprep
ID251,4.625561788613366,2.06,state,control,4weekprep
ID252,3.6236089268292773,1.72,state,classroom,4weekprep
ID253,1.0526483204548587,0.99,state,control,control
ID254,-1.1862634990349665,-0.02,private,classroom,control
ID255,5.602844240806833,3.06,state,control,2weekprep
ID256,0.5736683172163969,-0.31,state,classroom,2weekprep
ID257,0.6365894863638234,-0.78,state,control,4weekprep
ID258,-0.7286581985145837,0.5,state,classroom,4weekprep
ID259,-3.5819212661519373,-1.57,state,control,control
ID260,-0.532783808267917,0.54,state,classroom,control
ID261,5.506291300849053,-0.18,private,control,2weekprep
ID262,2.951897361294446,1.31,state,classroom,2weekprep
ID263,-1.8755766719800184,-0.6,private,control,4weekprep
ID264,0.6819903528358102,2.71,state,classroom,4weekprep
ID265,1.9814130017095737,0.85,state,control,control
ID266,3.6880521198156972,0.29,state,classroom,control
ID267,2.1322637960135564,0.52,state,control,2weekprep
ID268,3.900023109846754,1.56,state,classroom,2weekprep
ID269,3.2519125089952152,-0.02,private,control,4weekprep
ID270,-0.3927297979890829,0.8,state,classroom,4weekprep
ID271,0.802548787770196,1.07,private,control,control
ID272,-4.8473543533316255,-0.73,state,classroom,control
ID273,1.388274481361456,0.81,state,control,2weekprep
ID274,1.7453538050309823,0.84,state,classroom,2weekprep
ID275,-0.9940396848035279,-1.04,state,control,4weekprep
ID276,2.0362354715479842,-0.55,state,classroom,4weekprep
ID277,-0.9318762566847127,0.79,private,control,control
ID278,0.9671543195507659,0.4,private,classroom,control
ID279,-1.288348945056505,-0.97,state,control,2weekprep
ID280,1.3709864951578483,0.96,state,classroom,2weekprep
ID281,2.0602781718831333,-0.76,state,control,4weekprep
ID282,-0.46339276300762133,1.54,state,classroom,4weekprep
ID283,1.5892820430001826,0.95,state,control,control
ID284,-1.076374019451538,-0.85,private,classroom,control
ID285,5.603943916337215,0.77,private,control,2weekprep
ID286,0.636954622514291,-0.04,private,classroom,2weekprep
ID287,4.538180463875586,-0.96,state,control,4weekprep
ID288,0.0046101411077345,-0.95,state,classroom,4weekprep
ID289,-1.7501244335546489,-2.26,private,control,control
ID290,1.6043338281992812,-0.14,state,classroom,control
ID291,0.2724032437840327,-0.05,private,control,2weekprep
ID292,2.7533078591064295,1.72,state,classroom,2weekprep
ID293,0.3178799305170769,-0.53,state,control,4weekprep
ID294,2.2801820235359966,0.65,private,classroom,4weekprep
ID295,4.2878398401882905,1.4,state,control,control
ID296,0.8249196737526951,-0.37,private,classroom,control
ID297,3.2025637498699684,1.47,private,control,2weekprep
ID298,1.7498224673636191,0.64,state,classroom,2weekprep
ID299,1.4178797060443502,-1.09,state,control,4weekprep
ID300,-1.4550741853034352,0.05,state,classroom,4weekprep
ID301,4.5786181563449855,1.11,state,control,control
ID302,3.2607454001395846,-0.11,state,classroom,control
ID303,-1.6904460215968125,-0.78,state,control,2weekprep
ID304,3.1922869201304453,-0.13,state,classroom,2weekprep
ID305,0.4746325653302544,-0.78,private,control,4weekprep
ID306,0.6874289466489015,0.24,private,classroom,4weekprep
ID307,0.3461358214019549,0.81,private,control,control
ID308,2.023572440789451,0.51,state,classroom,control
ID309,2.1616277280866796,-1.22,state,control,2weekprep
ID310,-2.888800525443735,-1.42,private,classroom,2weekprep
ID311,-0.5044406841468392,-0.86,state,control,4weekprep
ID312,0.5879983118488125,-0.02,private,classroom,4weekprep
ID313,-0.1618780132242582,1.02,state,control,control
ID314,-2.3592557605283266,-0.52,private,classroom,control
ID315,0.6800344672716268,-1.38,state,control,2weekprep
ID316,0.057050013539505784,0.45,state,classroom,2weekprep
ID317,0.4943699054733093,0.05,private,control,4weekprep
ID318,2.0586122896341372,-0.38,private,classroom,4weekprep
ID319,-0.3484054447219484,-0.42,state,control,control
ID320,1.8418284786269155,0.89,state,classroom,control
ID321,3.831239291424235,0.24,state,control,2weekprep
ID322,-1.7215367431154591,-1.34,state,classroom,2weekprep
ID323,0.16658308199179006,-1.87,state,control,4weekprep
ID324,0.8350931985129358,-0.54,state,classroom,4weekprep
ID325,1.2333399162752008,-0.73,state,control,control
ID326,1.2707848052950161,-0.06,state,classroom,control
ID327,2.510222135229785,0.02,state,control,2weekprep
ID328,1.0237623009694168,0.93,state,classroom,2weekprep
ID329,3.4756210756427484,1.52,state,control,4weekprep
ID330,2.3193586529423267,0.4,private,classroom,4weekprep
ID331,-0.9843504783046869,-1.18,state,control,control
ID332,0.0886761533821212,0.58,private,classroom,control
ID333,2.731822120652094,0.48,state,control,2weekprep
ID334,1.7035430256300397,-0.4,state,classroom,2weekprep
ID335,0.28906335741609973,-0.04,state,control,4weekprep
ID336,1.8404780922473256,-1.14,private,classroom,4weekprep
ID337,-0.29199628990193044,-0.62,state,control,control
ID338,-2.9014049440590552,0.06,state,classroom,control
ID339,2.3440906099778074,1.43,state,control,2weekprep
ID340,0.8600680278239897,-0.6,private,classroom,2weekprep
ID341,1.0357210846979243,0.03,state,control,4weekprep
ID342,0.8497192553815265,0.14,state,classroom,4weekprep
ID343,-1.8383073921174724,-0.68,state,control,control
ID344,-1.147927474262635,-0.05,state,classroom,control
ID345,0.10935747398066215,-1.19,private,control,2weekprep
ID346,2.038132713616273,1.76,state,classroom,2weekprep
ID347,-1.3688729108537423,1.49,private,control,4weekprep
ID348,1.1426578283186335,0.46,state,classroom,4weekprep
ID349,-2.692282658963835,-0.53,state,control,control
ID350,-1.0989423086031733,-0.33,state,classroom,control
ID351,3.9971718247317742,0.6,private,control,2weekprep
ID352,4.587891725719442,1.04,state,classroom,2weekprep
ID353,3.2971465503800297,-0.07,private,control,4weekprep
ID354,0.46877119160467107,-1.67,private,classroom,4weekprep
ID355,2.140509816772157,0.33,private,control,control
ID356,-2.0467702611565883,-0.09,state,classroom,control
ID357,0.5743521116457508,0.48,state,control,2weekprep
ID358,1.886835299908537,1.1,state,classroom,2weekprep
ID359,1.542709298928859,0.61,state,control,4weekprep
ID360,-0.8913998194559766,-1.02,state,classroom,4weekprep
ID361,0.16095421983510072,0.89,private,control,control
ID362,-2.692132363869888,-1.28,state,classroom,control
ID363,-0.7106850397599778,1.03,state,control,2weekprep
ID364,0.17273620492273647,-0.67,private,classroom,2weekprep
ID365,2.2322280029690544,-0.87,state,control,4weekprep
ID366,1.2740195103457395,0.48,state,classroom,4weekprep
ID367,0.06485585930588611,-1.83,state,control,control
ID368,-0.6473941206401003,-0.63,private,classroom,control
ID369,3.0614935607288203,0.96,state,control,2weekprep
ID370,-1.1643605286507799,-1.06,state,classroom,2weekprep
ID371,2.7703531784707995,1.63,state,control,4weekprep
ID372,3.8157013678714873,-0.49,private,classroom,4weekprep
ID373,-0.09193862340173142,-1.51,state,control,control
ID374,2.622352847540765,1.66,state,classroom,control
ID375,3.044177026142454,0.85,state,control,2weekprep
ID376,-1.2215188152952763,0.51,state,classroom,2weekprep
ID377,-1.4392064546823413,-2.36,state,control,4weekprep
ID378,-0.5630559001091766,0.77,state,classroom,4weekprep
ID379,2.189611738762056,-0.42,state,control,control
ID380,4.654015361881853,0.25,state,classroom,control
ID381,3.149270675565057,-0.35,private,control,2weekprep
ID382,1.2502229740627184,0.01,private,classroom,2weekprep
ID383,1.3886914422172816,-0.9,state,control,4weekprep
ID384,2.980257656657013,2.05,state,classroom,4weekprep
ID385,0.4212986992880632,-0.3,state,control,control
ID386,1.3714728680248558,-0.62,private,classroom,control
ID387,4.434443664199781,1.42,state,control,2weekprep
ID388,4.4760900463855355,0.27,private,classroom,2weekprep
ID389,2.0309020628160166,0.83,state,control,4weekprep
ID390,3.303022997144879,1.66,private,classroom,4weekprep
ID391,2.165283571815919,-0.12,state,control,control
ID392,-0.49239239387775025,-0.33,state,classroom,control
ID393,1.2895772811076296,0.9,private,control,2weekprep
ID394,4.407276251701142,1.13,private,classroom,2weekprep
ID395,-1.832561194485558,-0.66,state,control,4weekprep
ID396,3.5604039604469504,-0.51,state,classroom,4weekprep
ID397,-3.271145034545073,-2.79,state,control,control
ID398,-1.064627618733319,-0.58,state,classroom,control
ID399,3.7327963917241838,-0.56,private,control,2weekprep
ID400,0.7012813394480298,0.77,private,classroom,2weekprep
ID401,5.002437815372159,2.15,state,control,4weekprep
ID402,-0.45272560647178084,0.99,state,classroom,4weekprep
ID403,0.8402406896438673,0.24,private,control,control
ID404,-2.078813800200712,-0.71,state,classroom,control
ID405,-0.8793215575315558,-2.23,private,control,2weekprep
ID406,0.3279839839686427,-0.43,state,classroom,2weekprep
ID407,1.4731167925615625,0.59,state,control,4weekprep
ID408,1.758183853270741,-0.43,state,classroom,4weekprep
ID409,1.0564524943851437,-0.61,state,control,control
ID410,-2.250923926396165,-1.29,state,classroom,control
ID411,-3.0813388885003796,-0.92,private,control,2weekprep
ID412,1.9377306508646752,-2.47,state,classroom,2weekprep
ID413,-4.412285443818074,-0.3,private,control,4weekprep
ID414,3.060173694129385,1.49,state,classroom,4weekprep
ID415,0.23083949485884103,0.09,state,control,control
ID416,-1.9138056123839415,1.19,private,classroom,control
ID417,1.0104897091716265,-0.94,state,control,2weekprep
ID418,0.4866078574898136,2.08,private,classroom,2weekprep
ID419,1.5769304742035737,-0.93,state,control,4weekprep
ID420,1.3299306600283858,-0.33,private,classroom,4weekprep
ID421,1.9801747726487418,-1.28,state,control,control
ID422,0.12504790705825264,-0.59,state,classroom,control
ID423,1.2848178159282235,1.31,state,control,2weekprep
ID424,-0.32055011775499165,0.2,state,classroom,2weekprep
ID425,-3.192662179712662,-0.89,state,control,4weekprep
ID426,1.9100877043660878,0.5,state,classroom,4weekprep
ID427,-0.3244463319482977,-0.11,state,control,control
ID428,-2.4350466862256344,-0.54,private,classroom,control
ID429,2.3804952075237678,-1.07,state,control,2weekprep
ID430,2.41557615751131,-1.55,state,classroom,2weekprep
ID431,-1.0447344586352756,1.01,state,control,4weekprep
ID432,0.9129949653542836,0.27,private,classroom,4weekprep
ID433,0.8891323296513524,-0.07,state,control,control
ID434,-0.059009650358835375,-0.45,private,classroom,control
ID435,4.3340218148884695,0.95,state,control,2weekprep
ID436,0.4566446803383831,0.11,state,classroom,2weekprep
ID437,-0.7492002899500845,1.94,state,control,4weekprep
ID438,0.2535870888272094,-1.5,state,classroom,4weekprep
ID439,-1.6103278550577196,-1.21,private,control,control
ID440,2.8335366901369667,1.13,state,classroom,control
ID441,0.8616195113756249,-0.36,state,control,2weekprep
ID442,-2.3074483683411358,-0.86,state,classroom,2weekprep
ID443,0.5914425719830627,0.17,state,control,4weekprep
ID444,-1.6990395638051004,-2.16,state,classroom,4weekprep
ID445,-2.1981749683282032,-0.96,state,control,control
ID446,3.4836962486995833,0.16,private,classroom,control
ID447,-1.4089593585215954,0.71,state,control,2weekprep
ID448,-0.34066429473571025,-1.52,state,classroom,2weekprep
ID449,2.9883831092246456,-0.07,state,control,4weekprep
ID450,2.735487326013801,0.39,state,classroom,4weekprep
ID451,-0.43533092456487715,0.09,private,control,control
ID452,-1.2009577303657148,-1.08,state,classroom,control
ID453,2.1266434496245203,-0.55,state,control,2weekprep
ID454,4.9195072795481645,0.25,state,classroom,2weekprep
ID455,-2.9198406655721856,-1.69,state,control,4weekprep
ID456,1.2910619714500489,-0.25,private,classroom,4weekprep
ID457,-1.6116292826952843,-0.16,private,control,control
ID458,-1.5417505588502505,1.47,state,classroom,control
ID459,-0.6430099361983692,-1.25,state,control,2weekprep
ID460,2.2744381460691123,0.64,state,classroom,2weekprep
ID461,-3.587827774415151,-2.15,state,control,4weekprep
ID462,2.4030155220653553,-0.09,state,classroom,4weekprep
ID463,2.5842449016018945,0.32,private,control,control
ID464,0.0730921329988573,0.64,private,classroom,control
ID465,3.3833323552737085,0.74,state,control,2weekprep
ID466,1.8463227488201006,0.34,private,classroom,2weekprep
ID467,0.3514673235914827,0.27,private,control,4weekprep
ID468,1.3530235517752704,1.54,state,classroom,4weekprep
ID469,-3.731359297468867,-0.24,state,control,control
ID470,-1.0837597605993445,1.04,state,classroom,control
ID471,6.348987624125706,-1.15,state,control,2weekprep
ID472,-1.3847387127712723,0.94,state,classroom,2weekprep
ID473,-0.1557002580507244,0.22,state,control,4weekprep
ID474,6.139473474706643,0.53,state,classroom,4weekprep
ID475,-1.1962284930395275,-0.13,state,control,control
ID476,-1.4323058171938452,-0.88,state,classroom,control
ID477,-1.3070277513908355,0.38,state,control,2weekprep
ID478,1.7708517375230697,1.84,private,classroom,2weekprep
ID479,1.952502435343167,1.7,state,control,4weekprep
ID480,0.6591858308343131,0.27,private,classroom,4weekprep
ID481,1.1215196374226701,-0.14,private,control,control
ID482,-0.2691210756398448,-1.46,state,classroom,control
ID483,3.108710926811449,-0.82,state,control,2weekprep
ID484,0.11177484367493062,-0.42,state,classroom,2weekprep
ID485,1.4739007417479222,1.01,private,control,4weekprep
ID486,-0.9545918130041349,1.05,state,classroom,4weekprep
ID487,-3.1964372105484973,-0.77,state,control,control
ID488,0.9864994313341728,1.92,state,classroom,control
ID489,3.3060423085993005,0.3,state,control,2weekprep
ID490,-3.699607610490551,-1.6,state,classroom,2weekprep
ID491,-2.0663311794269363,0.97,private,control,4weekprep
ID492,2.6419658099555887,0.85,private,classroom,4weekprep
ID493,-2.498128137248279,-1.07,state,control,control
ID494,1.4089291256402654,0.39,private,classroom,control
ID495,-1.4412635825366589,0.32,state,control,2weekprep
ID496,2.1969179183563248,1.36,state,classroom,2weekprep
ID497,1.8658335734623626,-0.98,state,control,4weekprep
ID498,7.794305971094652,0.2,state,classroom,4weekprep
ID499,-1.4997377474878382,0.39,state,control,control
ID500,1.256314817126206,0.59,private,classroom,control
ID501,2.629503962743897,-1.17,state,control,2weekprep
ID502,1.9775686774523065,1.2,state,classroom,2weekprep
ID503,1.8803396808379884,-0.28,state,control,4weekprep
ID504,0.49419583469323336,0.71,state,classroom,4weekprep
ID505,0.004644667653396217,0.61,state,control,control
ID506,5.392754390118915,0.3,state,classroom,control
ID507,-1.444176918229695,1.07,state,control,2weekprep
ID508,-2.9207067614838325,-1.14,state,classroom,2weekprep
ID509,3.5584137345423583,0.91,private,control,4weekprep
ID510,1.3149025395119434,0.36,state,classroom,4weekprep
ID511,1.3908253165704485,-0.57,state,control,control
ID512,0.8622880374373756,1.3,state,classroom,control
