birthmonth,height,eyecolour,catdog,threewords,year,course,in_uk,gender,optimism,spirituality,ampm,extraversion,agreeableness,conscientiousness,emot_stability,imagination,loc,pseudonym,sleeprating
oct,165,brown,Dog,"bubbly, amiable, thoughtful",2022,usmr,NA,NA,NA,80,Morning person,40,46,31,10,44,20,salmon,20
oct,178,brown,Dog,"Happy, crazy, curious",2022,usmr,NA,NA,NA,60,Morning person,34,44,29,38,31,25,Tupeaux,90
aug,175,blue,Cat,"Cunning, Caring, Impulsive",2022,usmr,NA,NA,NA,85,Evening person,40,41,26,27,46,21,Uncle,70
mar,157.4,brown,Dog,Independent. Resourceful. Creative.,2022,usmr,NA,NA,NA,85,Morning person,30,41,40,27,47,23,Matilda,75
dec,168.5,brown,Dog,"Introverted, nice, interesting",2022,usmr,NA,NA,NA,90,Evening person,18,41,37,28,26,15,Karen,85
aug,160,other,Dog,"idealist, procrastinator, bookworm",2022,usmr,NA,NA,NA,70,Morning person,29,43,36,26,34,20,77,50
oct,158,brown,Dog,"Kind, silent, and calm.",2022,usmr,NA,NA,NA,89,Evening person,12,35,42,22,28,18,NA,99
mar,NA,brown,Cat,NA,2022,usmr,NA,NA,NA,20,Morning person,27,33,33,39,26,23,NA,90
apr,164,brown,Dog,positive development  free,2022,usmr,NA,NA,NA,90,Evening person,33,39,31,35,30,25,LLL,85
apr,1.82,green,Dog,"kind, empathetic, sensitive",2022,usmr,NA,NA,NA,50,Morning person,26,43,35,25,30,23,susanne,75
jun,157,hazel,Dog,"fun, overthinker, movie junkie",2022,usmr,NA,NA,NA,50,Evening person,40,45,39,32,40,25,Hermione Granger,70
jun,156,brown,Cat,"Honest, Passionate, Organised",2022,usmr,NA,NA,NA,90,Morning person,36,45,39,28,37,24,Monica,80
sep,157,brown,Dog,"Intelligent, witty, caring",2022,usmr,NA,NA,NA,88,Evening person,40,47,47,39,45,21,Diana,78
jan,172,blue,Dog,"Athletic, chatty, easygoing",2022,usmr,NA,NA,NA,60,Evening person,43,40,40,28,34,21,1845,89
dec,177.8,green,Dog,"curious, kind, open-minded",2022,usmr,NA,NA,NA,70,Morning person,38,46,35,38,36,23,michael,80
dec,154,brown,Cat,"open-minded, myopic, musical",2022,usmr,NA,NA,NA,70,Evening person,28,30,36,41,36,24,NA,15
jul,162,brown,Dog,"quiet, silly, curious",2022,usmr,NA,NA,NA,8,Morning person,26,44,34,23,45,26,NA,7
sep,175.26,other,Dog,"Caring, Enthusiastic, Respectful",2022,usmr,NA,NA,NA,50,Evening person,31,41,NA,38,32,24,I21J,70
apr,162.56,brown,Cat,"creative, optimistic, curious",2022,usmr,NA,NA,NA,0,Morning person,36,43,31,27,38,19,grace f,90
may,170,hazel,Dog,Trying my best,2022,usmr,NA,NA,NA,90,Morning person,17,32,29,25,26,16,NA,60
mar,178,blue,Dog,"Ambitious, Weird, Loyal",2022,usmr,NA,NA,NA,70,Evening person,30,36,37,24,40,24,Eliza,50
jul,167,green,Cat,"Resillient, intuitive, open-minded",2022,usmr,NA,NA,NA,25,Evening person,37,44,35,37,36,26,NA,75
apr,170,blue,Dog,"open-minded, excitable, sociable",2022,usmr,NA,NA,NA,20,Evening person,39,42,37,31,36,24,RedPandaLover123,70
mar,157,hazel,Dog,"Sweet, curious, adaptable.",2022,usmr,NA,NA,NA,100,Evening person,23,47,45,33,42,27,WSKYLPZ,90
feb,162.4,brown,Dog,"introvert, earnest，dependent",2022,usmr,NA,NA,NA,50,Evening person,15,32,27,29,35,23,cool,66
aug,157,green,Dog,Fun smiley friendly,2022,usmr,NA,NA,NA,100,Morning person,46,39,45,27,38,26,NEB,50
dec,164,brown,Dog,"Honest, Friendly, Sensitive",2022,usmr,NA,NA,NA,70,Morning person,29,45,40,26,32,21,Y,70
may,162.5,brown,Dog,"anxious, curious, kind",2022,usmr,NA,NA,NA,100,Evening person,26,34,29,25,29,23,dex09,65
jun,180.3,brown,Cat,"tired, funny, tall",2022,usmr,NA,NA,NA,80,Evening person,41,38,27,40,41,23,B,65
jan,160,green,Cat,"kind, interested, anxious",2022,usmr,NA,NA,NA,15,Evening person,26,44,34,19,40,26,Mila,60
nov,157,brown,Cat,"sleepy, perfectionistic, clumsy",2022,usmr,NA,NA,NA,80,Evening person,13,38,37,17,34,20,aww,40
mar,177,brown,Cat,"patient, friendly, good-listener",2022,usmr,NA,NA,NA,70,Morning person,28,33,38,40,29,23,NA,85
may,182,brown,Dog,"confident, smart, outgoing",2022,usmr,NA,NA,NA,80,Evening person,30,39,37,26,41,18,MeiYR,90
may,164,brown,Cat,authentic slow observant,2022,usmr,NA,NA,NA,90,Evening person,36,46,26,35,50,23,Niña,75
may,178,green,Cat,NA,2022,usmr,NA,NA,NA,99,Morning person,50,22,14,18,18,6,Definitely not Ian,3
jun,173,hazel,Dog,"gameness, foodie, chitchat",2022,usmr,NA,NA,NA,60,Evening person,36,NA,20,31,41,16,NA,75
nov,149,hazel,cat,"Excited, anxious, passiote",2021,usmr,NA,female,80,10,Evening person,33,44,44,22,39,28,NA,NA
dec,153,hazel,cat,"reserved, nerdy, approachable",2021,usmr,NA,female,40,40,Evening person,17,32,28,15,22,15,NA,NA
sep,155,green,cat,"curious, sociable, diplomatic",2021,usmr,NA,NA,154,95,Morning person,26,41,43,26,25,26,NA,NA
jun,158,brown,cat,NA,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,158,brown,cat,NA,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,160,brown,cat,diligent smart optimistic,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,160,brown,cat,"low-key, funny, nervous",2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,160,brown,cat,agreeable female sociophobic,2021,usmr,NA,female,68,25,Evening person,23,40,34,25,39,19,NA,NA
nov,162,hazel,cat,"Motivated, passiote, patient",2021,usmr,NA,female,73,25,Evening person,37,41,26,22,43,24,NA,NA
oct,162.56,hazel,cat,Ambitious Fun Friendly,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,163,green,cat,"funny, driven, curious",2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,163,green,cat,NA,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,164,brown,cat,NA,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,164,blue,cat,"sarcastic, indecisive, kind",2021,usmr,NA,female,100,85,Evening person,26,47,37,27,31,27,NA,NA
nov,165,brown,cat,"colourful, linguist, overthinker",2021,usmr,NA,male,85,90,Evening person,21,44,34,32,39,24,NA,NA
nov,165,brown,cat,"optimistic, hard-working, dedicated",2021,usmr,NA,female,50,60,Morning person,25,41,43,30,31,28,NA,NA
may,165,NA,cat,"Likeable, friendly, creative",2021,usmr,NA,female,80,20,Morning person,24,41,28,39,29,20,NA,NA
oct,168,brown,cat,lazy,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apr,168,other,cat,Night Owl Glasses,2021,usmr,NA,female,90,60,Morning person,33,39,29,20,42,21,NA,NA
jun,168,brown,cat,I don't know,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,169,brown,cat,"outgoing, ambitious, compassiote",2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,170,green,cat,"Independent, Resourceful, Shy",2021,usmr,NA,female,50,90,Evening person,40,48,35,16,34,18,NA,NA
sep,170,hazel,cat,"creative, optimistic, sociable",2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,170,brown,cat,"straight-forward, persistence, interesting",2021,usmr,NA,female,75,75,Evening person,34,47,42,22,39,19,NA,NA
mar,171,brown,cat,NA,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,172,brown,cat,"Chaotic, happy, busy",2021,usmr,NA,non-biry,100,70,Evening person,36,44,26,29,46,24,NA,NA
oct,173,brown,cat,anxious creative haunted,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,175,green,cat,"Creative, introspective, dedicated",2021,usmr,NA,female,60,2,Evening person,27,39,33,31,49,22,NA,NA
feb,175,hazel,cat,"quiet, thoughtful, anxious",2021,usmr,NA,female,63,10,Evening person,20,37,34,18,36,26,NA,NA
nov,178,green,cat,NA,2021,usmr,NA,male,87,67,Evening person,24,42,45,33,37,26,NA,NA
jan,180,blue,cat,NA,2021,usmr,NA,male,75,20,Evening person,29,30,38,34,33,29,NA,NA
nov,183,brown,cat,"hiking, photographing, open-minded",2021,usmr,NA,male,30,5,Evening person,39,45,25,45,40,20,NA,NA
sep,190,brown,cat,NA,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,191,brown,cat,NA,2021,usmr,NA,male,65,15,Evening person,20,44,36,18,41,13,NA,NA
oct,NA,brown,cat,NA,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,152,blue,dog,"creative, kind, fun",2021,usmr,NA,female,75,85,Morning person,22,48,34,26,37,24,NA,NA
apr,153,brown,dog,"kind, funny, smart",2021,usmr,NA,female,70,60,Evening person,35,42,30,32,32,18,NA,NA
oct,154.94,green,dog,"ambitious, empathetic, passiote",2021,usmr,NA,female,50,20,Evening person,32,42,35,18,37,23,NA,NA
feb,157,brown,dog,"Funny, Smart, Witty",2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,158,brown,dog,"quiet, easy-going",2021,usmr,NA,female,78,50,Evening person,19,43,33,22,42,24,NA,NA
may,160,brown,dog,excited outgoing friendly,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,160,hazel,dog,NA,2021,usmr,NA,female,10,100,Morning person,14,39,39,25,37,23,NA,NA
feb,160,brown,dog,"strong, funny, smart",2021,usmr,NA,female,90,90,Morning person,25,37,31,31,28,19,NA,NA
aug,160,other,dog,"Enthusiastic, passiote, intelligent",2021,usmr,NA,female,80,80,Evening person,41,34,32,31,36,24,NA,NA
oct,160,brown,dog,like a sun,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,162.56,brown,dog,Often googling stuff,2021,usmr,NA,female,50,50,Evening person,25,31,32,20,34,15,NA,NA
nov,163,grey,dog,NA,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,163,brown,dog,NA,2021,usmr,NA,female,60,30,Evening person,33,39,33,26,34,26,NA,NA
sep,164,brown,dog,"warm,open-minded,perseverant",2021,usmr,NA,female,5,0,Evening person,21,44,40,16,50,14,NA,NA
sep,164,brown,dog,"Procrastitor, Tired, Determined",2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,165.09,blue,dog,"Chatty, social, caring",2021,usmr,NA,female,88,0,Evening person,30,47,29,25,39,24,NA,NA
jan,165.1,brown,dog,NA,2021,usmr,NA,female,50,50,Evening person,24,43,38,26,31,27,NA,NA
feb,166,green,dog,"Empathetic, motivated, disorganised",2021,usmr,NA,female,70,10,Evening person,37,44,22,27,42,21,NA,NA
apr,167,brown,dog,Awkward Sleepy Kind,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,167,other,dog,a sleepy student,2021,usmr,NA,female,20,90,Evening person,28,26,39,19,31,17,NA,NA
apr,167.64,brown,dog,"curious, mountain-lover, Iraqi",2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,168,blue,dog,"curious, thoughtful, funny(ish)",2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,168,brown,dog,"nerdy, artsy, adventurous",2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,168,grey,dog,"Student, Psychologist, Tourist",2021,usmr,NA,female,85,50,Evening person,29,37,35,38,32,21,NA,NA
jun,169,brown,dog,"sensitive, kind, ordiry",2021,usmr,NA,female,90,0,Evening person,37,41,32,30,29,18,NA,NA
may,170,blue,dog,NA,2021,usmr,NA,female,50,5,Evening person,26,46,42,31,39,25,NA,NA
nov,170,blue,dog,"kind, generous, crazy",2021,usmr,NA,non-biry,100,0,Morning person,41,49,47,17,50,25,NA,NA
sep,170,brown,dog,NA,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,170,hazel,dog,"sociable, funny, clever",2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,170.7,blue,dog,"Caring, Honest, Loyal",2021,usmr,NA,female,65,54,Evening person,26,49,36,23,41,26,NA,NA
dec,171,green,dog,NA,2021,usmr,NA,female,65,60,Evening person,34,48,37,23,31,23,NA,NA
jun,173,brown,dog,timid positive listenting,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,173,brown,dog,"curious, stupid, happy",2021,usmr,NA,female,50,65,Morning person,41,45,26,23,37,16,NA,NA
jul,174,brown,dog,"resilient, lively, confident",2021,usmr,NA,male,70,80,Morning person,31,43,36,30,32,21,NA,NA
apr,175,hazel,dog,NA,2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,175,brown,dog,I am excited,2021,usmr,NA,female,90,24,Evening person,35,47,45,32,46,27,NA,NA
dec,175,brown,dog,NA,2021,usmr,NA,female,80,50,Morning person,40,45,35,36,30,21,NA,NA
dec,175.5,green,dog,"spontaneous, curious, loving",2021,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,177,brown,dog,kind postive trustworthy,2021,usmr,NA,male,10,60,Evening person,23,41,33,23,39,14,NA,NA
nov,178,brown,dog,"Hard-working, loyal, determined",2021,usmr,NA,male,60,50,Evening person,25,37,28,27,34,23,NA,NA
may,185,blue,dog,curious deliberate motivated,2021,usmr,NA,male,100,0,Morning person,15,29,37,17,46,16,NA,NA
may,195,grey,dog,Tall Lanky Pole,2021,usmr,NA,male,70,10,Morning person,29,37,39,33,42,23,NA,NA
may,154,brown,cat,Short Passiote Compassiote,2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,158,brown,cat,"creative, curious, neat",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,158,brown,cat,"creative, reflexive, chill",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,158,other,cat,smart diligent lazy,2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,159,brown,cat,"introvert, smart, honest",2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,160,brown,cat,"passioted, diligent, kind",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apr,162,brown,cat,"Intense, eloquent, curious",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,163,brown,cat,"Stubborn, ambitious and prudent",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,163,blue,cat,NA,2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,163,brown,cat,nerdy independent friendly,2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,165,hazel,cat,"Strong, silly, open",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apr,166,blue,cat,"Kind, Open-minded, Curious",2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,166,brown,cat,"Curious, emotiol, annoying",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,167,hazel,cat,"optimistic, persistent, innovative",2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,167,brown,cat,NA,2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,167,brown,cat,"friendly, shy, gentle",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,168,brown,cat,"athletic, responsible, curious",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apr,168,brown,cat,human optimism psychology,2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,172,green,cat,Crazy but ambitious,2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,174,brown,cat,NA,2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,174,brown,cat,"nice, kind, listening",2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,177,blue,cat,"friendly, observant, nerdy",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,177,green,cat,"Open, Sincere, Curious",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,178,blue,cat,"curious, distractible, funny",2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,185.5,brown,cat,"aggressive, independent, amiable",2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,188,blue,cat,"fortute, adventurous, thoughtful",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,149,blue,dog,"Awkward, smart, funny.",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,154,brown,dog,"Curious, Calm, Adventurous",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,157,blue,dog,"Conscientious, Enthusiastic, Patient",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,157,green,dog,Short and sweet,2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,157,brown,dog,"Motivated, lazy, hard-working",2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,158,brown,dog,NA,2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apr,160,brown,dog,quiet deep thinker,2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apr,160,hazel,dog,"Adventurous, Curious, Gregarious",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,160,brown,dog,unrestrained diverisitied humurous,2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,161,brown,dog,"Caring, funny, thinker",2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apr,162,brown,dog,"Optimistic, Emotiol, Hardworking",2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,163,brown,dog,NA,2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,163,other,dog,NA,2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,164,brown,dog,"Curious, observant and nervous",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,164,brown,dog,"Curious, Creative, Carer",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,165,brown,dog,"warm, reliable, open-minded",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,165,brown,dog,"confident, indepent, curious",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,165,green,dog,"Bubbly, Charismatic, Fun",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,165,blue,dog,"curious, passiote, collaborative",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,165,blue,dog,"curious, passiote, collaborative",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,166,brown,dog,"dedicated, resourceful, friendly",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,166,blue,dog,"language-nerd, plant-lover, dancer",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,166,blue,dog,NA,2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,167.64,brown,dog,"Quirky, Pensive, Argumentative",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,168,brown,dog,always always sleepy,2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,169,hazel,dog,NA,2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,169,brown,dog,"ratiol, empathetic, competitive",2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,170,brown,dog,"Friendly, dedicated and curious",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apr,170,blue,dog,"clumsy, ambitious, open-minded",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,170,hazel,dog,"Enthusiastic, principled, individualist",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,170,blue,dog,Ready to study,2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,170,green,dog,"Creative, Optimistic, Curious",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,171,brown,dog,"Active, sportive, organized",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,172,blue,dog,"Adventurous, musical and excitable",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,173,brown,dog,curious caring fair,2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,175,blue,dog,"active, sports-enthusiast, European",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,176,brown,dog,"Books, tired, interested",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,176,blue,dog,"Patient, hard-working, organised",2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,177,green,dog,"violence, speed, momentum",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,177,blue,dog,"sporty, quiet, funny",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
