sub,bilingualism,age,score
subject_45,bilingual,85,56.185931272892
subject_46,not bilingual,65,80.9001829391651
subject_46,not bilingual,75,61.0229431493971
subject_46,not bilingual,85,49.2838356966219
subject_47,bilingual,65,71.3926055894434
subject_47,bilingual,75,66.7687175862701
subject_47,bilingual,85,82.2070369022398
subject_48,bilingual,65,82.2896816507134
subject_48,bilingual,75,82.8299139121916
subject_48,bilingual,85,92.1973754439409
subject_49,not bilingual,65,79.0916392723118
subject_49,not bilingual,75,63.4541643870408
subject_49,not bilingual,85,51.5699506105849
subject_50,bilingual,65,80.6576969792909
subject_50,bilingual,75,80.7183717619491
subject_50,bilingual,85,91.2946768989934
