col,p_h,sulphates,volatile_acidity,residual_sugar,citric_acid,alcohol,quality
red,3.37,0.71,0.66,3.2,0.39,11.5,7
red,3.24,0.62,0.61,3.4,0.26,9.7,5
red,3.29,0.63,0.62,2.3,0.05,9.3,5
red,3.28,0.7,0.59,2.8,0.42,9.5,6
red,3.16,0.69,0.49,11,0.2,9.2,6
red,3.16,0.69,0.49,11,0.2,9.2,6
red,3.05,0.74,0.53,3.65,0.66,11.5,7
red,3.28,0.83,0.44,4.5,0.5,11.5,5
red,3.16,0.67,0.27,2.6,0.62,9.7,6
red,3.18,0.62,0.46,2,0.39,9.5,5
red,3.23,0.66,0.36,2.9,0.64,12.5,6
red,3.23,0.66,0.36,2.9,0.64,12.5,6
red,3.22,0.54,0.58,3.2,0.28,9.4,6
red,3.13,0.52,0.56,2.1,0.08,11,5
red,3.34,0.74,0.65,2.5,0.01,11.7,7
red,3.17,0.84,0.695,3.4,0.53,12.2,7
red,3.35,0.7,0.43,1.9,0.45,12.5,6
red,3.31,0.64,0.43,2.8,0.32,10.3,5
red,3.16,1,0.49,3,0.58,11.5,6
red,3.11,1.36,0.28,2.3,0.54,9.8,7
red,3.12,1.18,0.34,2.4,0.5,9.2,6
red,3.21,0.87,0.42,2.7,0.48,11.3,6
red,3.3,0.75,0.39,1.8,0.47,9.8,6
red,3.3,0.75,0.39,1.8,0.47,9.8,6
red,3.12,0.78,0.57,2.6,0.5,10.7,6
red,3.6,0.81,0.685,1.9,0,9.9,5
red,3.58,0.89,0.815,2.7,0.02,12.3,7
red,3.02,0.93,0.49,3,0.67,12,6
red,3.11,0.92,0.56,2.8,0.31,10,6
red,3.36,0.86,0.785,2.6,0,9.4,6
red,3.28,0.98,0.67,2.7,0.22,9.9,6
red,3.35,0.83,0.795,2.6,0,9.4,6
red,3.27,0.73,0.665,2.4,0,9.3,5
red,3.18,0.77,0.53,4.8,0.79,13,5
red,3.25,0.59,0.21,1.4,0.4,11.9,6
red,3.55,0.61,0.75,2.4,0.01,12.8,6
red,3.26,0.88,0.41,3,0.52,11,5
red,3.24,0.75,0.42,2.95,0.66,11.7,7
red,3.15,0.85,0.43,3.1,0.66,10.4,7
red,3.17,0.68,0.38,2.6,0.66,9.8,6
red,3.19,0.7,0.7,2,0.23,9.4,5
red,3.37,0.91,0.45,2.6,0.31,9.9,6
red,3.05,0.56,0.58,2.5,0.66,10,5
red,2.99,0.87,0.46,2,0.63,10.2,5
red,3.07,0.73,0.615,5.8,0.66,10,7
red,3.26,0.93,0.42,3.4,0.5,11.8,6
red,3.07,0.73,0.615,5.8,0.66,10,7
red,3.16,0.69,0.575,2.6,0.61,9,5
red,3.18,0.64,0.34,2.8,0.52,9.4,5
red,3.2,1.13,0.27,2.4,0.53,12,7
red,3.57,0.78,0.765,2.3,0.02,9.9,5
red,3.32,0.87,0.24,1.6,0.4,8.7,6
red,3.32,1.04,0.28,1.8,0.48,10.6,6
red,3.05,0.63,0.55,2.2,0.22,9.2,5
red,3.01,0.81,0.41,3.8,0.63,10.8,6
red,3.01,0.83,0.54,4.4,0.71,11.8,7
red,3.26,1.11,0.45,3,0.5,11,6
red,3.2,1.13,0.27,2.4,0.53,12,7
red,3.11,0.99,0.625,6.2,0.66,13.3,6
red,3.31,0.7,0.42,2.5,0.38,10.8,6
red,3.21,0.8,0.26,2,0.42,9.4,6
red,3.06,0.8,0.415,2.9,0.68,10,6
red,3.21,0.8,0.26,2,0.42,9.4,6
red,3.21,0.8,0.26,2,0.42,9.4,6
red,3.42,0.74,0.51,2.1,0.28,9.2,5
red,3.43,0.76,0.63,2.4,0.07,9.7,6
red,3.41,0.74,0.54,2,0.26,9.2,6
red,3.31,0.54,0.66,1.9,0.15,9.6,6
red,3.43,0.74,0.46,1.9,0.26,9.2,6
red,3.19,0.7,0.38,2.5,0.31,10,7
red,3.56,0.82,0.85,1.4,0.05,12.9,8
red,3.06,0.8,0.415,2.9,0.68,10,6
red,3.18,0.51,0.37,2,0.52,9.5,5
red,3.16,0.54,0.665,2,0.61,9.1,5
red,3.03,0.57,0.6,2.3,0.65,9.9,5
red,3.22,0.6,0.37,4.2,0.76,13,7
red,3.47,0.53,0.735,7.9,0.02,9.9,5
red,3.18,0.65,0.59,2.6,0.59,11,6
red,3.18,0.65,0.59,2.6,0.59,11,6
red,3.1,0.55,0.765,2.3,0.22,9.4,5
red,3.47,0.53,0.735,7.9,0.02,9.9,5
red,3.29,0.47,0.26,1.7,0.3,10.8,6
red,3.1,0.61,0.48,2.6,0.54,10.5,6
red,3.15,0.63,0.6,2.7,0.49,10.5,6
red,3.26,0.61,0.69,2.7,0.05,9.1,5
red,3.36,0.76,0.31,1.4,0.46,10.1,6
red,3.24,0.65,0.44,2.5,0.47,10.8,6
red,3.18,0.63,0.39,3,0.66,10.8,7
red,3.19,0.7,0.34,3.7,0.58,11.3,6
red,3.05,0.57,0.46,4.5,0.49,9.6,4
red,3.38,0.62,0.43,2.5,0.34,9.5,6
red,3.38,0.62,0.45,2.4,0.35,9.5,5
red,3.27,0.64,0.735,1.9,0.16,9.3,5
red,3.27,0.82,0.4,6.7,0.53,11.7,7
red,3.26,0.61,0.52,2.7,0.34,9.5,5
red,3.32,1.07,0.725,6.6,0.24,9.3,5
red,3.26,0.66,0.48,2.2,0.64,11.7,6
red,3.44,0.48,0.58,1.9,0.12,10.5,5
red,3.24,0.76,0.38,2,0.51,10.4,6
red,3.62,0.68,0.77,1.8,0,9.9,5
red,3.28,0.73,0.56,2.4,0.33,11.8,7
red,3.52,0.56,0.84,2.3,0.03,12.3,7
red,3.36,0.44,0.96,2,0.2,10.9,5
red,3.15,0.9,0.24,2.1,0.47,11,7
red,3.36,0.44,0.96,2,0.2,10.9,5
red,3.52,0.56,0.84,2.3,0.03,12.3,7
red,3.49,0.49,0.67,2.1,0.08,11.4,6
red,3.26,0.56,0.78,1.9,0.22,10.6,6
red,3.24,0.6,0.52,1.3,0.33,9.3,5
red,3.1,0.6,0.84,2.4,0.63,10.4,6
red,3.15,0.9,0.24,2.1,0.47,11,7
red,3.25,0.56,0.55,2.2,0.35,9.2,5
red,3,0.65,0.37,2.3,0.69,12.8,6
red,3.16,0.49,0.39,2.3,0.63,9.5,5
red,3.15,0.89,0.41,3.2,0.55,9.9,6
red,3.16,0.49,0.39,2.3,0.63,9.5,5
red,3.26,0.56,0.67,2,0.3,10.2,6
red,3.17,0.66,0.45,3.2,0.73,11.2,6
red,3.15,0.89,0.41,3.2,0.55,9.9,6
red,3.08,0.6,0.62,1.5,0.18,9.3,5
red,2.88,0.82,0.31,2.2,0.72,9.8,8
red,3.06,0.68,0.4,2.15,0.65,11.3,6
red,2.95,0.68,0.685,3.7,0.76,11.2,7
red,3.23,0.63,0.44,2.7,0.49,11.6,7
red,3.57,0.84,0.57,1.7,0.01,12.5,7
red,3.23,0.56,0.735,2.1,0.1,10.1,6
red,3.1,0.73,0.38,2.6,0.6,10.5,5
red,3.22,0.72,0.48,2.1,0.29,11.2,5
red,3.2,0.56,0.53,2,0.22,10.2,6
red,3.1,0.61,0.39,2.8,0.69,10.8,6
red,3.1,0.61,0.39,2.8,0.69,10.8,6
red,3.06,1.06,0.37,1.8,0.53,9.1,6
red,3.44,0.63,0.56,1.7,0.03,10,6
red,3.26,0.74,0.33,2.8,0.63,11.2,7
red,3.5,0.63,0.23,1.6,0.4,11.1,5
red,3.22,0.69,0.62,5.2,0.67,13.4,8
red,3.37,0.58,0.59,2.3,0.39,10.3,5
red,3.28,0.58,0.63,2.7,0.21,9.6,5
red,3.26,0.74,0.33,2.8,0.63,11.2,7
red,3.25,0.57,0.58,2.2,0.66,9,3
red,3.35,0.61,0.43,2.3,0.52,11.3,6
red,3.26,0.61,0.615,2.6,0.22,9.3,5
red,3.18,0.61,0.26,2.55,0.68,11.8,5
red,3.08,0.53,0.66,2.2,0.7,9,5
red,2.98,0.7,0.315,2.1,0.54,9.2,6
red,3.48,0.91,0.29,2.9,0.4,9.7,5
red,3.16,0.72,0.5,2,0.42,11.5,6
red,3.32,0.79,0.46,2.6,0.45,14,6
red,3.17,0.62,0.36,2.1,0.69,9.2,6
red,3.2,0.58,0.82,1.2,0.02,9.8,5
red,3.05,0.61,0.32,2.6,0.65,10.6,5
red,3.2,0.71,0.54,2.4,0.42,11.4,6
red,3.15,0.82,0.37,2.6,0.55,10.4,6
red,3.26,0.79,0.35,2.1,0.55,10.6,5
red,3.2,0.89,0.28,1.7,0.51,9.4,6
red,3.14,0.6,0.68,2.2,0.24,10.2,5
red,3.28,0.7,0.27,2,0.41,9.7,5
red,3.18,1.06,0.24,1.8,0.49,11,6
red,3.14,0.6,0.68,2.2,0.24,10.2,5
red,3.19,0.7,0.685,2.7,0.11,10.1,6
red,3.12,0.66,0.28,15.5,0.39,9.2,5
red,3.15,0.92,0.3,2.8,0.56,11.7,8
red,3.04,1.05,0.36,2.2,0.59,9.4,5
red,3.04,1.06,0.36,2.2,0.6,9.4,5
red,3.06,0.66,0.44,4.1,0.68,13.4,6
red,3.17,0.47,0.67,1.9,0.39,10,5
red,3.17,0.47,0.67,1.9,0.39,10,5
red,3.17,0.42,0.645,1.8,0.36,10,6
red,3.32,0.92,0.32,2.8,0.55,10.8,7
red,3.34,0.75,0.39,2.6,0.4,10.2,6
red,3.31,0.67,0.775,2.8,0.27,10.6,6
red,3.34,0.79,0.41,2.5,0.5,13.3,7
red,3.32,0.9,0.4,2.6,0.51,13.4,7
red,3.48,0.74,0.69,3,0.31,11.6,6
red,3.44,0.55,0.39,8.3,0.23,12.1,6
red,3.15,0.65,0.35,2.6,0.53,11,8
red,3.43,0.65,0.52,1.9,0.25,9,6
red,3.32,0.79,0.34,2.5,0.32,11.1,5
red,3.15,0.65,0.35,2.6,0.53,11,8
red,3.48,0.74,0.69,3,0.31,11.6,6
red,3.43,0.65,0.52,1.9,0.25,9,6
red,3.17,0.85,0.44,6.55,0.73,12,7
red,3.17,0.85,0.44,6.55,0.73,12,7
red,3.18,1.04,0.26,1.9,0.47,10.9,7
red,3.21,1.05,0.24,1.8,0.42,10.8,7
red,3.16,0.78,0.49,2.9,0.63,12.5,7
red,3.25,1.02,0.24,1.8,0.46,10.8,7
red,3.17,0.71,0.67,2.3,0.55,9.5,6
red,3.18,0.63,0.59,2.2,0.31,10.2,6
red,3.04,0.68,0.29,2.8,0.75,11.4,7
