"ID","educ","income","occscale","loc","wb"
"ID236",14,36,6,-0.691253154321294,2.27457804058444
"ID237",18,39,10,-0.369503570037299,4.42380770764711
"ID238",14,24,6,-1.23178171785237,-0.938056968984095
"ID239",14,53,10,-0.0523493800020813,1.35197364145172
"ID240",18,27,5,-1.67266655977221,-0.609126847477476
"ID241",16,37,9,-1.90423857955165,-0.693573826186898
"ID242",17,41,10,0.932988177475485,2.63188884423363
"ID243",15,30,10,1.11302899770972,3.4601783291237
"ID244",16,41,10,-0.860259012221073,2.73398927081495
"ID245",15,44,10,0.639648474621757,1.77302409025011
"ID246",16,29,7,-0.989656659720072,-0.563008280714425
"ID247",15,30,10,-0.409722543660359,-1.1539893482577
"ID248",16,39,10,-0.266529368531646,1.46579015215956
"ID249",16,29,6,-1.53713078866654,0.322079448483423
"ID250",13,36,4,-1.09136157672633,1.61760523053342
"ID251",17,49,10,-1.20548883365122,1.71249643859533
"ID252",16,26,8,1.25659411898493,5.8277380551995
"ID253",17,36,10,0.535362591853838,6.20917674016626
"ID254",16,26,6,0.681755634703316,3.57181042188992
"ID255",15,39,10,0.612163372352671,2.91329157578965
"ID256",17,28,9,0.34968639850624,5.14162882416618
"ID257",14,33,10,0.634758120138248,1.11799108430794
"ID258",15,28,9,0.706824243197891,5.01020899660574
"ID259",16,42,10,0.792409129571306,4.39955160094377
"ID260",14,41,10,-0.69474834770459,4.19863951434688
"ID261",15,38,8,-0.0706689696352649,2.79274693753106
"ID262",15,31,8,-0.524293829836407,-0.345984893635734
"ID263",14,36,7,-1.1715733419878,4.29152669865357
"ID264",15,30,10,1.22852066958489,5.15930906630632
"ID265",14,27,6,1.13067721646951,6.89211348852691
"ID266",14,45,10,-0.455001855851715,0.478607508104708
"ID267",18,36,9,0.393221072459197,1.09357998049765
"ID268",15,35,7,1.75143738769588,1.23063919133833
"ID269",16,46,9,0.588487186240137,2.52991855241936
"ID270",17,29,9,0.642928582697385,3.69841674276934
"ID271",14,33,9,-0.583577725863825,1.04070752996475
"ID272",15,32,9,0.3946544969696,1.67453111381344
"ID273",17,32,8,1.13693718116903,2.1350492548482
"ID274",14,29,10,-0.767721048753219,-1.1240691066314
"ID275",15,40,10,-0.88639874883632,3.96048876961699
"ID276",16,30,10,-0.516690674720569,4.08588062873612
"ID277",14,33,7,0.292859800120179,-0.329855548966552
"ID278",15,37,10,-0.369329181019089,2.41275396669256
"ID279",18,29,8,-1.72766913944874,3.16210096333635
"ID280",15,25,8,-0.491319405651569,4.74363236105157
"ID281",14,29,8,0.280637650292098,4.73769738662704
"ID282",17,37,10,-0.634796581025214,2.431228287177
"ID283",15,26,7,-0.579862722559311,4.11316222226644
"ID284",17,34,9,-0.493976507179692,2.59791913952096
"ID285",15,31,6,-1.83575422739353,0.929183415718858
"ID286",16,31,6,1.32000785001563,2.8353823413608
"ID287",16,38,9,0.358817480283252,1.51059669130783
"ID288",14,30,7,0.288974085013926,1.01961185167901
"ID289",15,41,10,0.237441822132929,0.341212524429637
"ID290",14,35,8,1.33208392003026,5.92687437061692
"ID291",16,39,9,0.445355070581409,-0.646871865157773
"ID292",16,28,9,-0.953226032493695,0.934238177662307
"ID293",17,31,9,-0.863378733281571,4.04156601802883
"ID294",14,37,10,-0.379522647872538,1.94225139764762
"ID295",15,29,6,-0.920805603490935,-3.15994363704562
"ID296",17,34,9,-1.90246405148321,-2.63238882698339
"ID297",15,33,9,0.21336903368595,2.73419119687174
"ID298",13,41,10,-0.805715773516926,4.17702954142858
"ID299",16,42,10,-0.508011578613383,0.444801268408724
"ID300",16,28,9,1.25999092652034,5.833511430804
