stakes,condition,sub,throw,trial_no,hrv
13,kudos,21,1,trial_7,4.85051143185511
9,kudos,21,1,trial_8,5.18142118566163
1,kudos,21,0,trial_9,6.86244455404474
8,kudos,21,1,trial_10,5.47490955144079
16,kudos,21,1,trial_11,5.64012783615762
5,kudos,21,0,trial_12,NA
20,kudos,21,1,trial_13,6.41202274081728
15,kudos,21,1,trial_14,5.68334897806165
7,kudos,21,1,trial_15,5.3508461065505
12,kudos,21,1,trial_16,5.36199835768595
2,kudos,21,1,trial_17,5.38430253026132
14,kudos,21,0,trial_18,3.95334310622362
6,kudos,21,0,trial_19,4.86289340783481
19,kudos,21,1,trial_20,4.73362246538848
14,kudos,22,1,trial_1,3.41559701657578
12,kudos,22,1,trial_2,5.04263869602489
17,kudos,22,1,trial_3,2.77316451309868
5,kudos,22,1,trial_4,3.67594967031088
11,kudos,22,1,trial_5,3.36528345343319
4,kudos,22,1,trial_6,NA
13,kudos,22,1,trial_7,4.74775060359641
15,kudos,22,0,trial_8,3.47549782616541
2,kudos,22,0,trial_9,4.10933143901935
18,kudos,22,1,trial_10,NA
7,kudos,22,1,trial_11,4.74614545728319
6,kudos,22,1,trial_12,3.59997493408735
10,kudos,22,1,trial_13,3.6611782723318
3,kudos,22,1,trial_14,3.5556693783713
1,kudos,22,1,trial_15,2.9016850948037
8,kudos,22,0,trial_16,3.35882455810248
20,kudos,22,1,trial_17,3.86876066516617
9,kudos,22,1,trial_18,3.83908259391025
16,kudos,22,1,trial_19,2.9000071474184
19,kudos,22,1,trial_20,5.36205596110021
7,kudos,23,1,trial_1,4.0157071968088
9,kudos,23,1,trial_2,4.04945041181147
3,kudos,23,1,trial_3,5.03746735310543
2,kudos,23,1,trial_4,2.38842002732346
8,kudos,23,1,trial_5,4.46889263910966
5,kudos,23,1,trial_6,5.67375506683509
15,kudos,23,1,trial_7,NA
6,kudos,23,1,trial_8,5.41668164515419
19,kudos,23,1,trial_9,6.95590129537167
14,kudos,23,1,trial_10,5.99626627650131
1,kudos,23,1,trial_11,3.62446804512308
18,kudos,23,0,trial_12,4.42271791964061
17,kudos,23,1,trial_13,6.52180456125919
11,kudos,23,0,trial_14,4.57389032300004
13,kudos,23,1,trial_15,5.52677504209182
12,kudos,23,0,trial_16,4.68698155547529
20,kudos,23,1,trial_17,4.61325872329509
4,kudos,23,1,trial_18,5.76696405997245
16,kudos,23,1,trial_19,4.78183944075856
10,kudos,23,0,trial_20,4.68905061653948
6,kudos,24,1,trial_1,5.41790191083143
15,kudos,24,1,trial_2,6.38054003190615
16,kudos,24,1,trial_3,6.80558502775165
8,kudos,24,1,trial_4,5.68508556307429
10,kudos,24,1,trial_5,6.41855666436667
17,kudos,24,1,trial_6,4.25058994410967
12,kudos,24,1,trial_7,6.08363034070384
20,kudos,24,1,trial_8,5.0015885201572
7,kudos,24,1,trial_9,5.67552063451667
13,kudos,24,1,trial_10,5.73239521882996
11,kudos,24,1,trial_11,4.69273778326947
18,kudos,24,1,trial_12,6.30546156664078
1,kudos,24,0,trial_13,5.42443636489304
4,kudos,24,1,trial_14,5.86211128666787
3,kudos,24,1,trial_15,6.14318329687047
14,kudos,24,0,trial_16,3.78678954519779
5,kudos,24,1,trial_17,5.18705798920064
2,kudos,24,1,trial_18,6.77011299926914
9,kudos,24,1,trial_19,4.02692577472108
19,kudos,24,1,trial_20,2.92264046129288
1,kudos,25,1,trial_1,5.1808684786115196
11,kudos,25,1,trial_2,5.71518385752827
10,kudos,25,1,trial_3,7.72429531401108
20,kudos,25,1,trial_4,4.67157862572685
5,kudos,25,1,trial_5,5.61434061356478
9,kudos,25,1,trial_6,4.97375758297781
18,kudos,25,1,trial_7,6.73709457765213
17,kudos,25,0,trial_8,5.84176638250278
3,kudos,25,1,trial_9,4.45072752480472
13,kudos,25,0,trial_10,4.59913087362151
19,kudos,25,0,trial_11,4.28048796999098
2,kudos,25,1,trial_12,4.71387148896344
14,kudos,25,1,trial_13,6.60696861515619
8,kudos,25,1,trial_14,6.36102573891964
12,kudos,25,1,trial_15,5.64013631422328
16,kudos,25,1,trial_16,6.28172790725754
7,kudos,25,1,trial_17,6.2460754740271
15,kudos,25,0,trial_18,5.85672059953744
6,kudos,25,0,trial_19,7.44263471754438
4,kudos,25,1,trial_20,5.69525083807898
12,kudos,26,0,trial_1,5.14699974110091
8,kudos,26,1,trial_2,5.50297222152303
9,kudos,26,1,trial_3,5.20342901137242
11,kudos,26,1,trial_4,6.66523045486537
14,kudos,26,1,trial_5,6.3250942748128
4,kudos,26,1,trial_6,1.82433376082108
10,kudos,26,0,trial_7,3.56033023704944
3,kudos,26,1,trial_8,2.75232485181591
13,kudos,26,0,trial_9,5.15257961909765
7,kudos,26,1,trial_10,5.02555184502753
6,kudos,26,1,trial_11,3.83475475169712
5,kudos,26,1,trial_12,3.55198073698884
20,kudos,26,1,trial_13,6.73970525001138
2,kudos,26,0,trial_14,0.89843933945373
18,kudos,26,1,trial_15,7.37921771040914
1,kudos,26,0,trial_16,2.69080799500783
19,kudos,26,0,trial_17,6.02195743201989
15,kudos,26,1,trial_18,5.72547493522547
17,kudos,26,1,trial_19,7.01439197326757
16,kudos,26,1,trial_20,NA
17,kudos,28,1,trial_1,6.52866034686481
4,kudos,28,1,trial_2,5.39169546813114
11,kudos,28,1,trial_3,5.90319218404811
15,kudos,28,1,trial_4,6.32530080967461
2,kudos,28,1,trial_5,NA
13,kudos,28,1,trial_6,4.17034254487253
6,kudos,28,1,trial_7,3.80494328917438
8,kudos,28,1,trial_8,4.14761484915714
16,kudos,28,1,trial_9,4.43897316871396
20,kudos,28,1,trial_10,5.10743807272834
18,kudos,28,1,trial_11,5.93861828319066
7,kudos,28,1,trial_12,4.86726066481085
12,kudos,28,1,trial_13,5.12272858569453
5,kudos,28,1,trial_14,4.20860914861081
9,kudos,28,1,trial_15,4.47714990805615
19,kudos,28,0,trial_16,3.93703442111051
1,kudos,28,1,trial_17,3.0581744943545
3,kudos,28,1,trial_18,3.84952391463147
10,kudos,28,1,trial_19,3.15803813697946
14,kudos,28,1,trial_20,5.48002033834283
