ID,age,location,N,E,O,A,C,srh
ID115,42,city,27,46,42,38,33,-0.4850948195818014
ID116,38,countryside,30,37,31,40,23,0.2970998403846332
ID117,42,city,27,41,29,38,33,-0.36053242978347205
ID118,49,city,25,39,28,39,31,0.2924136977436437
ID119,39,city,18,27,30,45,29,0.4400842539991856
ID120,38,countryside,20,39,33,47,34,1.0332181491822097
ID121,50,suburb,31,30,29,33,31,-2.2159881940775765
ID122,42,suburb,29,38,32,35,21,-1.5572787406177342
ID123,36,city,22,38,29,40,35,0.728245645297235
ID124,44,city,25,34,34,35,29,0.4250910743355883
ID125,42,city,24,32,30,44,27,1.7530086260567586
ID126,39,suburb,19,35,34,42,30,1.7175036214635744
ID127,52,city,19,25,28,42,29,0.6696503679463488
ID128,34,city,33,44,34,38,28,0.09115599716249534
ID129,31,city,23,40,33,39,25,1.596522821212704
ID130,47,city,23,29,28,32,30,-1.2388378808988008
ID131,42,city,30,35,34,38,24,-0.9856846846751204
ID132,38,city,30,32,32,38,37,1.6753278996452958
ID133,34,city,23,36,29,44,30,-0.9946862814248051
ID134,43,city,24,40,38,38,37,0.3903411200014762
ID135,48,city,21,18,31,46,32,-1.2390327711169462
ID136,42,city,26,37,34,40,29,0.035793978825035745
ID137,50,city,35,31,32,38,27,-1.786547045466984
ID138,33,city,28,32,25,38,27,0.7214454503289713
ID139,44,suburb,20,36,33,37,28,0.719818988756267
ID140,44,city,27,36,30,36,34,1.2194083767883213
ID141,41,countryside,34,34,33,42,36,0.8541508738960881
ID142,46,suburb,23,31,28,41,32,-0.17030055691576265
ID143,40,city,25,41,30,37,28,-0.7290824884763885
ID144,41,suburb,22,40,37,39,27,-0.6847103395478733
ID145,39,city,27,35,32,35,26,-0.26734452415668286
ID146,44,suburb,20,24,28,35,27,-1.2143857869267227
ID147,44,city,22,28,32,42,31,0.7110794713823987
ID148,37,city,22,45,37,36,28,0.4061729715768882
ID149,51,countryside,26,26,33,38,32,0.1414765504809308
ID150,48,city,22,26,34,38,23,-1.3428948517769508
ID151,40,city,36,28,36,39,26,-0.5717560180091794
ID152,40,city,24,34,31,43,24,1.263429735390916
ID153,45,countryside,26,41,35,37,33,-0.2126705117907434
ID154,47,city,24,33,39,41,29,0.33609578137576657
ID155,43,countryside,23,37,32,35,29,-0.33463429752994
ID156,42,city,24,36,31,37,36,0.3042267529091345
ID157,46,suburb,22,32,37,36,36,-0.8836368136858589
ID158,47,suburb,22,41,40,37,31,-0.7110650006847019
ID159,44,city,32,32,28,31,27,-1.0317348375758884
ID160,43,city,27,28,31,37,29,-2.322015010995627
ID161,37,countryside,34,26,23,42,26,0.3977260392333122
ID162,35,city,28,34,26,36,25,0.44119203282091896
ID163,40,city,29,35,29,37,25,-0.9523212033539702
ID164,45,countryside,26,38,34,37,31,0.7508183020738491
ID165,48,city,19,38,34,36,23,-1.2671679757117744
ID166,43,city,23,37,33,35,22,0.03231397270378017
ID167,40,city,24,30,29,44,32,0.4874936435265218
ID168,50,city,23,34,35,38,33,0.9026621416652766
ID169,37,city,25,38,31,40,33,-1.0544960388660776
ID170,41,countryside,28,41,30,41,22,0.46903596672659376
ID171,38,city,26,29,31,42,30,-0.30035936848696804
ID172,39,city,25,35,32,34,28,-0.5011499844793105
ID173,44,suburb,22,30,32,38,30,-1.641467520215742
ID174,46,suburb,22,40,35,41,31,-0.2618397276909376
ID175,41,city,24,39,35,43,36,1.324031664662284
ID176,49,city,21,32,30,40,33,-0.3539921137209035
ID177,45,city,25,30,28,37,37,0.3139822665713306
ID178,38,city,28,30,27,36,31,-0.5228828729291198
ID179,40,city,21,36,30,33,31,1.358274023632767
ID180,41,city,33,37,35,39,25,0.19380580563253502
ID181,37,countryside,32,24,36,36,27,0.11090810427040647
ID182,42,city,22,41,33,37,27,-0.037614333868904164
ID183,40,city,27,37,40,40,27,0.8259130021579967
ID184,37,city,23,35,28,37,23,0.8332686249033546
ID185,45,countryside,27,22,29,41,25,-1.7545796239305893
ID186,44,countryside,25,22,30,38,25,-0.245042966774729
ID187,41,city,25,39,36,39,25,0.8509447931731143
ID188,39,city,18,37,27,42,34,-0.013758708229050343
ID189,45,countryside,31,35,38,40,25,0.14879629118747487
ID190,36,city,24,44,26,37,27,-0.11275138258134376
ID191,45,city,26,31,33,43,26,0.6967311649727145
ID192,37,suburb,25,36,33,36,28,-0.2673201176684579
ID193,43,suburb,23,38,33,37,31,-0.453803762566417
ID194,47,city,22,28,37,40,29,-0.24313063520887804
ID195,44,countryside,21,39,30,43,34,0.18654404557561974
ID196,44,city,17,44,31,40,28,0.9217787538076453
ID197,39,countryside,20,28,31,40,28,-0.08633916515658425
ID198,53,suburb,24,37,34,41,30,-1.30540888279335
ID199,36,city,31,33,31,41,31,-0.49072316390603393
ID200,42,countryside,34,37,26,34,21,-1.6289069096878976
ID201,41,city,30,35,32,40,23,-0.9461475916127992
ID202,39,suburb,29,30,30,37,26,-0.607961760924058
ID203,40,city,28,41,31,33,29,-0.0510203973737239
ID204,43,suburb,18,35,30,42,35,-0.04702742983154504
ID205,39,city,21,41,29,37,23,1.263633532248213
ID206,33,countryside,23,39,28,40,30,0.017895774840950496
ID207,48,city,26,36,31,36,21,-0.8552098700385404
ID208,42,city,24,37,34,38,27,-0.45637445564159146
ID209,36,city,22,47,33,40,36,1.1860385564626887
ID210,50,city,19,35,33,40,33,-0.8146977627106237
ID211,45,city,26,36,36,41,26,0.8654857012044375
ID212,32,city,30,33,30,40,24,-0.9707730480882665
ID213,53,suburb,17,26,29,42,33,-0.40833933429773145
ID214,41,city,20,36,34,36,34,1.5826657509057822
ID215,39,countryside,25,34,31,39,30,0.9730694875097248
ID216,37,city,25,40,30,40,32,1.060168214582381
ID217,39,city,25,31,32,37,27,0.7164288083269795
ID218,47,city,26,41,33,37,36,-0.21815972686787388
ID219,51,suburb,33,38,37,41,29,-1.9599388140502714
ID220,45,suburb,26,31,36,41,34,-0.07030087924361027
ID221,43,countryside,26,39,39,40,28,1.201635544812385
ID222,37,city,27,47,39,42,32,1.3362995146750782
ID223,44,city,23,36,34,38,41,0.5113335445485295
ID224,47,countryside,12,34,31,44,28,0.5018425504908504
ID225,47,city,30,35,32,38,23,-0.6732351439182162
ID226,41,suburb,16,36,37,39,34,1.9049546782935878
ID227,35,city,15,45,30,41,33,0.713086909016189
ID228,45,city,22,33,25,39,29,0.6907257571709233
ID229,45,suburb,24,26,37,38,28,-0.8929060144806555
ID230,27,city,31,33,29,35,26,-0.1042604679914316
ID231,43,city,28,33,27,39,27,-0.7552940243057336
ID232,37,city,19,40,27,43,24,1.0107925953834223
ID233,39,city,33,46,36,35,28,0.9468886775790455
ID234,48,city,10,39,35,41,33,1.8474300931947063
ID235,44,city,26,26,31,41,35,-0.48791941333868943
ID236,45,suburb,21,31,30,38,23,-0.36188275890138716
ID237,37,city,30,34,32,40,33,0.9852601511333053
ID238,48,city,24,32,32,37,28,-0.2740972794986022
ID239,33,suburb,25,37,30,41,30,0.6039195696316837
ID240,44,city,31,35,34,42,24,-0.014805866868453912
ID241,53,city,21,35,34,36,32,-0.5645084290112242
ID242,38,city,30,39,33,39,23,-0.6336178815585709
ID243,34,city,22,27,24,35,33,-0.04381640528491307
ID244,37,city,26,39,32,40,27,0.01668064013660771
ID245,38,city,21,35,36,40,41,1.8251916804257782
ID246,36,city,27,35,25,42,26,1.0393768539421049
ID247,39,countryside,22,36,28,46,30,2.2141717201682307
ID248,35,city,24,38,33,41,26,-0.4686967218822955
ID249,43,city,25,38,34,37,32,1.7868854585766463
ID250,38,city,20,30,29,41,30,1.480860756438487
ID251,40,city,27,32,28,37,24,-1.0422451702019628
ID252,41,suburb,33,33,37,36,29,-2.379416734341917
ID253,41,city,25,25,32,40,31,-1.5388072999169264
ID254,46,city,25,33,29,44,34,-0.20452046033920682
ID255,44,countryside,25,29,30,41,31,0.9957037273950498
ID256,48,city,32,41,39,39,28,-1.0110590899170855
ID257,38,suburb,20,33,34,37,27,0.6078751621868109
ID258,54,city,27,21,31,37,26,-1.4776826049708516
ID259,50,city,24,36,31,35,38,0.26094331150191324
ID260,40,countryside,27,39,37,42,27,-0.29096867648589847
ID261,48,city,23,23,32,43,37,0.36239985227652505
ID262,42,city,30,35,39,40,28,-0.7856421677632341
ID263,37,city,30,26,25,39,25,-0.20399539407761358
ID264,41,countryside,27,34,30,43,28,-0.3708265865820688
ID265,44,city,27,33,31,36,28,-1.6919676556924712
ID266,41,city,22,44,36,39,30,1.7752918652090424
ID267,41,city,21,42,34,38,31,0.44571255279862376
ID268,39,city,20,44,39,40,32,0.14280461902728886
ID269,38,city,29,33,30,40,25,-0.1668911201033573
ID270,42,city,15,28,24,41,31,0.7638578903739954
ID271,42,countryside,24,31,32,45,30,0.5574362762703113
ID272,46,city,23,29,30,42,30,-1.1064076086904784
ID273,42,city,20,42,33,33,30,1.6502224959393232
ID274,49,countryside,23,35,33,39,31,0.6398076375868248
ID275,43,city,31,30,28,35,27,-0.7970508579076349
ID276,34,city,27,45,37,32,27,0.6274284748736538
ID277,39,city,21,41,32,37,28,0.26650781791191913
ID278,43,city,17,32,33,37,28,0.4396041758074446
ID279,52,countryside,31,34,31,43,35,-0.28921108528577083
ID280,44,suburb,26,40,36,39,31,0.7163135698357046
ID281,45,countryside,33,26,30,43,25,-0.958049230641074
ID282,40,city,31,37,28,35,25,-2.309468033818372
ID283,37,city,33,34,31,37,28,-0.11560840712237777
ID284,36,city,28,38,29,37,23,-0.5515278003168058
ID285,44,suburb,24,31,33,37,25,-0.9266228479537589
ID286,38,suburb,22,42,34,41,29,0.3525276615175063
ID287,42,countryside,24,36,35,45,32,-0.5106729382609524
ID288,45,city,31,39,29,39,33,1.5842001518786089
ID289,39,city,36,30,30,35,28,-1.611583123836802
ID290,41,city,29,34,31,39,29,-0.9540838153704111
ID291,39,countryside,31,29,29,43,32,0.4021329320775746
ID292,37,city,29,35,29,40,28,-1.5426035530978535
ID293,46,city,25,41,33,44,34,-0.38095972596847455
ID294,41,countryside,29,41,28,41,27,-1.302603809463376
ID295,43,countryside,30,35,42,36,26,-0.5315903634589315
ID296,40,city,23,44,34,38,36,0.6013508083263207
ID297,43,city,26,20,27,42,25,-0.020285370234327683
ID298,45,city,28,33,29,41,27,0.7288268573753931
ID299,42,suburb,22,37,29,41,34,0.6807781359807819
ID300,44,suburb,18,33,33,35,32,0.028036029212113945
ID301,39,countryside,20,25,33,43,26,1.0852560208870652
ID302,41,city,28,32,32,42,21,-0.05337721766479517
ID303,30,city,24,34,31,41,25,0.3122169318204795
ID304,43,city,24,43,37,41,25,-0.14840041011887903
ID305,44,city,16,33,29,37,33,-0.6285285858881963
ID306,40,city,21,23,29,44,30,1.0194708102764294
ID307,41,countryside,28,21,30,43,32,-0.6537534595230405
ID308,38,countryside,24,42,36,39,32,0.4812544450155296
ID309,41,countryside,30,39,44,39,29,1.258343716095439
ID310,36,countryside,32,24,28,37,23,-2.343712035779798
ID311,43,city,19,28,26,41,29,-0.31370656016324494
ID312,40,city,25,34,24,39,27,-0.4545619999513441
ID313,39,city,25,39,34,42,30,1.6281875123274425
ID314,47,city,30,34,35,34,31,-2.765007013131684
ID315,45,countryside,28,35,36,46,29,-0.0791330800934849
ID316,44,countryside,28,42,35,40,33,-1.0960649661095232
ID317,41,suburb,22,37,37,41,27,-1.086774494683742
ID318,47,city,14,37,28,39,31,0.8715251029247519
ID319,46,city,19,37,33,45,37,0.47783841235584007
ID320,52,city,27,32,35,36,29,-1.1307749865814705
ID321,43,city,27,26,35,35,26,-0.7136767502369741
ID322,38,city,31,31,33,39,28,-0.5919685864745224
ID323,38,suburb,18,53,36,34,27,1.3012074592347018
ID324,40,city,29,32,30,37,25,0.7099344707159049
ID325,38,city,30,27,30,42,29,0.30237227700304026
ID326,42,city,26,29,30,39,26,-0.2966420963746609
ID327,41,city,17,44,36,44,28,1.9095818597962704
ID328,45,suburb,30,38,36,31,29,-1.416187705237206
ID329,40,city,19,34,28,45,31,1.2142996428609576
ID330,43,city,29,27,28,41,25,-1.5854978888366775
ID331,47,city,23,36,32,43,33,-1.4765123326319407
ID332,40,countryside,30,33,28,42,17,0.6220227908665994
ID333,48,city,25,36,34,39,24,1.5914163963675396
ID334,47,city,23,33,32,39,27,0.6264726396467245
ID335,51,city,21,29,32,41,30,1.471596055773307
ID336,38,city,30,30,36,35,27,-0.21950679099356474
ID337,42,suburb,20,32,36,40,35,-0.021817795810309862
ID338,35,countryside,21,31,26,41,26,0.01014388148529127
ID339,38,city,23,35,30,40,25,0.22106045715133524
ID340,44,city,22,33,38,41,32,0.14513830810169304
ID341,37,suburb,29,33,32,35,24,-1.0206198897315668
ID342,38,suburb,25,43,41,33,31,-0.40196053073823085
ID343,44,city,21,40,36,33,30,-0.7204868311361572
ID344,40,city,26,37,30,41,28,-1.537470373280507
ID345,41,countryside,34,38,38,40,25,-1.2081514211476867
ID346,38,countryside,33,35,29,38,25,-0.28936764491702754
ID347,47,suburb,26,30,35,40,29,-0.6202657294828582
ID348,39,city,28,33,33,39,23,-1.1241041668009333
ID349,45,city,29,41,36,38,32,-0.23529523230892255
ID350,43,city,17,39,36,42,31,1.8306350297782679
ID351,38,city,29,32,35,35,18,0.3870006686028538
ID352,33,suburb,20,42,27,40,25,1.7106037822514464
ID353,42,city,24,32,34,39,32,0.2376086817570352
ID354,46,city,34,39,36,39,25,0.19775218442355955
ID355,42,city,24,32,31,37,39,1.4264372561371634
ID356,40,suburb,19,41,31,40,32,0.6172646025695205
ID357,44,suburb,19,38,32,43,34,0.4293266032227495
ID358,50,countryside,22,32,31,36,31,0.4196875362981289
ID359,34,city,26,37,29,39,33,0.6521635601253775
ID360,46,city,21,42,36,41,30,0.6583984442356425
ID361,46,countryside,27,35,29,35,27,0.600641419371634
ID362,47,suburb,30,20,28,34,27,-1.8397031958964414
ID363,40,suburb,24,35,27,43,29,0.5630463997907688
ID364,37,city,23,37,29,38,27,0.3116900908724257
ID365,42,city,28,32,33,43,28,0.22515008944376913
ID366,36,countryside,29,34,27,39,28,0.7879337483892315
ID367,40,suburb,15,42,36,38,32,0.5647382906365677
ID368,42,city,21,43,34,41,32,2.4873465897354587
ID369,39,city,34,33,34,34,16,-2.20296782584132
ID370,41,city,19,38,34,40,38,0.7200981643941743
ID371,32,city,25,35,26,43,28,0.2667094640967341
ID372,40,city,25,31,31,41,30,0.4492388312665975
ID373,47,city,23,44,32,40,22,-1.0886546521722746
ID374,45,city,22,32,32,37,32,0.6925905914814259
ID375,33,countryside,26,36,37,43,23,-0.05754310952637396
ID376,41,city,34,36,34,31,28,0.08925487130308182
ID377,47,countryside,26,42,34,38,28,-1.7313864026770187
ID378,34,city,22,46,29,42,33,0.5580387944693144
ID379,35,city,33,35,28,39,26,-0.15550635924672257
ID380,45,countryside,24,36,34,37,28,0.6334212139272292
ID381,42,city,29,42,35,39,29,1.1582367969191911
ID382,38,city,26,38,29,50,34,1.583489873930255
ID383,49,city,23,30,33,47,31,-0.03289789305259258
ID384,35,suburb,23,46,40,37,28,1.4530315488255063
ID385,37,city,33,39,36,36,29,0.5331223573804911
ID386,39,city,29,34,30,36,28,-0.9087675464113857
ID387,39,countryside,21,34,30,43,28,2.516663794438236
ID388,50,city,23,42,38,32,31,-1.6713024831763943
ID389,45,city,20,38,34,46,29,1.1925898850260357
ID390,35,city,27,37,31,35,32,0.030603939494226164
ID391,46,city,22,49,35,39,34,-1.1244176352796724
ID392,38,city,19,38,31,43,27,1.1276324475863428
ID393,37,city,21,34,31,38,34,-0.25361847061871207
ID394,39,city,32,34,31,38,29,1.2037631620309868
ID395,42,city,31,36,32,33,18,-4.207715620569427
ID396,50,city,24,41,38,43,35,-0.29002989427783926
ID397,35,city,31,38,33,34,27,0.17069082447472297
ID398,33,city,16,44,35,43,39,1.402171525553028
ID399,37,city,21,39,28,42,36,0.5268164327472691
ID400,42,city,32,30,32,40,27,-0.4900461061996455
ID401,47,suburb,24,41,33,41,32,-0.26067886483317443
ID402,39,suburb,27,41,32,34,26,-0.25960790797941413
ID403,43,countryside,28,29,25,35,34,0.6676316637456343
ID404,42,city,20,35,31,42,30,0.35579008938176365
ID405,42,suburb,29,42,33,43,28,0.03013663999621742
ID406,42,city,23,37,35,41,31,0.17660116399787681
ID407,38,city,27,35,28,42,29,1.8015638184289007
ID408,36,countryside,28,32,30,40,31,-0.4060525617178916
ID409,41,city,30,26,36,40,28,0.4781137638779427
ID410,35,city,23,42,34,46,27,0.6212132027877528
ID411,41,city,28,39,27,35,22,-1.4154142363782527
ID412,37,suburb,18,39,32,35,28,0.07032051376097295
ID413,43,city,27,29,33,40,28,0.5893652412525736
ID414,37,city,22,34,28,45,29,0.2806274906494984
ID415,43,countryside,19,33,34,37,35,0.6727843677315662
ID416,47,city,21,38,30,39,32,0.7271858239433973
ID417,40,city,18,31,33,42,30,0.3216968640924847
ID418,38,city,21,37,30,39,37,0.47577894823092076
ID419,44,suburb,25,28,26,42,28,-0.4815123338667037
ID420,50,city,18,45,35,46,42,1.549171234100613
ID421,40,suburb,21,30,28,43,28,-0.7149900719866408
ID422,44,countryside,28,36,31,43,31,2.123626134826142
ID423,44,suburb,27,24,28,41,28,0.5720210319495853
ID424,42,suburb,26,38,30,45,27,0.21324289788887776
ID425,43,city,25,43,31,37,30,0.8400505576707645
ID426,39,city,26,34,30,37,24,0.06953593083659786
ID427,43,city,22,41,32,39,29,1.435545353593793
ID428,42,city,20,34,29,40,30,0.9137540598744232
ID429,44,city,21,24,28,43,31,-0.028833568799862083
ID430,50,city,22,31,27,42,27,-0.06254103551680988
ID431,37,city,29,31,31,39,26,-0.11791246030560082
ID432,43,city,26,27,26,44,29,0.47452319679957466
ID433,41,city,19,40,31,42,28,1.0980180611827322
ID434,43,city,25,32,34,42,28,-0.07144592128598007
ID435,39,countryside,23,33,24,44,25,0.3726168176062915
ID436,40,suburb,36,31,29,26,30,-1.162388992058863
ID437,40,city,24,38,30,46,30,-0.4232670846573181
ID438,37,city,29,38,35,38,28,-0.21575582152448974
ID439,53,suburb,26,32,33,34,28,-0.940225756198752
ID440,44,city,26,30,32,38,33,0.4455824993071552
ID441,42,countryside,22,37,30,41,29,1.2634838251623925
ID442,42,suburb,25,42,37,41,30,1.764754583936568
ID443,40,city,28,33,34,45,32,-1.4306061684090918
ID444,40,suburb,27,40,34,33,27,0.30701075449447024
ID445,44,countryside,26,39,40,40,26,0.6325742848843141
ID446,42,city,14,25,27,40,26,1.0616190223920294
ID447,43,city,20,38,35,37,30,-0.1801637492084978
ID448,47,city,27,37,33,38,42,0.6999060762569793
ID449,50,countryside,28,27,38,41,23,-1.1492179251318118
ID450,42,suburb,31,40,36,37,23,-2.507443756963557
ID451,42,city,20,31,29,42,35,0.5712372909143686
ID452,40,city,22,38,37,38,30,-0.2743342999947865
ID453,31,city,26,39,38,39,28,-0.030385959504680787
ID454,38,suburb,22,27,30,37,28,-0.8218692973695897
ID455,50,city,28,38,34,43,24,-2.0418891183180152
ID456,48,countryside,23,25,26,40,30,-2.160788837254359
ID457,42,city,22,36,33,39,30,0.027258628666410586
ID458,31,countryside,25,45,31,42,31,1.2179979602063828
ID459,41,countryside,24,36,30,46,26,0.3565595394631909
ID460,45,countryside,26,28,32,40,24,-0.367791195508884
ID461,40,countryside,29,32,32,36,25,0.07299818634046018
ID462,44,city,28,36,33,37,28,-0.3533903721324694
ID463,43,city,27,44,36,40,34,1.095941287886904
ID464,39,countryside,30,31,26,38,42,1.263301282877279
ID465,42,city,24,43,37,40,28,0.7807281903706137
ID466,47,city,24,40,37,40,30,-0.25812347933805796
ID467,42,city,27,27,30,39,26,0.32917037277463373
ID468,41,city,26,31,24,33,24,-0.5256744042190488
ID469,31,city,23,42,32,41,34,1.6684386314162971
ID470,46,suburb,27,32,32,33,29,-0.7690517833638724
ID471,43,city,21,37,33,42,25,0.6549364386512676
ID472,40,city,17,29,32,38,29,-0.05541051268352822
ID473,32,city,20,38,33,42,31,0.5698394837341562
ID474,36,city,24,33,31,38,25,0.6360897779829604
ID475,51,city,28,38,35,34,31,-1.220716280513226
ID476,47,city,23,40,38,41,24,-0.9636985972691222
ID477,41,city,29,34,32,39,29,-1.21011401460108
ID478,39,countryside,24,32,28,35,33,0.3000239341100063
ID479,54,countryside,17,27,26,41,27,0.6935202824648233
ID480,38,city,32,30,26,36,27,-0.20584467676651932
ID481,40,city,24,34,39,40,32,-0.0028134854553869687
ID482,48,city,33,36,30,39,30,-1.3425327009977228
ID483,44,city,27,36,32,36,31,0.41704147704450556
ID484,45,city,26,32,29,42,29,0.4055853090230776
ID485,46,countryside,22,28,24,37,31,-0.7711161422145285
ID486,45,suburb,16,38,35,41,34,0.21307160366901012
ID487,32,city,21,38,25,33,29,1.6250148671990439
ID488,41,city,23,33,36,45,33,0.6868382195090653
ID489,37,suburb,23,42,33,39,36,1.3439250912805563
ID490,43,city,26,38,31,44,35,-0.45335375677060263
ID491,36,suburb,27,31,31,41,32,1.8198606800744341
ID492,43,countryside,22,37,28,45,34,0.6979190088537437
ID493,46,countryside,22,33,30,40,30,-0.14157160934272955
ID494,55,city,20,35,36,42,30,1.5272857668809405
ID495,46,city,27,31,33,36,24,-0.4623952940548267
ID496,39,city,23,36,34,40,29,1.6138161914378573
ID497,46,city,22,40,31,37,29,0.20379006350495368
ID498,38,suburb,21,42,30,43,30,0.5815534536444409
