"subject_nr","hand_resp","trial_nr","condition","item","prime","modality","strength","congruence","rtime","response","correct"
1,"Left-Handed",47,"speech-weak","squeeze_squeeze_wring_sc_gw","squeeze","speech","weak","incongruent",1000,"z",1
1,"Left-Handed",49,"gesture-strong","turn_cut_turn_ss_gc","turn","gesture","strong","incongruent",1067,"z",1
1,"Left-Handed",51,"gesture-weak","hammer_knock_hammer_sw_gc","hammer","gesture","weak","incongruent",1401,"z",1
1,"Left-Handed",52,"gesture-weak","wipe_scrub_wipe_sw_gc","wipe","gesture","weak","incongruent",901,"z",1
1,"Left-Handed",57,"gesture-weak","turn_twist_turn_sw_gc","turn","gesture","weak","incongruent",867,"z",1
1,"Left-Handed",58,"speech-weak","knock_knock_hammer_sc_gw","knock","speech","weak","incongruent",867,"z",1
1,"Left-Handed",59,"speech-strong","stir_stir_slice_sc_gs","stir","speech","strong","incongruent",967,"m",0
1,"Left-Handed",60,"speech-strong","cut_cut_turn_sc_gs","cut","speech","strong","incongruent",1501,"z",1
1,"Left-Handed",61,"baseline","cut_cut_cut_sc_gc","cut","baseline","baseline","congruent",901,"z",1
1,"Left-Handed",62,"speech-weak","wring_wring_squeeze_sc_gw","wring","speech","weak","incongruent",1234,"z",1
1,"Left-Handed",63,"baseline","wring_wring_wring_sc_gc","wring","baseline","baseline","congruent",934,"z",1
1,"Left-Handed",66,"gesture-strong","knock_squeeze_knock_ss_gc","knock","gesture","strong","incongruent",934,"z",1
1,"Left-Handed",67,"gesture-strong","dial_scrub_dial_ss_gc","dial","gesture","strong","incongruent",934,"z",1
1,"Left-Handed",69,"gesture-strong","type_wipe_type_ss_gc","type","gesture","strong","incongruent",867,"z",1
1,"Left-Handed",70,"gesture-weak","squeeze_wring_squeeze_sw_gc","squeeze","gesture","weak","incongruent",967,"z",1
1,"Left-Handed",73,"baseline","turn_turn_turn_sc_gc","turn","baseline","baseline","congruent",834,"z",1
1,"Left-Handed",74,"speech-weak","scrub_scrub_wipe_sc_gw","scrub","speech","weak","incongruent",1134,"z",1
1,"Left-Handed",75,"speech-strong","wring_wring_hammer_sc_gs","wring","speech","strong","incongruent",1067,"z",1
1,"Left-Handed",77,"speech-weak","stir_stir_shake_sc_gw","stir","speech","weak","incongruent",1267,"z",1
1,"Left-Handed",80,"gesture-strong","hammer_wring_hammer_ss_gc","hammer","gesture","strong","incongruent",867,"z",1
1,"Left-Handed",82,"speech-strong","twist_twist_chop_sc_gs","twist","speech","strong","incongruent",934,"m",0
1,"Left-Handed",83,"speech-strong","knock_knock_squeeze_sc_gs","knock","speech","strong","incongruent",1534,"z",1
1,"Left-Handed",84,"speech-weak","slice_slice_saw_sc_gw","slice","speech","weak","incongruent",1334,"z",1
1,"Left-Handed",86,"baseline","type_type_type_sc_gc","type","baseline","baseline","congruent",1034,"z",1
1,"Left-Handed",87,"baseline","stir_stir_stir_sc_gc","stir","baseline","baseline","congruent",1201,"z",1
1,"Left-Handed",88,"baseline","slice_slice_slice_sc_gc","slice","baseline","baseline","congruent",1067,"z",1
1,"Left-Handed",89,"baseline","dial_dial_dial_sc_gc","dial","baseline","baseline","congruent",1234,"z",1
1,"Left-Handed",90,"speech-weak","shake_shake_stir_sc_gw","shake","speech","weak","incongruent",934,"z",1
1,"Left-Handed",91,"speech-strong","squeeze_squeeze_knock_sc_gs","squeeze","speech","strong","incongruent",867,"z",1
1,"Left-Handed",92,"baseline","hammer_hammer_hammer_sc_gc","hammer","baseline","baseline","congruent",801,"z",1
1,"Left-Handed",93,"speech-strong","type_type_wipe_sc_gs","type","speech","strong","incongruent",901,"z",1
1,"Left-Handed",96,"gesture-strong","shake_saw_shake_ss_gc","shake","gesture","strong","incongruent",1134,"z",1
1,"Left-Handed",98,"gesture-strong","twist_chop_twist_ss_gc","twist","gesture","strong","incongruent",1034,"z",1
1,"Left-Handed",101,"speech-weak","twist_twist_turn_sc_gw","twist","speech","weak","incongruent",801,"z",1
1,"Left-Handed",106,"gesture-weak","twist_turn_twist_sw_gc","twist","gesture","weak","incongruent",967,"z",1
1,"Left-Handed",108,"gesture-weak","chop_cut_chop_sw_gc","chop","gesture","weak","incongruent",1001,"z",1
1,"Left-Handed",109,"gesture-weak","cut_chop_cut_sw_gc","cut","gesture","weak","incongruent",1067,"z",1
1,"Left-Handed",113,"gesture-strong","chop_twist_chop_ss_gc","chop","gesture","strong","incongruent",1001,"z",1
1,"Left-Handed",114,"speech-strong","shake_shake_saw_sc_gs","shake","speech","strong","incongruent",867,"z",1
1,"Left-Handed",116,"baseline","shake_shake_shake_sc_gc","shake","baseline","baseline","congruent",1034,"z",1
1,"Left-Handed",117,"gesture-strong","wring_hammer_wring_ss_gc","wring","gesture","strong","incongruent",767,"z",1
1,"Left-Handed",118,"baseline","chop_chop_chop_sc_gc","chop","baseline","baseline","congruent",1234,"z",1
1,"Left-Handed",119,"speech-strong","dial_dial_scrub_sc_gs","dial","speech","strong","incongruent",1101,"z",1
1,"Left-Handed",120,"gesture-strong","saw_shake_saw_ss_gc","saw","gesture","strong","incongruent",867,"z",1
1,"Left-Handed",121,"gesture-weak","wring_squeeze_wring_sw_gc","wring","gesture","weak","incongruent",801,"z",1
1,"Left-Handed",124,"speech-strong","scrub_scrub_dial_sc_gs","scrub","speech","strong","incongruent",1067,"z",1
1,"Left-Handed",125,"speech-strong","slice_slice_stir_sc_gs","slice","speech","strong","incongruent",1201,"z",1
1,"Left-Handed",126,"gesture-weak","slice_saw_slice_sw_gc","slice","gesture","weak","incongruent",1234,"z",1
1,"Left-Handed",130,"speech-weak","dial_dial_type_sc_gw","dial","speech","weak","incongruent",1001,"z",1
1,"Left-Handed",134,"gesture-strong","cut_turn_cut_ss_gc","cut","gesture","strong","incongruent",967,"z",1
1,"Left-Handed",135,"speech-strong","saw_saw_shake_sc_gs","saw","speech","strong","incongruent",967,"z",1
1,"Left-Handed",137,"gesture-weak","saw_slice_saw_sw_gc","saw","gesture","weak","incongruent",734,"z",1
1,"Left-Handed",138,"baseline","twist_twist_twist_sc_gc","twist","baseline","baseline","congruent",934,"z",1
1,"Left-Handed",139,"speech-weak","cut_cut_chop_sc_gw","cut","speech","weak","incongruent",1234,"z",1
1,"Left-Handed",140,"gesture-strong","slice_stir_slice_ss_gc","slice","gesture","strong","incongruent",934,"z",1
1,"Left-Handed",142,"gesture-strong","wipe_type_wipe_ss_gc","wipe","gesture","strong","incongruent",867,"z",1
1,"Left-Handed",143,"gesture-strong","squeeze_knock_squeeze_ss_gc","squeeze","gesture","strong","incongruent",1001,"m",0
2,"Right-Handed",0,"speech-weak","scrub_scrub_wipe_sc_gw","scrub","speech","weak","incongruent",1767,"m",1
2,"Right-Handed",2,"gesture-weak","twist_turn_twist_sw_gc","twist","gesture","weak","incongruent",1000,"m",1
2,"Right-Handed",3,"speech-weak","knock_knock_hammer_sc_gw","knock","speech","weak","incongruent",867,"m",1
2,"Right-Handed",6,"baseline","wipe_wipe_wipe_sc_gc","wipe","baseline","baseline","congruent",1101,"m",1
2,"Right-Handed",7,"speech-strong","turn_turn_cut_sc_gs","turn","speech","strong","incongruent",1101,"m",1
2,"Right-Handed",8,"speech-weak","dial_dial_type_sc_gw","dial","speech","weak","incongruent",1267,"m",1
2,"Right-Handed",9,"gesture-weak","turn_twist_turn_sw_gc","turn","gesture","weak","incongruent",934,"m",1
2,"Right-Handed",11,"gesture-strong","squeeze_knock_squeeze_ss_gc","squeeze","gesture","strong","incongruent",901,"m",1
2,"Right-Handed",12,"speech-weak","hammer_hammer_knock_sc_gw","hammer","speech","weak","incongruent",1034,"m",1
2,"Right-Handed",13,"baseline","squeeze_squeeze_squeeze_sc_gc","squeeze","baseline","baseline","congruent",901,"m",1
2,"Right-Handed",16,"baseline","shake_shake_shake_sc_gc","shake","baseline","baseline","congruent",867,"m",1
2,"Right-Handed",17,"gesture-weak","squeeze_wring_squeeze_sw_gc","squeeze","gesture","weak","incongruent",834,"m",1
2,"Right-Handed",20,"baseline","knock_knock_knock_sc_gc","knock","baseline","baseline","congruent",801,"m",1
2,"Right-Handed",21,"gesture-weak","wipe_scrub_wipe_sw_gc","wipe","gesture","weak","incongruent",867,"m",1
2,"Right-Handed",23,"gesture-strong","type_wipe_type_ss_gc","type","gesture","strong","incongruent",901,"m",1
2,"Right-Handed",24,"speech-weak","twist_twist_turn_sc_gw","twist","speech","weak","incongruent",634,"m",1
2,"Right-Handed",27,"gesture-weak","chop_cut_chop_sw_gc","chop","gesture","weak","incongruent",834,"m",1
2,"Right-Handed",28,"gesture-strong","knock_squeeze_knock_ss_gc","knock","gesture","strong","incongruent",734,"m",1
2,"Right-Handed",29,"baseline","dial_dial_dial_sc_gc","dial","baseline","baseline","congruent",901,"m",1
2,"Right-Handed",32,"gesture-weak","type_dial_type_sw_gc","type","gesture","weak","incongruent",767,"m",1
2,"Right-Handed",33,"baseline","cut_cut_cut_sc_gc","cut","baseline","baseline","congruent",634,"m",1
2,"Right-Handed",34,"gesture-weak","shake_stir_shake_sw_gc","shake","gesture","weak","incongruent",734,"m",1
2,"Right-Handed",35,"speech-strong","wring_wring_hammer_sc_gs","wring","speech","strong","incongruent",1534,"m",1
2,"Right-Handed",36,"gesture-weak","saw_slice_saw_sw_gc","saw","gesture","weak","incongruent",867,"m",1
2,"Right-Handed",37,"speech-strong","cut_cut_turn_sc_gs","cut","speech","strong","incongruent",1067,"z",0
2,"Right-Handed",39,"speech-strong","wipe_wipe_type_sc_gs","wipe","speech","strong","incongruent",867,"m",1
2,"Right-Handed",40,"gesture-weak","scrub_wipe_scrub_sw_gc","scrub","gesture","weak","incongruent",900,"m",1
2,"Right-Handed",42,"gesture-weak","knock_hammer_knock_sw_gc","knock","gesture","weak","incongruent",567,"m",1
2,"Right-Handed",43,"speech-strong","scrub_scrub_dial_sc_gs","scrub","speech","strong","incongruent",867,"z",0
2,"Right-Handed",44,"speech-strong","saw_saw_shake_sc_gs","saw","speech","strong","incongruent",967,"m",1
2,"Right-Handed",46,"speech-weak","squeeze_squeeze_wring_sc_gw","squeeze","speech","weak","incongruent",767,"m",1
2,"Right-Handed",47,"speech-weak","turn_turn_twist_sc_gw","turn","speech","weak","incongruent",701,"m",1
2,"Right-Handed",49,"gesture-weak","slice_saw_slice_sw_gc","slice","gesture","weak","incongruent",1067,"z",0
2,"Right-Handed",50,"speech-weak","cut_cut_chop_sc_gw","cut","speech","weak","incongruent",867,"m",1
2,"Right-Handed",51,"gesture-strong","shake_saw_shake_ss_gc","shake","gesture","strong","incongruent",701,"m",1
2,"Right-Handed",52,"gesture-weak","wring_squeeze_wring_sw_gc","wring","gesture","weak","incongruent",767,"m",1
2,"Right-Handed",53,"speech-weak","wring_wring_squeeze_sc_gw","wring","speech","weak","incongruent",901,"m",1
2,"Right-Handed",54,"gesture-strong","cut_turn_cut_ss_gc","cut","gesture","strong","incongruent",667,"m",1
2,"Right-Handed",57,"speech-weak","type_type_dial_sc_gw","type","speech","weak","incongruent",934,"m",1
2,"Right-Handed",61,"gesture-strong","wring_hammer_wring_ss_gc","wring","gesture","strong","incongruent",1501,"z",0
2,"Right-Handed",62,"speech-strong","stir_stir_slice_sc_gs","stir","speech","strong","incongruent",867,"m",1
2,"Right-Handed",65,"baseline","wring_wring_wring_sc_gc","wring","baseline","baseline","congruent",734,"m",1
2,"Right-Handed",69,"speech-strong","type_type_wipe_sc_gs","type","speech","strong","incongruent",1001,"m",1
2,"Right-Handed",70,"gesture-strong","saw_shake_saw_ss_gc","saw","gesture","strong","incongruent",834,"m",1
2,"Right-Handed",74,"gesture-weak","dial_type_dial_sw_gc","dial","gesture","weak","incongruent",601,"m",1
2,"Right-Handed",75,"gesture-strong","chop_twist_chop_ss_gc","chop","gesture","strong","incongruent",801,"m",1
2,"Right-Handed",76,"gesture-strong","stir_slice_stir_ss_gc","stir","gesture","strong","incongruent",767,"m",1
2,"Right-Handed",77,"baseline","twist_twist_twist_sc_gc","twist","baseline","baseline","congruent",667,"m",1
2,"Right-Handed",79,"speech-weak","stir_stir_shake_sc_gw","stir","speech","weak","incongruent",834,"m",1
2,"Right-Handed",81,"speech-strong","twist_twist_chop_sc_gs","twist","speech","strong","incongruent",934,"m",1
2,"Right-Handed",84,"baseline","chop_chop_chop_sc_gc","chop","baseline","baseline","congruent",601,"m",1
2,"Right-Handed",88,"baseline","slice_slice_slice_sc_gc","slice","baseline","baseline","congruent",767,"m",1
2,"Right-Handed",91,"baseline","type_type_type_sc_gc","type","baseline","baseline","congruent",701,"m",1
2,"Right-Handed",92,"gesture-strong","scrub_dial_scrub_ss_gc","scrub","gesture","strong","incongruent",867,"z",0
2,"Right-Handed",93,"speech-weak","saw_saw_slice_sc_gw","saw","speech","weak","incongruent",667,"m",1
2,"Right-Handed",95,"gesture-strong","twist_chop_twist_ss_gc","twist","gesture","strong","incongruent",634,"m",1
2,"Right-Handed",96,"speech-strong","hammer_hammer_wring_sc_gs","hammer","speech","strong","incongruent",801,"m",1
2,"Right-Handed",97,"gesture-strong","hammer_wring_hammer_ss_gc","hammer","gesture","strong","incongruent",934,"m",1
2,"Right-Handed",99,"speech-weak","wipe_wipe_scrub_sc_gw","wipe","speech","weak","incongruent",734,"m",1
2,"Right-Handed",100,"speech-strong","knock_knock_squeeze_sc_gs","knock","speech","strong","incongruent",667,"m",1
2,"Right-Handed",101,"baseline","saw_saw_saw_sc_gc","saw","baseline","baseline","congruent",701,"m",1
2,"Right-Handed",102,"speech-weak","chop_chop_cut_sc_gw","chop","speech","weak","incongruent",767,"m",1
2,"Right-Handed",103,"speech-weak","shake_shake_stir_sc_gw","shake","speech","weak","incongruent",734,"m",1
2,"Right-Handed",106,"baseline","turn_turn_turn_sc_gc","turn","baseline","baseline","congruent",634,"m",1
2,"Right-Handed",107,"baseline","scrub_scrub_scrub_sc_gc","scrub","baseline","baseline","congruent",767,"m",1
2,"Right-Handed",108,"gesture-strong","dial_scrub_dial_ss_gc","dial","gesture","strong","incongruent",734,"m",1
2,"Right-Handed",111,"gesture-strong","wipe_type_wipe_ss_gc","wipe","gesture","strong","incongruent",934,"m",1
2,"Right-Handed",112,"gesture-weak","hammer_knock_hammer_sw_gc","hammer","gesture","weak","incongruent",701,"m",1
2,"Right-Handed",115,"gesture-strong","slice_stir_slice_ss_gc","slice","gesture","strong","incongruent",767,"m",1
2,"Right-Handed",118,"speech-weak","slice_slice_saw_sc_gw","slice","speech","weak","incongruent",1201,"m",1
2,"Right-Handed",119,"speech-strong","shake_shake_saw_sc_gs","shake","speech","strong","incongruent",701,"z",0
2,"Right-Handed",126,"speech-strong","dial_dial_scrub_sc_gs","dial","speech","strong","incongruent",1234,"m",1
2,"Right-Handed",129,"speech-strong","chop_chop_twist_sc_gs","chop","speech","strong","incongruent",834,"m",1
2,"Right-Handed",132,"gesture-strong","turn_cut_turn_ss_gc","turn","gesture","strong","incongruent",867,"m",1
2,"Right-Handed",134,"speech-strong","slice_slice_stir_sc_gs","slice","speech","strong","incongruent",1101,"m",1
2,"Right-Handed",137,"baseline","stir_stir_stir_sc_gc","stir","baseline","baseline","congruent",701,"m",1
2,"Right-Handed",139,"baseline","hammer_hammer_hammer_sc_gc","hammer","baseline","baseline","congruent",601,"m",1
2,"Right-Handed",140,"speech-strong","squeeze_squeeze_knock_sc_gs","squeeze","speech","strong","incongruent",601,"m",1
2,"Right-Handed",141,"gesture-weak","cut_chop_cut_sw_gc","cut","gesture","weak","incongruent",734,"m",1
2,"Right-Handed",143,"gesture-weak","stir_shake_stir_sw_gc","stir","gesture","weak","incongruent",801,"m",1
3,"Right-Handed",0,"baseline","shake_shake_shake_sc_gc","shake","baseline","baseline","congruent",1501,"m",1
3,"Right-Handed",1,"gesture-strong","knock_squeeze_knock_ss_gc","knock","gesture","strong","incongruent",1234,"m",1
3,"Right-Handed",4,"gesture-weak","chop_cut_chop_sw_gc","chop","gesture","weak","incongruent",1367,"m",1
3,"Right-Handed",5,"gesture-strong","shake_saw_shake_ss_gc","shake","gesture","strong","incongruent",1101,"m",1
3,"Right-Handed",6,"gesture-weak","saw_slice_saw_sw_gc","saw","gesture","weak","incongruent",1334,"m",1
3,"Right-Handed",7,"speech-strong","squeeze_squeeze_knock_sc_gs","squeeze","speech","strong","incongruent",1501,"m",1
3,"Right-Handed",9,"baseline","chop_chop_chop_sc_gc","chop","baseline","baseline","congruent",1101,"m",1
3,"Right-Handed",10,"speech-weak","wring_wring_squeeze_sc_gw","wring","speech","weak","incongruent",1267,"m",1
3,"Right-Handed",11,"speech-weak","scrub_scrub_wipe_sc_gw","scrub","speech","weak","incongruent",1134,"m",1
3,"Right-Handed",14,"gesture-weak","hammer_knock_hammer_sw_gc","hammer","gesture","weak","incongruent",1434,"m",1
3,"Right-Handed",17,"gesture-weak","wipe_scrub_wipe_sw_gc","wipe","gesture","weak","incongruent",1034,"m",1
3,"Right-Handed",18,"gesture-strong","dial_scrub_dial_ss_gc","dial","gesture","strong","incongruent",1001,"m",1
3,"Right-Handed",19,"gesture-weak","twist_turn_twist_sw_gc","twist","gesture","weak","incongruent",901,"m",1
3,"Right-Handed",21,"gesture-weak","scrub_wipe_scrub_sw_gc","scrub","gesture","weak","incongruent",867,"m",1
3,"Right-Handed",24,"speech-weak","knock_knock_hammer_sc_gw","knock","speech","weak","incongruent",834,"m",1
3,"Right-Handed",28,"speech-weak","cut_cut_chop_sc_gw","cut","speech","weak","incongruent",1401,"m",1
3,"Right-Handed",29,"gesture-weak","stir_shake_stir_sw_gc","stir","gesture","weak","incongruent",1167,"m",1
3,"Right-Handed",30,"gesture-weak","wring_squeeze_wring_sw_gc","wring","gesture","weak","incongruent",867,"m",1
3,"Right-Handed",31,"baseline","stir_stir_stir_sc_gc","stir","baseline","baseline","congruent",834,"m",1
3,"Right-Handed",32,"speech-strong","cut_cut_turn_sc_gs","cut","speech","strong","incongruent",1167,"m",1
3,"Right-Handed",34,"speech-strong","wring_wring_hammer_sc_gs","wring","speech","strong","incongruent",1034,"m",1
3,"Right-Handed",35,"baseline","knock_knock_knock_sc_gc","knock","baseline","baseline","congruent",867,"m",1
3,"Right-Handed",36,"baseline","cut_cut_cut_sc_gc","cut","baseline","baseline","congruent",967,"m",1
3,"Right-Handed",38,"gesture-strong","stir_slice_stir_ss_gc","stir","gesture","strong","incongruent",767,"m",1
3,"Right-Handed",40,"speech-weak","shake_shake_stir_sc_gw","shake","speech","weak","incongruent",1267,"m",1
3,"Right-Handed",47,"speech-strong","saw_saw_shake_sc_gs","saw","speech","strong","incongruent",867,"m",1
3,"Right-Handed",51,"gesture-strong","scrub_dial_scrub_ss_gc","scrub","gesture","strong","incongruent",901,"z",0
3,"Right-Handed",52,"gesture-weak","dial_type_dial_sw_gc","dial","gesture","weak","incongruent",1201,"m",1
3,"Right-Handed",54,"baseline","turn_turn_turn_sc_gc","turn","baseline","baseline","congruent",1034,"m",1
3,"Right-Handed",55,"speech-strong","knock_knock_squeeze_sc_gs","knock","speech","strong","incongruent",1134,"m",1
3,"Right-Handed",56,"baseline","twist_twist_twist_sc_gc","twist","baseline","baseline","congruent",1067,"m",1
3,"Right-Handed",57,"speech-strong","turn_turn_cut_sc_gs","turn","speech","strong","incongruent",1801,"m",1
3,"Right-Handed",59,"speech-weak","saw_saw_slice_sc_gw","saw","speech","weak","incongruent",1234,"m",1
3,"Right-Handed",61,"speech-strong","type_type_wipe_sc_gs","type","speech","strong","incongruent",1134,"m",1
3,"Right-Handed",63,"speech-strong","twist_twist_chop_sc_gs","twist","speech","strong","incongruent",1801,"m",1
3,"Right-Handed",66,"baseline","saw_saw_saw_sc_gc","saw","baseline","baseline","congruent",967,"m",1
3,"Right-Handed",69,"gesture-strong","wring_hammer_wring_ss_gc","wring","gesture","strong","incongruent",1001,"m",1
3,"Right-Handed",70,"speech-weak","hammer_hammer_knock_sc_gw","hammer","speech","weak","incongruent",801,"m",1
3,"Right-Handed",72,"gesture-weak","squeeze_wring_squeeze_sw_gc","squeeze","gesture","weak","incongruent",934,"m",1
3,"Right-Handed",73,"gesture-weak","cut_chop_cut_sw_gc","cut","gesture","weak","incongruent",801,"m",1
3,"Right-Handed",74,"baseline","hammer_hammer_hammer_sc_gc","hammer","baseline","baseline","congruent",934,"m",1
3,"Right-Handed",76,"speech-weak","wipe_wipe_scrub_sc_gw","wipe","speech","weak","incongruent",934,"m",1
3,"Right-Handed",77,"speech-strong","slice_slice_stir_sc_gs","slice","speech","strong","incongruent",1067,"z",0
3,"Right-Handed",79,"speech-weak","chop_chop_cut_sc_gw","chop","speech","weak","incongruent",934,"m",1
3,"Right-Handed",80,"gesture-weak","turn_twist_turn_sw_gc","turn","gesture","weak","incongruent",1001,"m",1
3,"Right-Handed",81,"gesture-strong","turn_cut_turn_ss_gc","turn","gesture","strong","incongruent",934,"m",1
3,"Right-Handed",82,"gesture-strong","squeeze_knock_squeeze_ss_gc","squeeze","gesture","strong","incongruent",1067,"m",1
3,"Right-Handed",83,"gesture-strong","chop_twist_chop_ss_gc","chop","gesture","strong","incongruent",1034,"m",1
3,"Right-Handed",84,"speech-strong","dial_dial_scrub_sc_gs","dial","speech","strong","incongruent",867,"m",1
3,"Right-Handed",86,"speech-strong","stir_stir_slice_sc_gs","stir","speech","strong","incongruent",1467,"m",1
3,"Right-Handed",93,"baseline","squeeze_squeeze_squeeze_sc_gc","squeeze","baseline","baseline","congruent",834,"m",1
3,"Right-Handed",96,"speech-weak","squeeze_squeeze_wring_sc_gw","squeeze","speech","weak","incongruent",1001,"m",1
3,"Right-Handed",98,"gesture-weak","type_dial_type_sw_gc","type","gesture","weak","incongruent",1001,"m",1
3,"Right-Handed",99,"gesture-strong","hammer_wring_hammer_ss_gc","hammer","gesture","strong","incongruent",1001,"m",1
3,"Right-Handed",100,"gesture-strong","wipe_type_wipe_ss_gc","wipe","gesture","strong","incongruent",801,"m",1
3,"Right-Handed",101,"baseline","wring_wring_wring_sc_gc","wring","baseline","baseline","congruent",734,"m",1
3,"Right-Handed",107,"speech-strong","shake_shake_saw_sc_gs","shake","speech","strong","incongruent",1067,"m",1
3,"Right-Handed",108,"gesture-strong","cut_turn_cut_ss_gc","cut","gesture","strong","incongruent",801,"m",1
3,"Right-Handed",109,"baseline","scrub_scrub_scrub_sc_gc","scrub","baseline","baseline","congruent",1101,"m",1
3,"Right-Handed",110,"speech-weak","twist_twist_turn_sc_gw","twist","speech","weak","incongruent",967,"m",1
3,"Right-Handed",112,"gesture-strong","saw_shake_saw_ss_gc","saw","gesture","strong","incongruent",934,"m",1
3,"Right-Handed",114,"speech-strong","hammer_hammer_wring_sc_gs","hammer","speech","strong","incongruent",901,"m",1
3,"Right-Handed",116,"gesture-weak","knock_hammer_knock_sw_gc","knock","gesture","weak","incongruent",1134,"m",1
3,"Right-Handed",120,"speech-strong","chop_chop_twist_sc_gs","chop","speech","strong","incongruent",934,"m",1
3,"Right-Handed",121,"baseline","dial_dial_dial_sc_gc","dial","baseline","baseline","congruent",1001,"m",1
3,"Right-Handed",122,"speech-weak","type_type_dial_sc_gw","type","speech","weak","incongruent",834,"m",1
3,"Right-Handed",125,"speech-strong","scrub_scrub_dial_sc_gs","scrub","speech","strong","incongruent",967,"m",1
3,"Right-Handed",126,"gesture-weak","shake_stir_shake_sw_gc","shake","gesture","weak","incongruent",1034,"m",1
3,"Right-Handed",127,"gesture-strong","slice_stir_slice_ss_gc","slice","gesture","strong","incongruent",934,"m",1
3,"Right-Handed",129,"speech-weak","stir_stir_shake_sc_gw","stir","speech","weak","incongruent",967,"m",1
3,"Right-Handed",130,"baseline","slice_slice_slice_sc_gc","slice","baseline","baseline","congruent",867,"m",1
3,"Right-Handed",133,"speech-weak","slice_slice_saw_sc_gw","slice","speech","weak","incongruent",1267,"m",1
3,"Right-Handed",135,"speech-weak","dial_dial_type_sc_gw","dial","speech","weak","incongruent",767,"m",1
3,"Right-Handed",136,"speech-strong","wipe_wipe_type_sc_gs","wipe","speech","strong","incongruent",601,"m",1
3,"Right-Handed",137,"baseline","type_type_type_sc_gc","type","baseline","baseline","congruent",701,"m",1
3,"Right-Handed",138,"gesture-weak","slice_saw_slice_sw_gc","slice","gesture","weak","incongruent",667,"m",1
3,"Right-Handed",139,"gesture-strong","type_wipe_type_ss_gc","type","gesture","strong","incongruent",1267,"m",1
3,"Right-Handed",140,"gesture-strong","twist_chop_twist_ss_gc","twist","gesture","strong","incongruent",967,"m",1
4,"Left-Handed",0,"speech-weak","squeeze_squeeze_wring_sc_gw","squeeze","speech","weak","incongruent",1034,"m",0
4,"Left-Handed",4,"baseline","type_type_type_sc_gc","type","baseline","baseline","congruent",934,"m",0
4,"Left-Handed",6,"baseline","twist_twist_twist_sc_gc","twist","baseline","baseline","congruent",834,"m",0
4,"Left-Handed",7,"gesture-strong","turn_cut_turn_ss_gc","turn","gesture","strong","incongruent",1234,"z",1
4,"Left-Handed",8,"speech-strong","chop_chop_twist_sc_gs","chop","speech","strong","incongruent",967,"m",0
