"stakes","condition","hrv","hr_abv","sub","throw","trial_no","success_rate"
10,"money",6.45623550111794,1,"4",1,5,0.8
8,"money",3.87050115285651,1,"4",1,6,0.833333333333333
9,"money",5.13528754850975,1,"4",0,7,0.714285714285714
13,"money",6.26173280254513,1,"4",1,8,0.75
18,"money",3.59699380364614,1,"4",0,9,0.666666666666667
19,"money",6.62692012318054,1,"4",1,10,0.7
3,"money",5.64875844399961,1,"4",1,11,0.727272727272727
4,"money",4.7397027539297,1,"4",0,12,0.666666666666667
16,"money",6.53576081936048,1,"4",0,13,0.615384615384615
5,"money",5.68089250016514,1,"4",1,14,0.642857142857143
12,"money",5.33819450871803,1,"4",1,15,0.666666666666667
11,"money",5.0318193921848,1,"4",1,16,0.6875
6,"money",5.04240909006596,1,"4",0,17,0.647058823529412
7,"money",5.71204086072199,1,"4",1,18,0.666666666666667
15,"money",4.51112893177766,1,"4",1,19,0.684210526315789
17,"money",5.09118844541719,1,"4",0,20,0.65
2,"money",7.46041979929544,1,"5",0,1,0
9,"money",5.83410193540978,1,"5",0,2,0
8,"money",4.83015299444894,1,"5",1,3,0.333333333333333
6,"money",6.26497722242329,1,"5",0,4,0.25
17,"money",3.52201264952344,1,"5",1,5,0.4
7,"money",5.91776253596953,1,"5",1,6,0.5
15,"money",4.23948014822422,1,"5",1,7,0.571428571428571
16,"money",4.38924760510837,1,"5",1,8,0.625
5,"money",5.7478423130979,1,"5",1,9,0.666666666666667
20,"money",1.77695717157668,1,"5",1,10,0.7
4,"money",8.90151429667446,1,"5",1,11,0.727272727272727
13,"money",2.57545349393796,1,"5",1,12,0.75
12,"money",4.00417284261002,1,"5",0,13,0.692307692307692
10,"money",6.367665902806,1,"5",1,14,0.714285714285714
19,"money",1.33055271225273,1,"5",1,15,0.733333333333333
11,"money",4.146957828945,1,"5",1,16,0.75
3,"money",6.61603021429803,1,"5",1,17,0.764705882352941
18,"money",1.65904480965019,1,"5",0,18,0.722222222222222
14,"money",4.75535506722656,1,"5",1,19,0.736842105263158
1,"money",8.31113952363819,1,"5",1,20,0.75
19,"money",3.53051473876135,1,"6",1,1,1
9,"money",2.88736371865104,1,"6",1,2,1
6,"money",2.07287826703915,1,"6",0,3,0.666666666666667
20,"money",2.19960436626216,1,"6",0,4,0.5
16,"money",3.92358896198971,1,"6",1,5,0.6
5,"money",4.45209931601809,0,"6",1,6,0.666666666666667
8,"money",3.19396403180815,1,"6",0,7,0.571428571428571
17,"money",5.20445024442653,1,"6",1,8,0.625
18,"money",3.81041060424585,1,"6",1,9,0.666666666666667
11,"money",2.66320105322963,1,"6",1,10,0.7
4,"money",2.71820975304483,1,"6",0,11,0.636363636363636
2,"money",3.40180130487538,1,"6",1,12,0.666666666666667
12,"money",3.14894792294342,1,"6",1,13,0.692307692307692
1,"money",3.41561642395145,1,"6",0,14,0.642857142857143
10,"money",3.71286781381405,1,"6",1,15,0.666666666666667
3,"money",2.09265811586188,1,"6",1,16,0.6875
7,"money",2.14109173007201,1,"6",1,17,0.705882352941177
13,"money",3.9213973898363,1,"6",1,18,0.722222222222222
15,"money",4.23744651523503,1,"6",1,19,0.736842105263158
14,"money",2.5619177849701,1,"6",1,20,0.75
5,"money",4.76240520352923,1,"7",1,1,1
14,"money",4.57099519206026,1,"7",1,2,1
9,"money",3.37328484437645,1,"7",1,3,1
10,"money",5.77064956278214,1,"7",1,4,1
15,"money",3.08656836291168,1,"7",0,5,0.8
8,"money",4.97195420490814,1,"7",1,6,0.833333333333333
2,"money",3.89750638080866,1,"7",1,7,0.857142857142857
17,"money",4.22704644355614,1,"7",1,8,0.875
6,"money",5.30649036061206,1,"7",1,9,0.888888888888889
4,"money",4.91172260653935,1,"7",1,10,0.9
3,"money",3.81449779772481,1,"7",1,11,0.909090909090909
19,"money",4.11634589457145,1,"7",1,12,0.916666666666667
1,"money",2.54649152985469,1,"7",1,13,0.923076923076923
20,"money",4.9880064829376,1,"7",0,14,0.857142857142857
7,"money",3.84309478412311,1,"7",1,15,0.866666666666667
13,"money",4.46034234957937,1,"7",1,16,0.875
12,"money",4.72824943306827,1,"7",1,17,0.882352941176471
11,"money",4.4836499349636,1,"7",0,18,0.833333333333333
16,"money",3.67216300052202,1,"7",1,19,0.842105263157895
18,"money",4.23121899945994,1,"7",1,20,0.85
8,"money",4.79229088481398,1,"8",1,1,1
12,"money",2.64444720290434,1,"8",1,2,1
10,"money",4.49600177172903,1,"8",1,3,1
16,"money",4.6492336118247,1,"8",1,4,1
1,"money",4.43144747624737,1,"8",1,5,1
17,"money",4.28388209230059,1,"8",1,6,1
9,"money",3.26071051058993,1,"8",1,7,1
11,"money",3.8084078444232,1,"8",1,8,1
7,"money",4.91390557611202,1,"8",1,9,1
13,"money",5.22433062877347,1,"8",1,10,1
20,"money",3.91006338587462,1,"8",1,11,1
5,"money",4.21850339611804,1,"8",1,12,1
2,"money",6.11132582862482,1,"8",1,13,1
19,"money",4.95657278590444,1,"8",0,14,0.928571428571429
18,"money",3.72930196821585,1,"8",1,15,0.933333333333333
4,"money",6.20574508124343,1,"8",1,16,0.9375
15,"money",4.824288337787,1,"8",1,17,0.941176470588235
6,"money",2.83992778382164,1,"8",1,18,0.944444444444444
3,"money",4.42383428889793,1,"8",1,19,0.947368421052632
14,"money",1.42383008624907,1,"8",0,20,0.9
19,"money",2.73636292271206,1,"9",0,1,0
9,"money",3.85052370580254,1,"9",1,2,0.5
1,"money",5.32728841692972,1,"9",1,3,0.666666666666667
12,"money",4.35097361583076,1,"9",1,4,0.75
14,"money",3.26242032867402,1,"9",1,5,0.8
7,"money",4.00636730550086,1,"9",1,6,0.833333333333333
3,"money",5.88200192805231,1,"9",1,7,0.857142857142857
13,"money",4.68718330558428,1,"9",1,8,0.875
16,"money",1.58610594964374,1,"9",1,9,0.888888888888889
5,"money",4.35333226683034,1,"9",0,10,0.8
20,"money",1.49056856458689,1,"9",1,11,0.818181818181818
2,"money",5.32541122425518,1,"9",0,12,0.75
11,"money",3.78364069927161,1,"9",1,13,0.769230769230769
4,"money",5.04793592774353,1,"9",1,14,0.785714285714286
17,"money",3.34089359975404,1,"9",1,15,0.8
8,"money",3.39583521586055,1,"9",1,16,0.8125
6,"money",5.87833657639927,1,"9",1,17,0.823529411764706
15,"money",4.76035347036699,1,"9",1,18,0.833333333333333
10,"money",5.7087596819081,1,"9",0,19,0.789473684210526
18,"money",3.25706068768222,1,"9",0,20,0.75
7,"money",3.48818335089988,1,"10",1,1,1
11,"money",3.49236329068755,1,"10",1,2,1
10,"money",5.88913161260382,1,"10",1,3,1
6,"money",3.93635851000356,1,"10",1,4,1
13,"money",6.09006356883768,1,"10",0,5,0.8
2,"money",4.56403643231994,1,"10",1,6,0.833333333333333
20,"money",3.88014743968299,1,"10",1,7,0.857142857142857
12,"money",3.90665549961114,1,"10",1,8,0.875
19,"money",4.31069418070733,1,"10",0,9,0.777777777777778
3,"money",5.55947048620881,1,"10",1,10,0.8
4,"money",2.53096201126383,1,"10",1,11,0.818181818181818
18,"money",3.9000034150418,1,"10",1,12,0.833333333333333
17,"money",3.51522421270608,1,"10",1,13,0.846153846153846
16,"money",5.21569890798469,1,"10",1,14,0.857142857142857
14,"money",3.30311325095216,1,"10",1,15,0.866666666666667
9,"money",4.08017727908562,1,"10",1,16,0.875
8,"money",3.4612251698623,1,"10",1,17,0.882352941176471
15,"money",3.91163023828648,1,"10",1,18,0.888888888888889
1,"money",4.03529249554625,1,"10",1,19,0.894736842105263
5,"money",3.5669599060715,1,"10",1,20,0.9
13,"money",4.88843947661097,1,"11",1,1,1
8,"money",5.20394184993187,1,"11",1,2,1
10,"money",5.92010055317889,1,"11",1,3,1
7,"money",5.68406334991645,1,"11",1,4,1
9,"money",4.00109880405635,1,"11",1,5,1
15,"money",6.52709735014664,1,"11",1,6,1
16,"money",4.15761515792644,1,"11",1,7,1
5,"money",5.02005827209819,1,"11",1,8,1
6,"money",3.72325497134912,1,"11",0,9,0.888888888888889
2,"money",4.46135045411955,1,"11",0,10,0.8
20,"money",2.35324365642702,1,"11",0,11,0.727272727272727
18,"money",3.84916236428621,1,"11",1,12,0.75
17,"money",3.30811832272112,1,"11",0,13,0.692307692307692
1,"money",4.34189987031247,1,"11",1,14,0.714285714285714
19,"money",3.2952345795931,1,"11",0,15,0.666666666666667
12,"money",3.96791049049343,1,"11",0,16,0.625
4,"money",6.05954072898189,1,"11",1,17,0.647058823529412
3,"money",4.6822044008606,1,"11",0,18,0.611111111111111
11,"money",4.88765340282642,1,"11",1,19,0.631578947368421
14,"money",3.25254887994673,1,"11",0,20,0.6
8,"money",3.98321113259627,1,"12",1,1,1
13,"money",4.06119949876454,1,"12",1,2,1
2,"money",4.45857363420211,1,"12",1,3,1
12,"money",0.915099778412301,0,"12",0,4,0.75
17,"money",2.00781537060398,0,"12",1,5,0.8
15,"money",1.9164176731701,1,"12",1,6,0.833333333333333
11,"money",2.43414343053754,1,"12",1,7,0.857142857142857
14,"money",1.0165796622792,1,"12",1,8,0.875
20,"money",1.69162849948724,1,"12",1,9,0.888888888888889
4,"money",3.82246567307825,1,"12",1,10,0.9
18,"money",0.27923325802183,1,"12",1,11,0.909090909090909
19,"money",1.22442803451054,1,"12",1,12,0.916666666666667
9,"money",-0.866092457154414,1,"12",0,13,0.846153846153846
16,"money",2.82968400517346,1,"12",1,14,0.857142857142857
3,"money",3.54611522665863,1,"12",1,15,0.866666666666667
7,"money",2.95663407447708,1,"12",1,16,0.875
1,"money",2.33477011837513,1,"12",0,17,0.823529411764706
5,"money",2.14117102670268,1,"12",1,18,0.833333333333333
6,"money",1.96080773982713,1,"12",1,19,0.842105263157895
10,"money",2.26831773327822,1,"12",1,20,0.85
15,"money",5.01355625824649,1,"13",1,1,1
3,"money",7.01342049474875,1,"13",0,2,0.5
7,"money",6.372549980662,1,"13",1,3,0.666666666666667
19,"money",3.64925922780009,1,"13",0,4,0.5
5,"money",5.2820697200523,1,"13",0,5,0.4
1,"money",4.90620345417692,1,"13",1,6,0.5
10,"money",6.20638939474032,1,"13",1,7,0.571428571428571
4,"money",6.48699772428273,1,"13",0,8,0.5
6,"money",6.09858216891667,1,"13",1,9,0.555555555555556
20,"money",3.8339632113304,1,"13",0,10,0.5
13,"money",4.60645918918911,1,"13",1,11,0.545454545454545
18,"money",5.19170366273115,1,"13",1,12,0.583333333333333
11,"money",5.65286680467387,1,"13",1,13,0.615384615384615
14,"money",5.79422482950181,1,"13",1,14,0.642857142857143
8,"money",5.84943943221691,1,"13",1,15,0.666666666666667
17,"money",2.87200866798014,1,"13",1,16,0.6875
12,"money",4.36635897585103,1,"13",0,17,0.647058823529412
9,"money",5.78954797046862,1,"13",1,18,0.666666666666667
2,"money",6.41138126320006,1,"13",1,19,0.684210526315789
16,"money",4.58947051322209,1,"13",1,20,0.7
19,"money",6.46250292978954,1,"14",0,1,0
10,"money",5.58606299400147,1,"14",1,2,0.5
6,"money",4.05922478754058,1,"14",1,3,0.666666666666667
3,"money",2.99731161974783,1,"14",1,4,0.75
1,"money",4.48503441452652,1,"14",1,5,0.8
16,"money",6.64751673129646,1,"14",0,6,0.666666666666667
5,"money",4.60994415310152,1,"14",1,7,0.714285714285714
7,"money",3.81111448173397,1,"14",1,8,0.75
11,"money",4.03516578004429,1,"14",1,9,0.777777777777778
2,"money",4.4362889605259,1,"14",0,10,0.7
18,"money",4.29729497320002,1,"14",0,11,0.636363636363636
14,"money",5.75978387057663,1,"14",1,12,0.666666666666667
4,"money",4.73950527190587,1,"14",1,13,0.692307692307692
20,"money",7.42374866535407,1,"14",1,14,0.714285714285714
15,"money",6.55062549831933,1,"14",1,15,0.733333333333333
17,"money",4.84730077392171,1,"14",1,16,0.75
12,"money",5.05070749839702,1,"14",1,17,0.764705882352941
9,"money",4.01473473079218,1,"14",1,18,0.777777777777778
13,"money",4.5999536486541,1,"14",1,19,0.789473684210526
8,"money",7.33337573699482,1,"14",1,20,0.8
14,"money",3.41079944338236,1,"15",1,1,1
19,"money",3.68258291134591,1,"15",1,2,1
2,"money",6.87066790078396,1,"15",1,3,1
8,"money",4.43356851635093,1,"15",1,4,1
18,"money",5.30450162593915,1,"15",1,5,1
1,"money",6.3742375939756,1,"15",1,6,1
20,"money",1.51843217530926,1,"15",0,7,0.857142857142857
5,"money",5.56189331649326,1,"15",1,8,0.875
15,"money",4.28185642856082,1,"15",1,9,0.888888888888889
4,"money",3.60579485509632,1,"15",0,10,0.8
16,"money",2.31345912155376,1,"15",1,11,0.818181818181818
9,"money",5.4390757181306,1,"15",1,12,0.833333333333333
3,"money",5.37246536313506,1,"15",1,13,0.846153846153846
6,"money",4.45138317020924,1,"15",0,14,0.785714285714286
11,"money",2.90175754868432,1,"15",1,15,0.8
10,"money",5.53452559378621,1,"15",1,16,0.8125
13,"money",5.06888404573887,1,"15",1,17,0.823529411764706
7,"money",5.76897629420039,1,"15",1,18,0.833333333333333
12,"money",3.27634886805032,1,"15",1,19,0.842105263157895
17,"money",3.44860444588153,1,"15",1,20,0.85
19,"kudos",1.43470489876571,0,"16",0,1,0
15,"kudos",3.57226910137608,1,"16",1,2,0.5
12,"kudos",4.31511684369268,1,"16",1,3,0.666666666666667
6,"kudos",4.36411648597449,1,"16",1,4,0.75
1,"kudos",5.03572014145685,1,"16",0,5,0.6
7,"kudos",4.16355325026944,1,"16",1,6,0.666666666666667
2,"kudos",5.24554046583201,1,"16",1,7,0.714285714285714
8,"kudos",5.76978294988028,1,"16",1,8,0.75
11,"kudos",3.53276287825122,1,"16",0,9,0.666666666666667
13,"kudos",5.45090047410932,1,"16",1,10,0.7
18,"kudos",1.64451441488077,1,"16",1,11,0.727272727272727
10,"kudos",4.91723171367055,1,"16",1,12,0.75
17,"kudos",3.99419797764333,1,"16",1,13,0.769230769230769
16,"kudos",3.09147851334636,1,"16",0,14,0.714285714285714
3,"kudos",4.51828960034772,1,"16",0,15,0.666666666666667
14,"kudos",4.5287106573994,1,"16",1,16,0.6875
5,"kudos",5.14629213015983,1,"16",1,17,0.705882352941177
4,"kudos",5.60224122890631,1,"16",1,18,0.722222222222222
20,"kudos",3.46634952998432,1,"16",1,19,0.736842105263158
9,"kudos",6.18379407297768,1,"16",1,20,0.75
7,"kudos",3.64081151911741,1,"17",1,1,1
12,"kudos",4.71636522692224,1,"17",1,2,1
18,"kudos",6.08007108656416,1,"17",1,3,1
9,"kudos",4.78343137818434,1,"17",1,4,1
11,"kudos",4.7073161656603,1,"17",1,5,1
16,"kudos",4.47710769948392,1,"17",0,6,0.833333333333333
13,"kudos",4.50461673618984,1,"17",1,7,0.857142857142857
17,"kudos",4.50905751068611,1,"17",0,8,0.75
6,"kudos",4.17346114478984,1,"17",1,9,0.777777777777778
10,"kudos",3.58496736331873,1,"17",1,10,0.8
14,"kudos",5.37218484312072,1,"17",0,11,0.727272727272727
20,"kudos",3.76164499934107,1,"17",1,12,0.75
5,"kudos",5.70990882548227,1,"17",1,13,0.769230769230769
4,"kudos",4.96080298201622,1,"17",0,14,0.714285714285714
2,"kudos",5.05299258459922,1,"17",0,15,0.666666666666667
3,"kudos",3.83401414215091,1,"17",1,16,0.6875
15,"kudos",3.31158628970177,1,"17",0,17,0.647058823529412
8,"kudos",3.76577224862031,1,"17",1,18,0.666666666666667
19,"kudos",3.81670574308077,1,"17",1,19,0.684210526315789
1,"kudos",5.72362975805762,1,"17",1,20,0.7
10,"kudos",5.24254023572018,1,"18",1,1,1
20,"kudos",2.80912449102454,1,"18",1,2,1
3,"kudos",4.77195647392736,1,"18",1,3,1
17,"kudos",3.40792706609721,1,"18",1,4,1
6,"kudos",3.79960194549781,1,"18",0,5,0.8
15,"kudos",1.8532842783891,1,"18",1,6,0.833333333333333
7,"kudos",4.53523876745175,1,"18",1,7,0.857142857142857
18,"kudos",2.81777847695104,1,"18",1,8,0.875
8,"kudos",5.49543115967456,1,"18",1,9,0.888888888888889
14,"kudos",2.3731120405563,1,"18",1,10,0.9
12,"kudos",6.13843204866438,1,"18",1,11,0.909090909090909
4,"kudos",3.91187900759626,1,"18",1,12,0.916666666666667
5,"kudos",5.97820998577023,1,"18",1,13,0.923076923076923
1,"kudos",5.14335254640543,1,"18",1,14,0.928571428571429
9,"kudos",3.04274904878801,1,"18",0,15,0.866666666666667
13,"kudos",5.29227306199691,1,"18",1,16,0.875
19,"kudos",3.63216171618907,1,"18",0,17,0.823529411764706
11,"kudos",4.73282542392692,1,"18",1,18,0.833333333333333
2,"kudos",4.70577845953765,1,"18",1,19,0.842105263157895
16,"kudos",5.2531438115912,1,"18",1,20,0.85
10,"kudos",6.62406038232983,1,"19",0,1,0
4,"kudos",5.01269608906218,1,"19",1,2,0.5
12,"kudos",6.14445174005052,1,"19",1,3,0.666666666666667
13,"kudos",6.0805796681508,1,"19",1,4,0.75
15,"kudos",6.49341725405115,1,"19",1,5,0.8
16,"kudos",7.87043089140334,1,"19",1,6,0.833333333333333
17,"kudos",5.16763040304438,1,"19",1,7,0.857142857142857
3,"kudos",6.21635341429127,1,"19",1,8,0.875
19,"kudos",5.79571668791611,1,"19",1,9,0.888888888888889
6,"kudos",5.18519521256843,1,"19",1,10,0.9
18,"kudos",6.77750331144914,1,"19",1,11,0.909090909090909
7,"kudos",5.92636432802997,1,"19",0,12,0.833333333333333
20,"kudos",6.2006429165492,1,"19",1,13,0.846153846153846
1,"kudos",6.95788388568812,1,"19",0,14,0.785714285714286
14,"kudos",6.36339194043669,1,"19",1,15,0.8
9,"kudos",4.09698873310308,1,"19",1,16,0.8125
8,"kudos",6.70128790443694,1,"19",1,17,0.823529411764706
11,"kudos",8.75923613422773,1,"19",1,18,0.833333333333333
5,"kudos",5.74809587186973,1,"19",1,19,0.842105263157895
2,"kudos",5.34865230818717,1,"19",1,20,0.85
16,"kudos",6.06283406960052,1,"20",1,1,1
15,"kudos",5.50104179274607,1,"20",0,2,0.5
1,"kudos",5.81830859334115,1,"20",1,3,0.666666666666667
4,"kudos",6.80851168438162,1,"20",1,4,0.75
9,"kudos",4.79736005544599,1,"20",0,5,0.6
19,"kudos",4.04910922561438,1,"20",1,6,0.666666666666667
7,"kudos",7.12228063255631,1,"20",1,7,0.714285714285714
12,"kudos",5.67383367422942,1,"20",1,8,0.75
14,"kudos",7.28531116562728,1,"20",1,9,0.777777777777778
13,"kudos",5.32917512601487,1,"20",0,10,0.7
10,"kudos",6.54018771721614,1,"20",1,11,0.727272727272727
6,"kudos",6.61153489432841,1,"20",1,12,0.75
17,"kudos",4.48941768798514,1,"20",0,13,0.692307692307692
20,"kudos",4.88179939519233,1,"20",1,14,0.714285714285714
8,"kudos",6.71980208936031,1,"20",0,15,0.666666666666667
5,"kudos",8.25432936739988,1,"20",1,16,0.6875
18,"kudos",5.00023030905901,1,"20",0,17,0.647058823529412
2,"kudos",7.15938047262923,1,"20",1,18,0.666666666666667
3,"kudos",8.17825513909385,1,"20",1,19,0.684210526315789
11,"kudos",4.97798393259853,1,"20",1,20,0.7
11,"kudos",5.33827404016168,1,"21",0,1,0
18,"kudos",5.56083742518741,1,"21",1,2,0.5
3,"kudos",4.34959218121289,1,"21",1,3,0.666666666666667
17,"kudos",4.94297408827765,1,"21",1,4,0.75
4,"kudos",5.85404917399866,1,"21",1,5,0.8
10,"kudos",4.35804447894203,1,"21",0,6,0.666666666666667
13,"kudos",4.85051143185511,1,"21",1,7,0.714285714285714
9,"kudos",5.18142118566163,1,"21",1,8,0.75
1,"kudos",6.86244455404474,1,"21",0,9,0.666666666666667
8,"kudos",5.47490955144079,1,"21",1,10,0.7
16,"kudos",5.64012783615762,1,"21",1,11,0.727272727272727
5,"kudos",5.80045914326985,1,"21",0,12,0.666666666666667
20,"kudos",6.41202274081728,1,"21",1,13,0.692307692307692
15,"kudos",5.68334897806165,1,"21",1,14,0.714285714285714
7,"kudos",5.3508461065505,1,"21",1,15,0.733333333333333
12,"kudos",5.36199835768595,1,"21",1,16,0.75
2,"kudos",5.38430253026132,1,"21",1,17,0.764705882352941
14,"kudos",3.95334310622362,1,"21",0,18,0.722222222222222
6,"kudos",4.86289340783481,1,"21",0,19,0.684210526315789
19,"kudos",4.73362246538848,1,"21",1,20,0.7
14,"kudos",3.41559701657578,1,"22",1,1,1
12,"kudos",5.04263869602489,1,"22",1,2,1
17,"kudos",2.77316451309868,1,"22",1,3,1
5,"kudos",3.67594967031088,1,"22",1,4,1
11,"kudos",3.36528345343319,1,"22",1,5,1
4,"kudos",4.30122974255911,1,"22",1,6,1
13,"kudos",4.74775060359641,1,"22",1,7,1
15,"kudos",3.47549782616541,1,"22",0,8,0.875
2,"kudos",4.10933143901935,0,"22",0,9,0.777777777777778
18,"kudos",4.10050750856656,1,"22",1,10,0.8
7,"kudos",4.74614545728319,1,"22",1,11,0.818181818181818
6,"kudos",3.59997493408735,1,"22",1,12,0.833333333333333
10,"kudos",3.6611782723318,1,"22",1,13,0.846153846153846
3,"kudos",3.5556693783713,1,"22",1,14,0.857142857142857
1,"kudos",2.9016850948037,1,"22",1,15,0.866666666666667
8,"kudos",3.35882455810248,1,"22",0,16,0.8125
20,"kudos",3.86876066516617,1,"22",1,17,0.823529411764706
9,"kudos",3.83908259391025,1,"22",1,18,0.833333333333333
16,"kudos",2.9000071474184,1,"22",1,19,0.842105263157895
19,"kudos",5.36205596110021,1,"22",1,20,0.85
7,"kudos",4.0157071968088,1,"23",1,1,1
9,"kudos",4.04945041181147,1,"23",1,2,1
3,"kudos",5.03746735310543,1,"23",1,3,1
2,"kudos",2.38842002732346,1,"23",1,4,1
8,"kudos",4.46889263910966,1,"23",1,5,1
5,"kudos",5.67375506683509,1,"23",1,6,1
15,"kudos",4.56784281968635,1,"23",1,7,1
6,"kudos",5.41668164515419,1,"23",1,8,1
19,"kudos",6.95590129537167,1,"23",1,9,1
14,"kudos",5.99626627650131,1,"23",1,10,1
1,"kudos",3.62446804512308,1,"23",1,11,1
18,"kudos",4.42271791964061,1,"23",0,12,0.916666666666667
17,"kudos",6.52180456125919,1,"23",1,13,0.923076923076923
11,"kudos",4.57389032300004,1,"23",0,14,0.857142857142857
13,"kudos",5.52677504209182,1,"23",1,15,0.866666666666667
12,"kudos",4.68698155547529,1,"23",0,16,0.8125
20,"kudos",4.61325872329509,1,"23",1,17,0.823529411764706
4,"kudos",5.76696405997245,1,"23",1,18,0.833333333333333
16,"kudos",4.78183944075856,1,"23",1,19,0.842105263157895
10,"kudos",4.68905061653948,1,"23",0,20,0.8
6,"kudos",5.41790191083143,1,"24",1,1,1
15,"kudos",6.38054003190615,1,"24",1,2,1
16,"kudos",6.80558502775165,1,"24",1,3,1
8,"kudos",5.68508556307429,1,"24",1,4,1
10,"kudos",6.41855666436667,1,"24",1,5,1
17,"kudos",4.25058994410967,1,"24",1,6,1
12,"kudos",6.08363034070384,1,"24",1,7,1
20,"kudos",5.0015885201572,1,"24",1,8,1
7,"kudos",5.67552063451667,1,"24",1,9,1
13,"kudos",5.73239521882996,1,"24",1,10,1
11,"kudos",4.69273778326947,1,"24",1,11,1
18,"kudos",6.30546156664078,1,"24",1,12,1
1,"kudos",5.42443636489304,1,"24",0,13,0.923076923076923
4,"kudos",5.86211128666787,1,"24",1,14,0.928571428571429
3,"kudos",6.14318329687047,1,"24",1,15,0.933333333333333
14,"kudos",3.78678954519779,1,"24",0,16,0.875
5,"kudos",5.18705798920064,1,"24",1,17,0.882352941176471
2,"kudos",6.77011299926914,1,"24",1,18,0.888888888888889
9,"kudos",4.02692577472108,1,"24",1,19,0.894736842105263
19,"kudos",2.92264046129288,1,"24",1,20,0.9
1,"kudos",5.18086847861152,1,"25",1,1,1
11,"kudos",5.71518385752827,1,"25",1,2,1
10,"kudos",7.72429531401108,1,"25",1,3,1
20,"kudos",4.67157862572685,1,"25",1,4,1
5,"kudos",5.61434061356478,1,"25",1,5,1
9,"kudos",4.97375758297781,1,"25",1,6,1
18,"kudos",6.73709457765213,1,"25",1,7,1
17,"kudos",5.84176638250278,1,"25",0,8,0.875
3,"kudos",4.45072752480472,1,"25",1,9,0.888888888888889
13,"kudos",4.59913087362151,1,"25",0,10,0.8
19,"kudos",4.28048796999098,1,"25",0,11,0.727272727272727
2,"kudos",4.71387148896344,1,"25",1,12,0.75
14,"kudos",6.60696861515619,1,"25",1,13,0.769230769230769
