intermediate_zone,attendance,attainment,university
Balgay,0.855255,5.7463768116,0.1379424
Balgownie and Donmouth East,0.8845999999999999,5.85714285715,0.0948345
Balgownie and Donmouth West,0.86611,5.772937710433333,0.097594
Balgreen and Roseburn,0.80302,5.8211111111,0.13980916666666665
Ballingry,0.677025,4.915656565675,0.026576
Balloch East,0.8009125,5.7614272982,0.10946600000000001
Balloch West,0.880982,6.04021388722,0.130657
Balmalloch,0.7942533333333334,5.199870837233333,0.0645025
Balmedie and Potterton,0.904945,5.534249628233334,0.10429766666666666
Balmullo and Gauldry,0.839082,5.65430407562,0.1707394
Balornock,0.745942,5.10263043974,0.075881
Banchory-Devenick and Findon,0.883208,5.52165256644,0.1112144
Banchory East,0.8941979999999999,5.964508292633333,0.14621416666666667
Banchory West,0.9134599999999999,6.281389452325,0.208203
Banff,0.794414,5.42474634298,0.046460800000000003
Bankhead South,0.8057325,5.5774019608,0.10367025
"Banknock, Haggs and Longcroft",0.8031066666666666,5.463005112366667,0.045239
Bankton and Murieston,0.8950728571428571,6.071263180071429,0.12847542857142857
Bannockburn,0.833076,5.755978180740001,0.0680338
Barassie,0.8029566666666667,5.43601190475,0.06980366666666667
Barlanark,0.69838875,5.23707022145,0.053322
Barloch,0.897085,6.3070970696,0.23907275
Barmulloch,0.7587425000000001,5.016968042475,0.052118
Barnhill,0.8644783333333333,5.94136781905,0.18463683333333333
"Barnton, Cammo and Cramond South",0.9429799999999999,6.26024305555,0.2957825
Barra and South Uist,0.869592,5.66505882352,0.0686932
Barrahill,0.87957,5.745267676033333,0.103555
Bathgate and Boghall,0.8008233333333333,5.333730158733333,0.054386
Bathgate East,0.7758499999999999,5.403986552911111,0.04906944444444444
Bathgate West,0.8467514285714286,5.720445344133333,0.07818988888888889
"Bathgate, Wester Inch and Inchcross",0.859862,5.62211838096,0.0857328
Battlefield,0.841906,5.947033876,0.10403566666666667
Baxter Park,0.8307249999999999,5.7873800113,0.12406924999999999
Beith East and Rural,0.83698,5.6936084447,0.0864382
Beith West,0.824945,5.656238859175,0.07258975
Bellfield and Kirkstyle,0.790388,5.26800904978,0.0591552
Bellshill Central,0.7331825,5.2484243697499995,0.059539
Bellshill South,0.7338733333333334,5.294437935216667,0.0455165
"Bellsquarry, Adambrae and Kirkton",0.8620628571428571,5.878494521357143,0.13012414285714285
Belmont,0.8338757142857143,5.9188439238,0.12623914285714286
Benbecula and North Uist,0.848935,5.674068986575,0.101148
Benderloch Trail,0.8485614285714286,5.587186389728571,0.06759614285714285
Berwickshire Central,0.8490719999999999,5.78694575696,0.11195419999999999
Berwickshire East,0.841992,5.7374158543,0.12653720000000002
"Biggar, Symington, Thankerton and Dolphinton",0.865185,5.797210338685714,0.13541814285714285
"Bingham, Magdalene and The Christians",0.62518,4.87145467144,0.0321672
Birkenshaw,0.8552533333333333,5.761867494485714,0.09094371428571428
"Birniehill, Kelvin and Whitehills East",0.823055,5.4667751570166665,0.0684255
Bishopbriggs North and Kenmure,0.926632,6.310094360314285,0.16195628571428572
Bishopbriggs West and Cadder,0.879,5.968997267075,0.114641875
Bishopton,0.8801083333333334,6.041626409016667,0.14043933333333333
Black Isle North,0.821976,5.62977207976,0.123729
Black Isle South,0.8505775,5.8427428928000005,0.121532625
Blackburn,0.795237,5.306738304772727,0.06681136363636364
"Blackford, West Mains and Mayfield Road",0.9049783333333333,6.1271997929625,0.219068625
Blackhall,0.9296099999999999,6.1234495167142855,0.26401585714285714
Blackhill and Barmulloch East,0.7284628571428572,5.166697147457143,0.060083142857142856
"Blackness, Bo'ness - Carriden and Grahamsdyke",0.8271333333333333,5.395495014233333,0.07057166666666667
"Blackridge, Westfield and Torphichen",0.827074,5.47323378378,0.0684482
Blaeberry Hill and East Whitburn,0.79525125,5.6196408983125,0.083887625
"Blair Atholl, Strathardle and Glenshee",0.817654,5.75869047618,0.1241374
Blairdardie East,0.7481214285714286,5.175756913,0.08114442857142858
Blairdardie West,0.85384,5.5583869584,0.10468466666666666
Blairgowrie East (Rattray),0.709145,4.78408613445,0.039815
Blairgowrie West,0.7988649999999999,5.558781741728572,0.10309828571428571
Blane Valley,0.9012337500000001,6.0259549733375,0.187669
Blantyre South and Wheatlands,0.77263,5.1322091715500004,0.0413615
Blantytre North and Coatshill,0.7949575,5.283100414075,0.0773245
Bo'ness - Douglas,0.817554,5.71505763684,0.0654986
Bo'ness - Kinneil,0.76689,5.3742857143,0.041192400000000004
Bo'ness - Newtown,0.802276,5.50509157508,0.0624674
Bonaly and The Pentlands,0.94709,6.1279845927166665,0.28908733333333336
Bonnington,0.7902666666666667,5.377705627675001,0.11233275000000001
Bonnybridge,0.791185,5.544902478233333,0.053101333333333334
Bonnyrigg North,0.7643285714285715,5.562359250714286,0.09952214285714286
Bonnyrigg South,0.7579914285714286,5.5193052978857144,0.050202857142857146
Bonnyton and Town Centre,0.83089,5.56035608892,0.0650386
Borestone,0.802324,5.49083778966,0.0864368
Boswall and Pilton,0.8037528571428572,5.595946712014285,0.12495414285714286
Bothwell North,0.8273675,5.3971882832,0.0891255
Bothwell South,0.9050233333333334,5.8970238095,0.17704920000000002
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton",0.8284183333333334,5.76003028405,0.067077
Braehead,0.83168,5.496758199866667,0.05037166666666666
Braes Villages,0.7588433333333333,5.296996252216667,0.04901283333333333
"Braeside, Branchton, Lower Larkfield and Ravenscraig",0.70929125,5.2092544697125,0.039664875
"Braeside, Mannofield, Broomhill and Seafield East",0.890335,5.80671550672,0.1507996
"Braeside, Mannofield, Broomhill and Seafield North",0.917755,5.9786716792,0.2273644
"Braeside, Mannofield, Broomhill and Seafield South",0.9270099999999999,6.09494843392,0.2284364
Braidfauld,0.704985,5.307357486275,0.06266962499999999
Brechin East,0.78782,5.12542508416,0.0594918
Brechin West,0.851784,5.49635897436,0.040965
Breich Valley,0.790975,5.380907042316666,0.07823883333333334
Bridge of Allan and University,0.887952,5.901660664242857,0.09996042857142858
Bridge of Earn and Abernethy,0.8487833333333333,5.476083996666667,0.08623033333333334
Bridge of Weir,0.8782414285714286,5.808575551414286,0.15745442857142858
Bridgeton,0.7396449999999999,4.92901453385,0.05410475
Brightons and Wallacestone,0.875868,5.8178654094,0.1094434
Broadbay,0.9036225,5.696260484625,0.0832435
Broomhill,0.81951,5.92736479206,0.1646044
Broomhouse and Bankhead,0.7164119999999999,5.05279220778,0.0600526
Broomridge,0.824505,5.547366522371429,0.07005414285714286
Broughton North and Powderhall,0.8396675,5.57949561405,0.06529025
Broughton South,0.8477140000000001,5.358730158733334,0.0907984
Broughty Ferry East,0.8872399999999999,5.87523809524,0.162905
Broughty Ferry West,0.870798,6.03979998095,0.20856133333333332
Broxburn East,0.8034825,5.54429713805,0.051256499999999997
Broxburn Kirkhill,0.829086,5.6841677096600005,0.0625066
Broxburn South,0.8673316666666666,5.739257655916667,0.081253
Bruntsfield,0.900175,6.363888888883333,0.078071
"Buckhaven, Denbeath and Muiredge",0.7054557142857143,4.799893402342857,0.04614442857142857
Buckie Central East,0.8566819999999999,5.37714285714,0.049518400000000004
Buckie West and Mains of Buckie,0.867708,5.59197491682,0.0495784
Bucksburn North,0.8186933333333334,5.390821256033334,0.074412
Bucksburn South,0.803808,5.0694139194200005,0.0653996
"Burgh, Eastfield and Silverbank",0.8488314285714286,5.6983643549375,0.10414475
"Burghead, Roseisle and Laich",0.8498616666666666,5.65028245285,0.0999515
Burghmuir and Oakbank,0.910665,6.1312906404,0.1352152
Burnbank Central and Udston,0.71538,4.9335272570571425,0.053344142857142854
Burnbank North,0.7548814285714286,5.1543295203,0.06330271428571428
Burnbank South and Chantinghall,0.844678,5.68316698782,0.1242114
Burnfoot,0.6751075,4.562639558375,0.0173935
Burnhill and Bankhead North,0.717172,4.99120082818,0.061853599999999995
Burnside and Springhall,0.8126514285714286,5.5737394958,0.1015317142857143
Burntisland East,0.789625,5.560680821375,0.0671485
Burntisland West,0.773444,5.70934532736,0.0765726
Busby,0.918552,6.12105006104,0.1468672
Bute,0.853755,5.822127525275,0.0953505
Caird Park,0.74366,5.1144045312,0.08377225
Cairneyhill and Crombie,0.8797666666666666,5.696646724124999,0.11176025
Cairnhill,0.8301485714285715,5.8444787517285715,0.11390157142857142
Caithness North East,0.8713000000000001,5.39337792642,0.0877006
Caithness North West,0.8577014285714286,5.5012151562,0.08271214285714286
Caithness South,0.8473649999999999,5.277101370825,0.0907295
Calderbank and Brownsburn,0.7527125,5.19945652175,0.0751105
Caldercruix and Plains,0.72243875,5.280539709025,0.058740375
Calderwood Central,0.871804,5.54467787112,0.1043292
Calderwood East,0.817382,5.55850868016,0.0519398
Calderwood West and Nerston,0.830998,5.5641582095799995,0.08426639999999999
Callander and Trossachs,0.883035,5.97646075486,0.1062522
Calside,0.906485,5.7420343137,0.137608
Calton and Gallowgate,0.7699933333333333,5.333333333333333,0.0578176
Cambusbarron,0.8636699999999999,5.7780562983,0.10377233333333333
Cambuslang Central,0.8845025,5.6228038628,0.14281080000000002
Campbeltown,0.8371557142857143,5.400309460642857,0.051579
"Canongate, Southside and Dumbiedykes",0.7034316666666667,4.65904761906,0.08551316666666667
Canonmills and New Town North,0.8449500000000001,6.1666666667,0.10622625
Cardenden,0.76364625,5.3711681682375,0.04234325
Cardonald North,0.752098,5.20042399866,0.0778426
Cardonald South and East,0.767885,5.1835164835250005,0.07671425
Cardonald West and Central,0.8165085714285715,5.512963090357143,0.09300371428571429
Cardowan and Millerston,0.882834,5.66012698412,0.11052999999999999
Carfin and Cleekhimin,0.7285128571428572,5.362573120728571,0.08102857142857142
Carfin North,0.7313425,5.456047098425,0.062480499999999994
Carluke East,0.787096,5.20808231382,0.0784808
Carluke North,0.7643175,5.4544642857,0.06775175
Carluke South,0.7653650000000001,5.276740459625,0.08147175
Carluke West,0.8705125,5.85112958225,0.11814675
Carmondean and Eliburn North,0.8137375,5.4565941285125,0.087260375
Carmunnock North,0.9207299999999999,6.214476495725,0.14069425
Carmunnock South,0.7122700000000001,5.386379928325001,0.0798445
Carmyle and Mount Vernon South,0.7494125,5.393944505775,0.0638425
Carnoustie East,0.8544342857142857,5.627174185457143,0.10886471428571429
Carnoustie West,0.8328671428571429,5.358581392157142,0.07451642857142857
Carntyne,0.743205,5.5228519669,0.08411099999999999
Carntyne West and Haghill,0.7042366666666666,5.287525138266667,0.076568
Carnwadric East,0.79261,5.467969067975,0.06534424999999999
Carnwadric West,0.7013079999999999,5.02934144274,0.0664072
Carrick Knowe,0.81796,5.581748188425,0.1270015
Carrick North,0.863768,5.97119565218,0.143292
Carrick South,0.8275485714285714,5.585070631114285,0.07902971428571429
Carrickstone,0.8930750000000001,5.980715782433333,0.15139516666666666
Carron,0.8542233333333333,6.037781911175,0.09961475
Carronshore,0.7718775,5.3912439114,0.05150175
Carse and Grangemouth Old Town,0.804292,5.54205758582,0.0862188
Carse of Stirling,0.90495,6.04078733765,0.15790466666666667
"Carstairs, Carstairs Junction and Carnwath",0.75625,5.134051394866667,0.06923800000000001
Castle Douglas,0.8613080000000001,5.73654606418,0.09077
Castlehill and Kincaidston,0.7559128571428572,5.5330345819,0.08946114285714286
Castlemilk,0.7062157142857143,5.5032773109285715,0.06238085714285715
Cathcart,0.8018120000000001,5.85085784315,0.11077200000000001
Causewayhead,0.9206033333333333,5.974358974366667,0.08116633333333334
Central and South Inch,0.6813183333333334,5.19562881564,0.0402065
Central Easterhouse,0.7400733333333334,4.8751754386,0.026565000000000002
Central Shetland,0.8753325000000001,5.595081135925,0.06751825
Chapelhall East,0.806156,5.47379216776,0.1061516
Chapelhall West,0.7716933333333333,5.214836537433333,0.085532
"Chapelton, Glengavel and Sandford",0.84779,5.828522116325,0.10304725
Charleston,0.7224980000000001,4.77800949332,0.057986
Cheviot East,0.8689016666666667,5.7242264257499995,0.13373733333333335
Cheviot West,0.9048133333333334,5.775187389766667,0.10887433333333334
Chirnside and Area,0.82178,5.79157971014,0.104314
Chryston and Muirhead,0.825542,5.69063740858,0.1086796
City Centre,0.7024857142857143,5.33313492065,0.10084954545454546
City Centre East,0.7755533333333333,5.58650913355,0.07185554545454545
City Centre South,0.73958,4.5833333333,0.15483025
City Centre West,0.77380375,5.157936507942857,0.08122163636363636
"Clackmannan, Kennet and Forestmill",0.74686,5.327306741,0.06415466666666667
Clarkston and Sheddens,0.9450633333333334,6.4024375012375,0.172317375
Clashindarroch,0.8613483333333334,5.434842375366666,0.08515683333333333
Cleland,0.7557740000000001,5.60165255912,0.1144438
Clermiston and Drumbrae,0.7962871428571429,5.331945394514285,0.07555914285714285
Cliftonville,0.6894925000000001,5.505050505033333,0.0636345
Clovenstone and Wester Hailes,0.718502,4.98727035056,0.0557458
Clydesdale and New Stevenston,0.7594650000000001,5.52580789095,0.063609
Clydesdale South,0.83875,5.573200757575,0.1174755
Coatbridge West,0.72555,5.10925862068,0.0675584
Coatdyke and Whinhall,0.7747914285714286,5.5296274174,0.07369514285714286
Coldstream and Area,0.7709166666666667,5.76122685185,0.08481125
Colinton and Kingsknowe,0.9218,6.0413095238,0.1146132
Colinton Mains and Firrhill,0.82189,5.23427272356,0.0875508
Collin,0.9097025,5.843802521025,0.11691275000000001
Coltness,0.763104,5.2104458759600005,0.058776999999999996
Comely Bank,0.875,6.1111111111,0.1699975
Comiston and Swanston,0.8879775000000001,6.323351648342857,0.22194387499999998
"Comrie, Gilmerton and St Fillans",0.826366,5.66905083222,0.1236634
Condorrat,0.80791,5.543821733816666,0.0815625
Conon,0.8433419999999999,5.50403989184,0.1061036
Cornton,0.7568325,5.317284689,0.07075725
Corstorphine,0.9285166666666667,6.2431242247166665,0.20420942857142857
Corstorphine North,0.93197,6.057804543666667,0.15456
Corstorphine South,0.8290133333333334,5.431918233866667,0.09431883333333334
Coupar Angus and Meigle,0.7943516666666667,5.382809448366666,0.08440916666666667
Cove North,0.838245,5.44324183006,0.0589006
Cove South,0.9043880000000001,5.62884510125,0.10447716666666666
Cowal North,0.8318775,5.977003205125,0.1114135
Cowal South,0.81393,5.459821428575,0.0844905
Cowdenbeath North,0.7912883333333334,5.03884163885,0.05831583333333333
Cowdenbeath South,0.726,4.8516945084500005,0.03846575
Cowie,0.7209525,5.22729978355,0.0369545
Cowlairs and Port Dundas,0.7555725,4.91677489178,0.06975366666666667
Coylton,0.809312,5.440996337,0.09417779999999999
Craigend and Ruchazie,0.70593,4.7222287126,0.044695285714285715
Craigentinny,0.8216175,5.5565078038,0.11978375
Craigie,0.7539,5.7722832723,0.05780433333333333
Craigie and  Craigiebank,0.8302783333333333,5.6232347682,0.095016
"Craigleith, Orchard Brae and Crewe Toll",0.9011033333333334,6.2423232323,0.2539231666666667
Craiglockhart,0.9294899999999999,6.039381030183334,0.25258600000000003
Craigmillar,0.727236,5.10982703934,0.04209
Craigneuk Airdrie,0.805766,5.43847704848,0.10435559999999999
Craigneuk Wishaw,0.6145816666666667,4.581359219666667,0.029902333333333333
Craigshill,0.7084016666666667,5.02143745895,0.039565666666666666
Craigton,0.7494925,5.411013986,0.06536475
Crail and Boarhills,0.8544533333333333,5.917460317433333,0.09219666666666666
Cramond,0.920535,6.2430778371999995,0.22257300000000002
"Cranhill, Lightburn and Queenslie South",0.72881,5.187503044888889,0.06118344444444444
Crathes and Torphins,0.9128716666666667,5.9251556178166664,0.14354050000000002
Crieff North,0.8391266666666667,6.18088235295,0.14361025
Crieff South,0.7541439999999999,5.83198868822,0.0980508
Cromar and Kildrummy,0.874156,5.70384327676,0.1167442
Crookfur and Fruin,0.89603,6.254805585485714,0.16030285714285714
Crookston North,0.770445,5.010681052825,0.074199
Crookston South,0.661945,4.93214013545,0.0314985
Cross Stobbs,0.9180066666666667,6.098801581566667,0.120852
Crossford Charlestown and Limekilns,0.887825,6.22885309618,0.161532
"Crossford, Braidwood and Yieldshields",0.8519100000000001,5.87390917905,0.1243475
Crossgates and Halbeath,0.8010475,5.56500199994,0.0576834
Crosshouse and Lindsayfield,0.8426357142857143,5.614222961914286,0.090658
"Crosshouse, Gatehead and Kilmaurs Rural",0.8403780000000001,5.321489899,0.069694
Cruden,0.8398933333333334,5.436678004542857,0.05855871428571428
"Cullen, Portknockie, Findochty, Drybridge and Berryh",0.8400714285714286,5.5604944328125,0.067393125
Culter,0.8828657142857143,5.901415531242857,0.18517857142857141
"Cults, Bieldside and Milltimber East",0.93905,6.4156496506625,0.270495875
"Cults, Bieldside and Milltimber West",0.94137,6.15571847506,0.2382418
Cumbernauld Central,0.6873583333333333,4.926323944183333,0.0411245
Cummings Park,0.70952,4.86199813258,0.0378398
Cumnock North,0.81505,5.29730766308,0.1028624
Cumnock Rural,0.79287,5.3168861693875,0.087532
Cumnock South and Craigens,0.7472757142857143,5.193611310214286,0.071849
Cupar Central,0.85096,5.27560113325,0.057688
Cupar East,0.869995,5.59877806196,0.1338366
Cupar West and Springfield,0.8425039999999999,5.43486399108,0.096277
Currie East,0.9331466666666667,5.884821428575,0.175645
Currie West,0.8885675,5.677462994,0.107574
Dairsie Ceres and Dunino,0.8505666666666667,5.691900279125,0.22834125
Dalbeattie,0.8817539999999999,5.80055555556,0.057565200000000004
Dalbeattie Rural,0.90735,6.023870417733334,0.15983133333333333
Dalgety Bay Central,0.906168,5.9975599919333336,0.14327133333333333
Dalgety Bay East,0.870835,5.81107954545,0.08809425
Dalgety Bay West and Hillend,0.8931899999999999,6.16343743975,0.1398285
Dalkeith,0.6587324999999999,4.872916666675,0.030475
Dalmarnock,0.6816633333333334,4.805916305933334,0.04607566666666667
"Dalmeny, Kirkliston and Newbridge",0.856215,5.677303976216667,0.10287916666666666
Dalmilling,0.6086524999999999,4.97698583745,0.04032975
Dalry and Fountainbridge,0.7538480000000001,5.252976190475,0.090502
Dalry East and Rural,0.7913333333333333,5.3752858086,0.08641375
Dalry West,0.778195,5.56048217,0.0529265
Danestone,0.87782,5.8495540691166665,0.10436883333333333
Darnley East,0.768665,5.55671348275,0.10884383333333333
Darnley North,0.781125,5.7096641367,0.15950075
Darnley West,0.8213714285714286,5.7783634222857145,0.15636214285714287
Darvel,0.839372,5.75604450524,0.10112120000000001
Dean and New Farm Loch North,0.8135640000000001,5.37590977122,0.063982
Deans,0.73171,5.1229498164,0.0470155
Deans Village,0.8022,5.734523809533333,0.13305371428571428
Dedridge East,0.7445514285714286,5.2258852259,0.060973
Deer and Mormond,0.8443328571428571,5.483305514342857,0.075474
Denholm and Hermitage,0.847134,5.61092632006,0.122882
Denmore,0.91603,5.957362082375,0.180781
Dennistoun,0.784458,5.3266666666599995,0.0291785
Dennistoun North,0.780658,5.49377289375,0.0484932
Denny - Nethermains,0.7666666666666666,5.3609527338500005,0.043998
Dingwall,0.7615771428571428,5.370111915728572,0.06885514285714286
Docks and Wellgate,0.6801842857142857,4.863672438671429,0.059430142857142855
Dollar and Muckhart,0.8142900000000001,6.0472902098,0.2146774
Doon Valley North,0.767,5.17898478605,0.0628215
Doon Valley South,0.752046,5.13906106006,0.0409454
Douglas East,0.7131299999999999,4.8380952381,0.06453025
Douglas West,0.7237583333333334,4.7048611111,0.046637
"Douglas, Coalburn and Rigside",0.73959,5.33750353096,0.0424766
Dowanhill,0.8,6.00509227615,0.162305
Downfield,0.8129328571428571,5.163272809128571,0.09091114285714286
Dreghorn,0.811482,5.09242979242,0.0460432
Drongan,0.7370375,5.3461052836,0.05854525
Drumchapel North,0.69713,5.09466357578,0.0271992
Drumchapel South,0.6554366666666667,4.732290757066667,0.059503
Drumgelloch,0.75002,5.191035353533334,0.09371483333333333
Drumoyne and Shieldhall,0.76153125,5.3407247856625,0.07294925
Drumpellier and Langloan,0.7360133333333333,5.503076923066667,0.09506266666666667
Drumry East,0.67216,4.90915704665,0.03594
Drumry West,0.7248975,5.3587693798250005,0.055516
Drylaw,0.7510560000000001,4.79398282564,0.0450742
Duddingston and Portobello South,0.88265,5.80554608744,0.1967088
Dumfries Central,0.819725,5.37852152355,0.06568675
Dunblane East,0.935982,6.269291283757143,0.21638385714285716
Dunblane West,0.91936,6.04787500636,0.1371694
"Dundonald, Loans and Symington",0.8234485714285714,5.5904256297,0.10178485714285715
Dundyvan,0.6831825,5.0506075008875,0.057949875
"Dunecht, Durris and Drumoak",0.9318850000000001,5.9010046703666665,0.17814066666666667
Dunfermline Abbeyview North,0.733712,4.64608071666,0.0218892
Dunfermline Abbeyview South,0.76403,5.082291666675,0.063481
Dunfermline Baldridgeburn,0.823,5.544288109975,0.0758125
Dunfermline Bellyeoman and Townhill,0.8664716666666666,5.8347114112875005,0.122383125
Dunfermline Brucefield,0.815064,5.11249880556,0.0918286
Dunfermline Central,0.8603700000000001,5.918650793675,0.10627675
Dunfermline Duloch North and Lynebank,0.868106,5.6924117898999995,0.11932240000000001
Dunfermline Duloch South,0.88586,5.6060159078166665,0.0963645
Dunfermline Garvock Hill,0.9251666666666667,6.115740740750001,0.11911250000000001
Dunfermline Headwell,0.811602,5.45205229554,0.10248
Dunfermline Masterton,0.9417133333333333,6.0196078431333335,0.11858700000000001
Dunfermline Milesmark and Wellwood,0.877064,5.712598019683334,0.10932433333333334
Dunfermline Pitcorthie East,0.906012,5.88515905148,0.1339744
Dunfermline Pitcorthie West,0.8810966666666666,6.0116959064,0.108506
Dunfermline Touch and Woodmill,0.7474125,4.70336829835,0.04540325
Dunipace,0.776696,5.4489956776,0.0729384
Dunoon,0.7987871428571428,5.475086741214286,0.06251742857142857
Duns,0.808775,5.3773467433,0.087471
"Dunterlie, East Arthurlie and Dovecothall",0.8067211111111111,5.3356957826,0.08901555555555556
Durno-Chapel of Garioch,0.9260200000000001,5.731413454257143,0.110669
Dyce,0.8840600000000001,5.3685941043,0.07692442857142857
Dysart,0.751944,5.39098859518,0.053183
Eaglesham and Waterfoot,0.9012485714285714,6.106339171685714,0.13426914285714286
Earlston and Hurlford Rural,0.7915185714285714,5.491693479,0.06346628571428571
Earlston Stow and Clovernfords Area,0.88652,5.924457780866667,0.14365683333333334
Earnock,0.88775250000000006,5.884770005816667,0.12415233333333332
East and West Mainland,0.8688333333333333,5.711101190475,0.06599925
East Cairngorms,0.853446,5.68421717172,0.1035704
East Calder,0.8350542857142857,5.6577166466857145,0.062461142857142854
East Clober and Mains Estate,0.83195,5.7498729933,0.11766275
East Craigs North,0.833048,5.64182194618,0.12988840000000001
East Craigs South,0.898616,5.971021571014286,0.161105
East Kirkwall,0.8224175,5.32843137255,0.066152
East Mainland,0.9003760000000001,5.6906120024,0.0893404
East Mains,0.8372375,5.6934444964,0.11370675
Easter Road and Hawkhill Avenue,0.7444025000000001,4.8,0.06243225
Easterhouse East,0.755978,5.37321428572,0.0456088
Easthouses,0.664385,4.816163277525,0.025105250000000003
Eastriggs,0.857155,5.679824561375,0.0675275
Eddlewood,0.809222,5.58254973338,0.0863964
Elderslie and Phoenix,0.8618533333333334,5.57686868685,0.1087005
Elgin Bishopmill East and Ladyhill,0.810324,5.4304861805,0.0458478
Elgin Bishopmill West and Newfield,0.8726375,5.3908974359,0.04932
Elgin Cathedral to Ashgrove and Pinefield,0.77371,5.27388231735,0.05644283333333334
Elgin Central West,0.9030833333333333,6.1042124542,0.147805
Elie Colinsburgh and Largoward,0.83846,5.6128540843,0.14500025
Ellon East,0.8779042857142857,5.651832399614285,0.08692014285714286
Ellon West,0.8711716666666667,5.599517149514286,0.11304114285714285
Errol and Inchture,0.884018,5.43765664162,0.0827614
Erskine Central,0.8043242857142857,5.536449716,0.09578057142857144
Erskine East and Inchinnan,0.8663955555555556,5.771799297766667,0.1268228888888889
Erskine West,0.8144671428571428,5.4551174130857145,0.07734985714285714
Eskbank,0.906415,6.29687165775,0.2107485
Ettrick Yarrow and Liliesleaf Area,0.8877166666666667,5.896850132625,0.145258
Eyemouth,0.77664,5.31859730848,0.042855199999999996
Fairhill,0.6697566666666667,4.8878306878,0.038747333333333335
